SCF ID,Core VCF Category,Core VCF Category Description,Correlated Baseline Technical Controls,DORA RTS on ICT Risk Management Reference
CFG-03.1,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"Article 13(h)
Article 13 Paragraph 1"
CFG-03.2,System Integrity,"VMware Cloud Foundation (VCF) provides a number of safeguards against loss of system integrity, starting at system hardware with the use of Secure Boot, Trusted Platform Modules, Reliable Memory, Intel Trusted Execution Technology, and use of confidential computing tools like AMD SEV-ES. The hypervisor enforces code signing, preventing installation and execution of malware and ransomware toolkits, as well as isolating workloads from each other and from the hypervisor. vCenter monitors host attestation state, ensuring that hosts have booted in known good configurations, and Aria Operations continously monitors security state for the entire cluster, alerting if something is amiss. vSAN has numerous data integrity features, including customizable protection policies, continous integrity checks, stretched clusters, and availability zones. VCF also monitors, detects, and corrects changes to host and software configurations through Lifecycle Manager and Configuration Profiles.",esxi-8.secureboot; esxi-8.secureboot-enforcement; esxi-8.tpm-configuration; esxi-8.vib-acceptance-level-supported; esxi-8.vib-trusted-binaries,
CFG-03.3,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,
CFG-03.4,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,
CFG-04,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,
CFG-04.1,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"Article 16, 8."
CFG-04.2,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,
CFG-05,Access Control and Identity Management,"VMware Cloud Foundation (VCF) integrates with third-party Privileged Access Management (PAM) solutions and federated identity providers through APIs, supporting on-premises and cloud-based authentication for user and programmatic access. The platform enforces granular permissions through role-based access control (RBAC) while VMware vDefend Firewall capabilities manage network access controls. Multifactor authentication can be achieved for day-to-day administration tasks via the vCenter Client and SDDC Manager UIs via federation with an external identity provider. Built-in authentication can be customized for complexity, timeouts, history, and other standard parameters.",,
CFG-05.1,System Integrity,"VMware Cloud Foundation (VCF) provides a number of safeguards against loss of system integrity, starting at system hardware with the use of Secure Boot, Trusted Platform Modules, Reliable Memory, Intel Trusted Execution Technology, and use of confidential computing tools like AMD SEV-ES. The hypervisor enforces code signing, preventing installation and execution of malware and ransomware toolkits, as well as isolating workloads from each other and from the hypervisor. vCenter monitors host attestation state, ensuring that hosts have booted in known good configurations, and Aria Operations continously monitors security state for the entire cluster, alerting if something is amiss. vSAN has numerous data integrity features, including customizable protection policies, continous integrity checks, stretched clusters, and availability zones. VCF also monitors, detects, and corrects changes to host and software configurations through Lifecycle Manager and Configuration Profiles.",,
CFG-05.2,Access Control and Identity Management,"VMware Cloud Foundation (VCF) integrates with third-party Privileged Access Management (PAM) solutions and federated identity providers through APIs, supporting on-premises and cloud-based authentication for user and programmatic access. The platform enforces granular permissions through role-based access control (RBAC) while VMware vDefend Firewall capabilities manage network access controls. Multifactor authentication can be achieved for day-to-day administration tasks via the vCenter Client and SDDC Manager UIs via federation with an external identity provider. Built-in authentication can be customized for complexity, timeouts, history, and other standard parameters.",,
CFG-06,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,Article 11(2)(c)
CFG-06.1,Continuous Control Validation and Event Detection,"VMware Cloud Foundation (VCF) integrates security monitoring capabilities through VMware Aria Operations suite (Operations, Operations for Logs, Operations for Networks) and VMware vDefend Firewall services. The platform combines signature-based intrusion detection with behavioral analysis for advanced threat detection. Customizable real-time system alerts flag security misconfigurations and potential threats across the infrastructure stack, including policy, log data, and system health violations such as vSAN storage alerts. Security and operations teams can leverage interfaces, CLI tools, and APIs to automate security posture assessment and remediation workflows, as well as integrate third-party monitoring,  analysis, and SIEM tools. The platform has customizable retention periods for data.",,
CFG-07,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,
CFG-08,Access Control and Identity Management,"VMware Cloud Foundation (VCF) integrates with third-party Privileged Access Management (PAM) solutions and federated identity providers through APIs, supporting on-premises and cloud-based authentication for user and programmatic access. The platform enforces granular permissions through role-based access control (RBAC) while VMware vDefend Firewall capabilities manage network access controls. Multifactor authentication can be achieved for day-to-day administration tasks via the vCenter Client and SDDC Manager UIs via federation with an external identity provider. Built-in authentication can be customized for complexity, timeouts, history, and other standard parameters.",,
CFG-08.1,Not currently mapped,Capabilities may exist but are not currently mapped.,,
MON-01,Continuous Control Validation and Event Detection,"VMware Cloud Foundation (VCF) integrates security monitoring capabilities through VMware Aria Operations suite (Operations, Operations for Logs, Operations for Networks) and VMware vDefend Firewall services. The platform combines signature-based intrusion detection with behavioral analysis for advanced threat detection. Customizable real-time system alerts flag security misconfigurations and potential threats across the infrastructure stack, including policy, log data, and system health violations such as vSAN storage alerts. Security and operations teams can leverage interfaces, CLI tools, and APIs to automate security posture assessment and remediation workflows, as well as integrate third-party monitoring,  analysis, and SIEM tools. The platform has customizable retention periods for data.",esxi-8.logs-audit-local; esxi-8.logs-audit-local-capacity; esxi-8.logs-audit-persistent; esxi-8.logs-level; esxi-8.logs-level-global; esxi-8.logs-persistent; esxi-8.logs-remote; esxi-8.timekeeping-services; esxi-8.timekeeping-sources; guest-8.tools-enable-syslog; vcenter-8.events-database-retention; vcenter-8.events-remote-logging; vcenter-8.logs-level-global; vcenter-8.vami-syslog; vcenter-8.vami-time; vm-8.log-enable,Article 8(2)
MON-01.1,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"Article 23, 2. (a)(i)
Article 23, 2. (a)(ii)
Article 23, 5. (a)"
MON-01.2,Continuous Control Validation and Event Detection,"VMware Cloud Foundation (VCF) integrates security monitoring capabilities through VMware Aria Operations suite (Operations, Operations for Logs, Operations for Networks) and VMware vDefend Firewall services. The platform combines signature-based intrusion detection with behavioral analysis for advanced threat detection. Customizable real-time system alerts flag security misconfigurations and potential threats across the infrastructure stack, including policy, log data, and system health violations such as vSAN storage alerts. Security and operations teams can leverage interfaces, CLI tools, and APIs to automate security posture assessment and remediation workflows, as well as integrate third-party monitoring,  analysis, and SIEM tools. The platform has customizable retention periods for data.",esxi-8.timekeeping-services; esxi-8.timekeeping-sources; vcenter-8.vami-time,
MON-01.3,Continuous Control Validation and Event Detection,"VMware Cloud Foundation (VCF) integrates security monitoring capabilities through VMware Aria Operations suite (Operations, Operations for Logs, Operations for Networks) and VMware vDefend Firewall services. The platform combines signature-based intrusion detection with behavioral analysis for advanced threat detection. Customizable real-time system alerts flag security misconfigurations and potential threats across the infrastructure stack, including policy, log data, and system health violations such as vSAN storage alerts. Security and operations teams can leverage interfaces, CLI tools, and APIs to automate security posture assessment and remediation workflows, as well as integrate third-party monitoring,  analysis, and SIEM tools. The platform has customizable retention periods for data.",,"Article 23, 2. (a)(i)
Article 23, 2. (a)(ii)"
MON-01.4,Continuous Control Validation and Event Detection,"VMware Cloud Foundation (VCF) integrates security monitoring capabilities through VMware Aria Operations suite (Operations, Operations for Logs, Operations for Networks) and VMware vDefend Firewall services. The platform combines signature-based intrusion detection with behavioral analysis for advanced threat detection. Customizable real-time system alerts flag security misconfigurations and potential threats across the infrastructure stack, including policy, log data, and system health violations such as vSAN storage alerts. Security and operations teams can leverage interfaces, CLI tools, and APIs to automate security posture assessment and remediation workflows, as well as integrate third-party monitoring,  analysis, and SIEM tools. The platform has customizable retention periods for data.",,
MON-01.5,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,
MON-01.6,Not currently mapped,Capabilities may exist but are not currently mapped.,,
MON-01.7,"API, Ecosystem, and Integration","VMware Cloud Foundation (VCF) provides extensive API integration support for third-party tools such as IT asset management (ITAM), configuration management databases (CMDB), and security assessment tools. 
The VMware Aria and VMware vDefend product suites deliver security assessment and continuous monitoring functionality.
Security teams can generate custom reports, export data, and automate tasks using product interfaces, PowerCLI, and APIs to maintain security and compliance requirements.",,
MON-01.8,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,
MON-01.9,Not currently mapped,Capabilities may exist but are not currently mapped.,,
MON-01.10,Event and Audit Logging,"VMware vSphere provides tools to track system events and user actions, essential for monitoring and security. You can view basic logs through the Tasks and Events tab in the vSphere Client, which helps track changes and troubleshoot issues. For more detailed analysis, you can integrate Aria Operations for Logs, which collects logs from vCenter Server and ESXi hosts, offering advanced dashboards and analytics for deeper insights.

In VMware Cloud Foundation, event and audit logging are enhanced with built-in monitoring capabilities, typically including Aria Operations for Logs for centralized log management. This setup ensures all logs are easily accessible across the platform, supporting compliance and efficient problem resolution, especially in hybrid cloud environments. VCF allows you to configure syslog to forward logs to up to three syslog forwarding targets, using a variety of protocols.
",,
MON-01.11,Not currently mapped,Capabilities may exist but are not currently mapped.,,
MON-01.12,Continuous Control Validation and Event Detection,"VMware Cloud Foundation (VCF) integrates security monitoring capabilities through VMware Aria Operations suite (Operations, Operations for Logs, Operations for Networks) and VMware vDefend Firewall services. The platform combines signature-based intrusion detection with behavioral analysis for advanced threat detection. Customizable real-time system alerts flag security misconfigurations and potential threats across the infrastructure stack, including policy, log data, and system health violations such as vSAN storage alerts. Security and operations teams can leverage interfaces, CLI tools, and APIs to automate security posture assessment and remediation workflows, as well as integrate third-party monitoring,  analysis, and SIEM tools. The platform has customizable retention periods for data.",esxi-8.timekeeping-services; esxi-8.timekeeping-sources; vcenter-8.vami-time,
MON-01.13,Continuous Control Validation and Event Detection,"VMware Cloud Foundation (VCF) integrates security monitoring capabilities through VMware Aria Operations suite (Operations, Operations for Logs, Operations for Networks) and VMware vDefend Firewall services. The platform combines signature-based intrusion detection with behavioral analysis for advanced threat detection. Customizable real-time system alerts flag security misconfigurations and potential threats across the infrastructure stack, including policy, log data, and system health violations such as vSAN storage alerts. Security and operations teams can leverage interfaces, CLI tools, and APIs to automate security posture assessment and remediation workflows, as well as integrate third-party monitoring,  analysis, and SIEM tools. The platform has customizable retention periods for data.",,
MON-01.14,Not currently mapped,Capabilities may exist but are not currently mapped.,,
MON-01.15,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,
MON-01.16,Not currently mapped,Capabilities may exist but are not currently mapped.,,"Article 23, 6."
MON-01.17,Not currently mapped,Capabilities may exist but are not currently mapped.,,
MON-02,Event and Audit Logging,"VMware vSphere provides tools to track system events and user actions, essential for monitoring and security. You can view basic logs through the Tasks and Events tab in the vSphere Client, which helps track changes and troubleshoot issues. For more detailed analysis, you can integrate Aria Operations for Logs, which collects logs from vCenter Server and ESXi hosts, offering advanced dashboards and analytics for deeper insights.

In VMware Cloud Foundation, event and audit logging are enhanced with built-in monitoring capabilities, typically including Aria Operations for Logs for centralized log management. This setup ensures all logs are easily accessible across the platform, supporting compliance and efficient problem resolution, especially in hybrid cloud environments. VCF allows you to configure syslog to forward logs to up to three syslog forwarding targets, using a variety of protocols.
",esxi-8.logs-filter; esxi-8.logs-level; esxi-8.logs-level-global; esxi-8.logs-persistent; esxi-8.logs-remote; esxi-8.timekeeping-services; esxi-8.timekeeping-sources; guest-8.tools-enable-syslog; vcenter-8.events-database-retention; vcenter-8.events-remote-logging; vcenter-8.logs-level-global; vcenter-8.vami-syslog; vcenter-8.vami-time; vm-8.log-enable,Article 12(2)(a)
MON-02.1,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,
MON-02.2,Event and Audit Logging,"VMware vSphere provides tools to track system events and user actions, essential for monitoring and security. You can view basic logs through the Tasks and Events tab in the vSphere Client, which helps track changes and troubleshoot issues. For more detailed analysis, you can integrate Aria Operations for Logs, which collects logs from vCenter Server and ESXi hosts, offering advanced dashboards and analytics for deeper insights.

In VMware Cloud Foundation, event and audit logging are enhanced with built-in monitoring capabilities, typically including Aria Operations for Logs for centralized log management. This setup ensures all logs are easily accessible across the platform, supporting compliance and efficient problem resolution, especially in hybrid cloud environments. VCF allows you to configure syslog to forward logs to up to three syslog forwarding targets, using a variety of protocols.
",,
MON-02.3,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,
MON-02.4,Continuous Control Validation and Event Detection,"VMware Cloud Foundation (VCF) integrates security monitoring capabilities through VMware Aria Operations suite (Operations, Operations for Logs, Operations for Networks) and VMware vDefend Firewall services. The platform combines signature-based intrusion detection with behavioral analysis for advanced threat detection. Customizable real-time system alerts flag security misconfigurations and potential threats across the infrastructure stack, including policy, log data, and system health violations such as vSAN storage alerts. Security and operations teams can leverage interfaces, CLI tools, and APIs to automate security posture assessment and remediation workflows, as well as integrate third-party monitoring,  analysis, and SIEM tools. The platform has customizable retention periods for data.",,
MON-02.5,Not currently mapped,Capabilities may exist but are not currently mapped.,,
MON-02.6,Continuous Control Validation and Event Detection,"VMware Cloud Foundation (VCF) integrates security monitoring capabilities through VMware Aria Operations suite (Operations, Operations for Logs, Operations for Networks) and VMware vDefend Firewall services. The platform combines signature-based intrusion detection with behavioral analysis for advanced threat detection. Customizable real-time system alerts flag security misconfigurations and potential threats across the infrastructure stack, including policy, log data, and system health violations such as vSAN storage alerts. Security and operations teams can leverage interfaces, CLI tools, and APIs to automate security posture assessment and remediation workflows, as well as integrate third-party monitoring,  analysis, and SIEM tools. The platform has customizable retention periods for data.",,
MON-02.7,Event and Audit Logging,"VMware vSphere provides tools to track system events and user actions, essential for monitoring and security. You can view basic logs through the Tasks and Events tab in the vSphere Client, which helps track changes and troubleshoot issues. For more detailed analysis, you can integrate Aria Operations for Logs, which collects logs from vCenter Server and ESXi hosts, offering advanced dashboards and analytics for deeper insights.

In VMware Cloud Foundation, event and audit logging are enhanced with built-in monitoring capabilities, typically including Aria Operations for Logs for centralized log management. This setup ensures all logs are easily accessible across the platform, supporting compliance and efficient problem resolution, especially in hybrid cloud environments. VCF allows you to configure syslog to forward logs to up to three syslog forwarding targets, using a variety of protocols.
",esxi-8.logs-filter; esxi-8.logs-level; esxi-8.logs-level-global; esxi-8.logs-persistent; esxi-8.logs-remote; esxi-8.timekeeping-services; esxi-8.timekeeping-sources; guest-8.tools-enable-syslog; vcenter-8.events-database-retention; vcenter-8.events-remote-logging; vcenter-8.logs-level-global; vcenter-8.vami-syslog; vcenter-8.vami-time; vm-8.log-enable,
MON-02.8,Access Control and Identity Management,"VMware Cloud Foundation (VCF) integrates with third-party Privileged Access Management (PAM) solutions and federated identity providers through APIs, supporting on-premises and cloud-based authentication for user and programmatic access. The platform enforces granular permissions through role-based access control (RBAC) while VMware vDefend Firewall capabilities manage network access controls. Multifactor authentication can be achieved for day-to-day administration tasks via the vCenter Client and SDDC Manager UIs via federation with an external identity provider. Built-in authentication can be customized for complexity, timeouts, history, and other standard parameters.",esxi-8.timekeeping-services; esxi-8.timekeeping-sources; vcenter-8.vami-time,
MON-03,Event and Audit Logging,"VMware vSphere provides tools to track system events and user actions, essential for monitoring and security. You can view basic logs through the Tasks and Events tab in the vSphere Client, which helps track changes and troubleshoot issues. For more detailed analysis, you can integrate Aria Operations for Logs, which collects logs from vCenter Server and ESXi hosts, offering advanced dashboards and analytics for deeper insights.

In VMware Cloud Foundation, event and audit logging are enhanced with built-in monitoring capabilities, typically including Aria Operations for Logs for centralized log management. This setup ensures all logs are easily accessible across the platform, supporting compliance and efficient problem resolution, especially in hybrid cloud environments. VCF allows you to configure syslog to forward logs to up to three syslog forwarding targets, using a variety of protocols.
",esxi-8.logs-filter; esxi-8.logs-level; esxi-8.logs-level-global; esxi-8.logs-persistent; esxi-8.logs-remote; esxi-8.timekeeping-services; esxi-8.timekeeping-sources; guest-8.tools-enable-syslog; vcenter-8.events-database-retention; vcenter-8.events-remote-logging; vcenter-8.logs-level-global; vcenter-8.vami-syslog; vcenter-8.vami-time; vm-8.log-enable,"Article 12(2)(b)
Article 12(2)(c)
Article 23, 4. (a)
Article 23, 4. (b)
Article 23, 4. (c)
Article 21(c)"
MON-03.1,Access Control and Identity Management,"VMware Cloud Foundation (VCF) integrates with third-party Privileged Access Management (PAM) solutions and federated identity providers through APIs, supporting on-premises and cloud-based authentication for user and programmatic access. The platform enforces granular permissions through role-based access control (RBAC) while VMware vDefend Firewall capabilities manage network access controls. Multifactor authentication can be achieved for day-to-day administration tasks via the vCenter Client and SDDC Manager UIs via federation with an external identity provider. Built-in authentication can be customized for complexity, timeouts, history, and other standard parameters.",esxi-8.logs-level; esxi-8.logs-level-global; esxi-8.logs-persistent; esxi-8.logs-remote; guest-8.tools-enable-syslog; vcenter-8.events-database-retention; vcenter-8.events-remote-logging; vcenter-8.logs-level-global; vcenter-8.vami-syslog; vm-8.log-enable,"Article 23, 3."
MON-03.2,Event and Audit Logging,"VMware vSphere provides tools to track system events and user actions, essential for monitoring and security. You can view basic logs through the Tasks and Events tab in the vSphere Client, which helps track changes and troubleshoot issues. For more detailed analysis, you can integrate Aria Operations for Logs, which collects logs from vCenter Server and ESXi hosts, offering advanced dashboards and analytics for deeper insights.

In VMware Cloud Foundation, event and audit logging are enhanced with built-in monitoring capabilities, typically including Aria Operations for Logs for centralized log management. This setup ensures all logs are easily accessible across the platform, supporting compliance and efficient problem resolution, especially in hybrid cloud environments. VCF allows you to configure syslog to forward logs to up to three syslog forwarding targets, using a variety of protocols.
",,
MON-03.3,Event and Audit Logging,"VMware vSphere provides tools to track system events and user actions, essential for monitoring and security. You can view basic logs through the Tasks and Events tab in the vSphere Client, which helps track changes and troubleshoot issues. For more detailed analysis, you can integrate Aria Operations for Logs, which collects logs from vCenter Server and ESXi hosts, offering advanced dashboards and analytics for deeper insights.

In VMware Cloud Foundation, event and audit logging are enhanced with built-in monitoring capabilities, typically including Aria Operations for Logs for centralized log management. This setup ensures all logs are easily accessible across the platform, supporting compliance and efficient problem resolution, especially in hybrid cloud environments. VCF allows you to configure syslog to forward logs to up to three syslog forwarding targets, using a variety of protocols.
",,Article 21(c)
MON-03.4,Not currently mapped,Capabilities may exist but are not currently mapped.,,
MON-03.5,Not currently mapped,Capabilities may exist but are not currently mapped.,,
MON-03.6,Not currently mapped,Capabilities may exist but are not currently mapped.,Not Applicable,
MON-03.7,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,
MON-04,Event and Audit Logging,"VMware vSphere provides tools to track system events and user actions, essential for monitoring and security. You can view basic logs through the Tasks and Events tab in the vSphere Client, which helps track changes and troubleshoot issues. For more detailed analysis, you can integrate Aria Operations for Logs, which collects logs from vCenter Server and ESXi hosts, offering advanced dashboards and analytics for deeper insights.

In VMware Cloud Foundation, event and audit logging are enhanced with built-in monitoring capabilities, typically including Aria Operations for Logs for centralized log management. This setup ensures all logs are easily accessible across the platform, supporting compliance and efficient problem resolution, especially in hybrid cloud environments. VCF allows you to configure syslog to forward logs to up to three syslog forwarding targets, using a variety of protocols.
",esxi-8.logs-audit-local; esxi-8.logs-audit-local-capacity; esxi-8.logs-audit-persistent; esxi-8.logs-level; esxi-8.logs-level-global; esxi-8.logs-persistent; esxi-8.logs-remote; guest-8.tools-enable-syslog; vcenter-8.events-database-retention; vcenter-8.events-remote-logging; vcenter-8.logs-level-global; vcenter-8.vami-syslog; vm-8.log-enable,
MON-05,Not Supported,Activity contains an aspect that is not supported directly on the platform. Compensating controls may exist to handle this case.,Not Applicable,
MON-05.1,Not Supported,Activity contains an aspect that is not supported directly on the platform. Compensating controls may exist to handle this case.,esxi-8.timekeeping-services; esxi-8.timekeeping-sources; vcenter-8.vami-time,
MON-05.2,Continuous Control Validation and Event Detection,"VMware Cloud Foundation (VCF) integrates security monitoring capabilities through VMware Aria Operations suite (Operations, Operations for Logs, Operations for Networks) and VMware vDefend Firewall services. The platform combines signature-based intrusion detection with behavioral analysis for advanced threat detection. Customizable real-time system alerts flag security misconfigurations and potential threats across the infrastructure stack, including policy, log data, and system health violations such as vSAN storage alerts. Security and operations teams can leverage interfaces, CLI tools, and APIs to automate security posture assessment and remediation workflows, as well as integrate third-party monitoring,  analysis, and SIEM tools. The platform has customizable retention periods for data.",,
MON-06,Continuous Control Validation and Event Detection,"VMware Cloud Foundation (VCF) integrates security monitoring capabilities through VMware Aria Operations suite (Operations, Operations for Logs, Operations for Networks) and VMware vDefend Firewall services. The platform combines signature-based intrusion detection with behavioral analysis for advanced threat detection. Customizable real-time system alerts flag security misconfigurations and potential threats across the infrastructure stack, including policy, log data, and system health violations such as vSAN storage alerts. Security and operations teams can leverage interfaces, CLI tools, and APIs to automate security posture assessment and remediation workflows, as well as integrate third-party monitoring,  analysis, and SIEM tools. The platform has customizable retention periods for data.",,"Article 23, 2. (a)(i)
Article 23, 2. (a)(ii)
Article 23, 5. (a), (b), (c), (d)"
MON-06.1,Not currently mapped,Capabilities may exist but are not currently mapped.,,
MON-06.2,Not currently mapped,Capabilities may exist but are not currently mapped.,,
MON-07,Time Synchronization,"Time synchronization is a configurable option across the VMware Cloud Foundation (VCF) platform, with options including use of host clocks in disconnected environments, Network Time Protocol (NTP), and Precision Time Protocol (PTP). PTP is supported in the hypervisor and is able to be passed to workloads when properly configured.",esxi-8.timekeeping-services; esxi-8.timekeeping-sources; vcenter-8.vami-time,"Article 23, 4. (a)
Article 23, 4. (b)"
MON-07.1,Time Synchronization,"Time synchronization is a configurable option across the VMware Cloud Foundation (VCF) platform, with options including use of host clocks in disconnected environments, Network Time Protocol (NTP), and Precision Time Protocol (PTP). PTP is supported in the hypervisor and is able to be passed to workloads when properly configured.",,Article 12(2)(f)
MON-08,Access Control and Identity Management,"VMware Cloud Foundation (VCF) integrates with third-party Privileged Access Management (PAM) solutions and federated identity providers through APIs, supporting on-premises and cloud-based authentication for user and programmatic access. The platform enforces granular permissions through role-based access control (RBAC) while VMware vDefend Firewall capabilities manage network access controls. Multifactor authentication can be achieved for day-to-day administration tasks via the vCenter Client and SDDC Manager UIs via federation with an external identity provider. Built-in authentication can be customized for complexity, timeouts, history, and other standard parameters.",esxi-8.logs-audit-remote; esxi-8.logs-remote-tls; esxi-8.logs-remote-tls-x509,Article 12(2)(d)
MON-08.1,Continuous Control Validation and Event Detection,"VMware Cloud Foundation (VCF) integrates security monitoring capabilities through VMware Aria Operations suite (Operations, Operations for Logs, Operations for Networks) and VMware vDefend Firewall services. The platform combines signature-based intrusion detection with behavioral analysis for advanced threat detection. Customizable real-time system alerts flag security misconfigurations and potential threats across the infrastructure stack, including policy, log data, and system health violations such as vSAN storage alerts. Security and operations teams can leverage interfaces, CLI tools, and APIs to automate security posture assessment and remediation workflows, as well as integrate third-party monitoring,  analysis, and SIEM tools. The platform has customizable retention periods for data.",esxi-8.logs-audit-remote,
MON-08.2,Access Control and Identity Management,"VMware Cloud Foundation (VCF) integrates with third-party Privileged Access Management (PAM) solutions and federated identity providers through APIs, supporting on-premises and cloud-based authentication for user and programmatic access. The platform enforces granular permissions through role-based access control (RBAC) while VMware vDefend Firewall capabilities manage network access controls. Multifactor authentication can be achieved for day-to-day administration tasks via the vCenter Client and SDDC Manager UIs via federation with an external identity provider. Built-in authentication can be customized for complexity, timeouts, history, and other standard parameters.",,Article 12(2)(d)
MON-08.3,Not Supported,Activity contains an aspect that is not supported directly on the platform. Compensating controls may exist to handle this case.,esxi-8.logs-remote-tls; esxi-8.logs-remote-tls-x509,"Article 23, 3."
MON-08.4,Not currently mapped,Capabilities may exist but are not currently mapped.,,
MON-09,Continuous Control Validation and Event Detection,"VMware Cloud Foundation (VCF) integrates security monitoring capabilities through VMware Aria Operations suite (Operations, Operations for Logs, Operations for Networks) and VMware vDefend Firewall services. The platform combines signature-based intrusion detection with behavioral analysis for advanced threat detection. Customizable real-time system alerts flag security misconfigurations and potential threats across the infrastructure stack, including policy, log data, and system health violations such as vSAN storage alerts. Security and operations teams can leverage interfaces, CLI tools, and APIs to automate security posture assessment and remediation workflows, as well as integrate third-party monitoring,  analysis, and SIEM tools. The platform has customizable retention periods for data.",,
MON-09.1,Not currently mapped,Capabilities may exist but are not currently mapped.,,
MON-10,Continuous Control Validation and Event Detection,"VMware Cloud Foundation (VCF) integrates security monitoring capabilities through VMware Aria Operations suite (Operations, Operations for Logs, Operations for Networks) and VMware vDefend Firewall services. The platform combines signature-based intrusion detection with behavioral analysis for advanced threat detection. Customizable real-time system alerts flag security misconfigurations and potential threats across the infrastructure stack, including policy, log data, and system health violations such as vSAN storage alerts. Security and operations teams can leverage interfaces, CLI tools, and APIs to automate security posture assessment and remediation workflows, as well as integrate third-party monitoring,  analysis, and SIEM tools. The platform has customizable retention periods for data.",esxi-8.timekeeping-services; esxi-8.timekeeping-sources; vcenter-8.vami-time,"Article 22, (d)"
MON-11,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"Article 23, 5. (b)"
MON-11.1,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,
MON-11.2,Continuous Control Validation and Event Detection,"VMware Cloud Foundation (VCF) integrates security monitoring capabilities through VMware Aria Operations suite (Operations, Operations for Logs, Operations for Networks) and VMware vDefend Firewall services. The platform combines signature-based intrusion detection with behavioral analysis for advanced threat detection. Customizable real-time system alerts flag security misconfigurations and potential threats across the infrastructure stack, including policy, log data, and system health violations such as vSAN storage alerts. Security and operations teams can leverage interfaces, CLI tools, and APIs to automate security posture assessment and remediation workflows, as well as integrate third-party monitoring,  analysis, and SIEM tools. The platform has customizable retention periods for data.",,
MON-11.3,Not currently mapped,Capabilities may exist but are not currently mapped.,,
MON-12,Not currently mapped,Capabilities may exist but are not currently mapped.,,
MON-13,Not currently mapped,Capabilities may exist but are not currently mapped.,,
MON-14,Not currently mapped,Capabilities may exist but are not currently mapped.,,"Article 23, (a)(iii)"
MON-14.1,Not currently mapped,Capabilities may exist but are not currently mapped.,Not Applicable,
MON-15,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,
MON-16,Continuous Control Validation and Event Detection,"VMware Cloud Foundation (VCF) integrates security monitoring capabilities through VMware Aria Operations suite (Operations, Operations for Logs, Operations for Networks) and VMware vDefend Firewall services. The platform combines signature-based intrusion detection with behavioral analysis for advanced threat detection. Customizable real-time system alerts flag security misconfigurations and potential threats across the infrastructure stack, including policy, log data, and system health violations such as vSAN storage alerts. Security and operations teams can leverage interfaces, CLI tools, and APIs to automate security posture assessment and remediation workflows, as well as integrate third-party monitoring,  analysis, and SIEM tools. The platform has customizable retention periods for data.",,"Article 23, (2)(a)(i)
Article 23, (2)(a)(ii)
Article 23, 5. (a), (b), (c), (d)"
MON-16.1,Not currently mapped,Capabilities may exist but are not currently mapped.,,
MON-16.2,Not currently mapped,Capabilities may exist but are not currently mapped.,,
MON-16.3,Access Control and Identity Management,"VMware Cloud Foundation (VCF) integrates with third-party Privileged Access Management (PAM) solutions and federated identity providers through APIs, supporting on-premises and cloud-based authentication for user and programmatic access. The platform enforces granular permissions through role-based access control (RBAC) while VMware vDefend Firewall capabilities manage network access controls. Multifactor authentication can be achieved for day-to-day administration tasks via the vCenter Client and SDDC Manager UIs via federation with an external identity provider. Built-in authentication can be customized for complexity, timeouts, history, and other standard parameters.",,
MON-16.4,Not currently mapped,Capabilities may exist but are not currently mapped.,,
MON-17,Not currently mapped,Capabilities may exist but are not currently mapped.,,
MON-17.1,Not currently mapped,Capabilities may exist but are not currently mapped.,,
