Control ID,SCF ID,Description,Aggregate Coverage,VCF Coverage,VCF Response,VMware vDefend Coverage,VMware vDefend Response,VCF Protection and Recovery Coverage,VCF Protection and Recovery Response,VMware Data Services Manager Coverage,VMware Data Services Manager Response,VMware Avi Load Balancer Coverage,VMware Avi Load Balancer Response
MANAGE 4.1,"AAT-10.1, AAT-16.5, AAT-16.8","Post-deployment AI system monitoring plans are implemented, including mechanisms for capturing and evaluating input from users and other relevant AI actors, appeal and override, decommissioning, incident response, recovery, and change management.",Not Applicable,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
MANAGE 4.2,AAT-07.3,"Measurable activities for continual improvements are integrated into AI system updates and include regular engagement with interested parties, including relevant AI actors.",Contributes,Contributes,"Continuous improvement of Artificial Intelligence and Autonomous Technologies capabilities is an organizational activity carried out by the teams that build, evaluate, and operate AI workloads. VMware Private AI Services (PAIS) is the AI infrastructure layer of VCF and supplies the platform on which those workloads run; it does not perform the improvement cycle itself. The decision to retrain a model, change a data source, adjust a prompt, or retire a capability is made by the data science, MLOps, and product teams that own the workload, governed by their own internal processes.

PAIS supplies platform mechanisms that workload teams can incorporate into their own improvement cycles. A central model gallery is recommended for managing ML models with consistency across deployment targets. Knowledge bases can be created with linked data sources including Microsoft SharePoint sites and Amazon S3 compatible stores, allowing teams to update the context available to model responses without rebuilding the underlying model. Private AI Services Agent Builder maintains a list of approved tools for use in AI agents when connecting to Model Context Protocol (MCP) servers, giving workload owners a mechanism to add or restrict capabilities over time. PAIS can be installed or updated to later versions independently of the core Supervisor Service, allowing platform-level improvements to ship without a full core update. Controller pod metrics are integrated into observability platforms through Telegraf configuration in the Supervisor instance, so operations teams can feed platform telemetry into their evaluation loops. These are tools that workload teams use; PAIS does not own the improvement decision.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
MANAGE 4.3,AAT-11.4,"Incidents and errors are communicated to relevant AI actors, including affected communities. Processes for tracking, responding to, and recovering from incidents and errors are followed and documented.",Not Applicable,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
MAP 1.1,AAT-03,"Intended purposes, potentially beneficial uses, contextspecific laws, norms and expectations, and prospective settings in which the AI system will be deployed are understood and documented. Considerations include: the specific set or types of users along with their expectations; potential positive and negative impacts of system uses to individuals, communities, organizations, society, and the planet; assumptions and related limitations about AI system purposes, uses, and risks across the development or product AI lifecycle; and related TEVV and system metrics.",Not Applicable,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
MAP 1.2,AAT-07,"Interdisciplinary AI actors, competencies, skills, and capacities for establishing context reflect demographic diversity and broad domain and user experience expertise, and their participation is documented. Opportunities for interdisciplinary collaboration are prioritized.",Not Applicable,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
MAP 2.1,AAT-14.1,"The specific tasks and methods used to implement the tasks that the AI system will support are defined (e.g., classifiers, generative models, recommenders).",Contributes,Contributes,"VMware Private AI Services (PAIS) defines the AI task types the platform supports through a set of catalog items, model and knowledge-base constructs, and namespace activation steps that translate organizational AI scoping decisions into platform configuration. The PAIS catalog in VCF Automation, populated through the Private AI Services Quickstart, exposes a defined set of AI workload patterns to users: AI Workstation, DSM Database, Triton Inferencing Server, and AI Kubernetes Cluster. An organization administrator or MLOps engineer must activate PAIS in a namespace before any of these AI workloads can be requested, and catalog item permissions control which task types are visible to which users. AI workloads can run on GPU devices in vGPU or passthrough mode or in CPU-only configurations, allowing the task definitions to match the underlying hardware policy.

For generative AI tasks, PAIS provides Model Endpoints for completion and embedding models, Agent Builder for assembling agents on top of those endpoints, and Knowledge Bases that link to external data sources such as Microsoft SharePoint sites and Amazon S3 compatible stores so that retrieval-augmented generation patterns are scoped to approved corpora. Agent Builder also maintains a list of approved tools when connecting to MCP servers, giving organizations a mechanism to constrain the specialized capabilities an AI agent can invoke. Deployment connectivity mode is itself a defined attribute: PAIS can be installed in connected or disconnected air-gapped environments, with a Harbor registry, or another OCI-compliant registry, holding the model gallery in both modes.

Because PPTDF for this control is Process only, the organization remains responsible for identifying the AI use cases the environment will support, approving task categories, and documenting the operational scope. PAIS supplies the platform mechanisms that enforce those decisions but does not perform the scoping itself.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
MAP 2.2,AAT-14.2,Information about the AI system’s knowledge limits and how system output may be utilized and overseen by humans is documented. Documentation provides sufficient information to assist relevant AI actors when making decisions and taking subsequent actions.,Not Applicable,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
MAP 2.3,"AAT-10, AAT-12.2","Scientific integrity and TEVV considerations are identified and documented, including those related to experimental design, data collection and selection (e.g., availability, representativeness, suitability), system trustworthiness, and construct validation.",Contributes,Contributes,"VMware Private AI Services (PAIS) provides infrastructure that supports AI Test, Evaluation, Validation and Verification (TEVV) activities throughout the model lifecycle. Deep learning VMs provisioned from PAIS images provide dedicated testing environments for AI prototyping, fine-tuning, validation, and inference workloads. These DL VMs run on the same GPU-accelerated workload domains, vGPU profiles, and VM classes used in production, so TEVV activities occur in conditions comparable to the deployment environment.

The validate-then-publish workflow creates a formal gate for AI deployment. MLOps engineers validate models for inference functionality using the Triton Inference Server and evaluate performance and safety against business use cases, including examination of inference requests for malicious behavior and functional testing. Models must pass this validation before being uploaded to the Model Gallery for production use. Model integrity is verified through hash code validation, and each revision is assigned a unique digest stored as an OCI artifact with an immutable manifest, giving cryptographic verification that the tested model is the same artifact that gets deployed.

The platform also supports TEVV through its monitoring stack. VCF Operations monitors GPU consumption at cluster, host system, and host properties levels. Each DL VM includes a pre-installed DCGM Exporter with Prometheus collection at 5-second scrape intervals and Grafana visualization, supplying performance telemetry during testing and evaluation. The software stack for running AI applications on top of NVIDIA GPUs is validated in advance, and NVIDIA NGC containers are pre-tested and ready to run, reducing variables during TEVV by providing a known-good baseline.",Contributes,"VMware vDefend contributes to protecting the integrity of source data used by AI workloads on VCF through network-level security controls that restrict access to data stores and pipelines and detect malicious activity targeting data repositories.

Distributed Firewall microsegmentation enforces least-privilege network access at the vNIC level, limiting which workloads and users can reach databases, object stores, and data pipelines used for AI training and operation. Attacks that attempt to contaminate or corrupt AI source data require network access to the stores where training data resides; microsegmentation restricts that access to authorized workloads and identities. Security Intelligence provides visibility into traffic flows between workloads, generates firewall rule recommendations, and validates that security policies are enforced. Security Intelligence administrators can monitor for traffic leakage between environments, establish exceptions for authorized communication paths, and implement lockdown protection rules to control unauthorized inter-environment traffic. Gateway Firewall provides an additional enforcement point at the perimeter of network segments containing sensitive data repositories.

vDefend IDS/IPS inspects traffic to and from data repositories for known exploit patterns, command-and-control traffic, lateral movement, and data exfiltration signatures. The IDS/IPS filestore capability stores matched files to disk when a signature rule fires, supporting forensic analysis and post-incident review of suspected data integrity compromises. IDS/IPS signature-based detection also uses file magic inspection, identifying file types by their binary structure via libmagic, to detect misrepresented or malformed files in transit to data repositories.

Malware Prevention intercepts and analyzes files transferred over the network to data repositories. Profiles can be configured to send files to the cloud for detailed analysis or to process them locally without cloud connectivity. Verdict decisions classify files as Benign, Trusted, Highly Trusted, or Malicious. Security Services Platform Malware Prevention collects file analysis data including file hash submissions, assigns an Analyst UUID to each cloud submission for tracking, and records in-memory script buffer inspection details with associated analysis reports. The Security Services Platform also provides backup and restore mechanisms covering hardware malfunctions, software malfunctions, data corruption, and malware incidents, providing a recovery path if SSP itself is compromised.

vDefend contributes to this control because its microsegmentation, threat detection, and file inspection capabilities reduce the attack surface and detection gap for data poisoning attacks targeting AI workloads. Protecting data integrity at the application layer, including content validation, provenance tracking, and checksums within data stores, is outside vDefend's domain and requires organizational processes and additional tooling.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
MAP 3.4,AAT-10.1,"Processes for operator and practitioner proficiency with AI system performance and trustworthiness – and relevant technical standards and certifications – are defined, assessed, and documented.",Not Applicable,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
MAP 4.1,"AAT-01, AAT-02.1","Approaches for mapping AI technology and legal risks of its components – including the use of third-party data or software – are in place, followed, and documented, as are risks of infringement of a third party’s intellectual property or other rights.",Not Applicable,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
MAP 5.1,"AAT-07.1, AAT-07.2","Likelihood and magnitude of each identified impact (both potentially beneficial and harmful) based on expected use, past uses of AI systems in similar contexts, public incident reports, feedback from those external to the team that developed or deployed the AI system, or other data are identified and documented.",Not Applicable,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
MAP 5.2,AAT-11,"Practices and personnel for supporting regular engagement with relevant AI actors and integrating feedback about positive, negative, and unanticipated impacts are in place and documented.",Not Applicable,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
MEASURE 1.1,"AAT-07, AAT-16.4",Approaches and metrics for measurement of AI risks enumerated during the MAP function are selected for implementation starting with the most significant AI risks. The risks or trustworthiness characteristics that will not – or cannot – be measured are properly documented.,Not Applicable,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
MEASURE 1.3,AAT-11.1,"Internal experts who did not serve as front-line developers for the system and/or independent assessors are involved in regular assessments and updates. Domain experts, users, AI actors external to the team that developed or deployed the AI system, and affected communities are consulted in support of assessments as necessary per organizational risk tolerance.",Not Applicable,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
MEASURE 2.2,AAT-17.1,Evaluations involving human subjects meet applicable requirements (including human subject protection) and are representative of the relevant population.,Not Applicable,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
MEASURE 2.3,AAT-20.2,AI system performance or assurance criteria are measured qualitatively or quantitatively and demonstrated for conditions similar to deployment setting(s). Measures are documented.,Contributes,Contributes,"VCF contributes to AI implementation documentation by providing documented compute and hardware resource requirements, event log collection mechanisms, and infrastructure configuration references that support the documentation of AI deployment environments. VCF's compatibility guides document supported hardware, VCF Operations tracks infrastructure configuration, and VCF Log Management documents the event collection architecture.

Documenting AI model architecture, training methodology, and decision logic is outside VCF's scope.

VMware Private AI Services (PAIS), formerly Private AI Services, provides documentation and platform features that address several of the listed implementation documentation requirements. For computational and hardware resource requirements (item 6), the platform documents the system architecture of PAIS deployments, including GPU-accelerated workload domain requirements, vGPU profile configurations, VM class definitions for AI workloads, and the NVIDIA GPU and driver compatibility requirements. VI administrators configure vGPU-based VM classes that define the GPU resource allocations available to AI workloads. The PAIS catalog items in VCF Automation, including AI Workstation, DSM Database, Triton Inferencing Server, and AI Kubernetes Cluster, document the components users can provision in selected namespaces, and the deployment Overview tab summarizes the installed software and the access points for the application, services, and workstation VM. PAIS setup is documented for both connected and disconnected (air-gapped) deployment models, with a Harbor registry in the Supervisor or another OCI-compliant registry used to store validated ML models.

For event logging mechanisms (item 8), the platform documents multiple logging and telemetry capabilities. Deep Learning VMs record cloud-init script logs in /var/log/dl.log and GPU driver installation logs in /var/log/gpu-install.log, and they provide JupyterLab instances and console logs for verifying component installation and operation. The vLLM inference server logging level is configurable through the VLLM_LOGGING_LEVEL environment variable. PAIS Controller pod metrics are exposed at a Prometheus endpoint on the pais-controller-manager service and are integrated into observability platforms through Telegraf configuration in the Supervisor instance, with VCF Operations as the documented consuming platform. Deep Learning VMs also expose vGPU performance metrics through Prometheus. PAIS supports LLM traces collection in an OpenTelemetry Collector by configuring the spec.observability.llmTraces section of the PAISConfiguration custom resource. Knowledge Base operations track crawled documents, new documents found, deleted documents, modified documents requiring embeddings updates, and skipped documents, and record timing metrics for download, embedding generation, and the overall index operation.

For human oversight measures (item 5) and for interpreting outputs (items 4 and 5), MLOps engineers analyze LLM traces and Prometheus metrics to inspect agent execution flow across components and knowledge base indexing. The PAIS Agent Builder maintains a list of approved tools for use in AI agents and requires examination and approval of MCP server tools and capabilities before they are used by agents. Knowledge Bases are created with linked data sources such as Microsoft SharePoint sites and Amazon S3-compatible stores, which gives implementers a documented data lineage for retrieval-augmented generation outputs. Access to PAIS is controlled through OIDC authorized groups, where user accounts must be members of specified groups to consume the service, and personal access tokens generated from user account settings provide programmatic access to Knowledge Bases and data sources.

Requirements 1 (provider contact details), 2 (characteristics, capabilities, and limitations of the AI system), 3 (errata from initial conformity assessment), and 7 (projected useable lifetime) are documentation obligations carried by model vendors and the deploying organization rather than by the infrastructure platform. PAIS supplies registry and catalog mechanisms that organizations can attach revision and provenance metadata to, but the substantive documentation content for those items is outside the platform's scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
MEASURE 2.5,AAT-10.3,The AI system to be deployed is demonstrated to be valid and reliable. Limitations of the generalizability beyond the conditions under which the technology was developed are documented.,Contributes,Contributes,"VMware Private AI Services (PAIS) supports demonstrating model validity, reliability, and intended operation through its validate-then-publish workflow on the Model Gallery. MLOps engineers validate ML models against the security, privacy, and technical requirements of the organization before onboarding them to the gallery, which provides the verification step the control calls for. Before validation can take place, Deep Learning VMs require issuer certificates to be installed to the trust store via the update-ca-certificates command, establishing the trusted channel between the validation workstation and the model storage backend.

The Model Gallery is implemented on a private Harbor registry that PAIS integrates with as the model storage backend, requiring authentication and certificate-based trust for model retrieval. A Harbor administrator must create a dedicated PAIS project in the private Harbor registry as part of the deployment workflow, and OCI-compliant registries from other vendors are supported for organizations that already operate a model store. Project-level access controls in Harbor restrict who can upload, retrieve, and publish models, which keeps the gate between validation and production aligned with approved designs.

To support ongoing demonstration that deployed models continue to operate as intended, PAIS metrics are integrated with observability platforms such as Grafana and VCF Operations. Observability is configured during PAIS activation in VCF Automation and must be verified as active in the PAIS instance namespace, and PAIS controller pod metrics are forwarded through Telegraf configuration in the Supervisor instance. The vcf pais CLI plug-in distributes the artifact mirroring tool used to move validated content into disconnected environments, helping keep production deployments aligned with the content that was validated upstream.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
MEASURE 2.6,AAT-16,"The AI system is evaluated regularly for safety risks – as identified in the MAP function. The AI system to be deployed is demonstrated to be safe, its residual negative risk does not exceed the risk tolerance, and it can fail safely, particularly if made to operate beyond its knowledge limits. Safety metrics reflect system reliability and robustness, real-time monitoring, and response times for AI system failures.",Contributes,Contributes,"VCF contributes to monitoring deployed AI workloads through VCF Operations, which provides continuous visibility into the health, performance, and capacity of the infrastructure those workloads run on. VCF Operations dashboards display real-time and historical metrics for compute, storage, and networking resources consumed by AI VMs. VCF Log Management aggregates log data across the stack. VMware vCenter alarms trigger on configurable thresholds for CPU, memory, disk, and network conditions.

For AI and autonomous technology workloads deployed as containerized applications on VMware Kubernetes Service (VKS) clusters, the platform provides a layered observability stack. The Prometheus Standard Package, available for deployment on VKS clusters, collects metrics from configured targets at defined intervals, evaluates alerting rules, and forwards alerts to Alertmanager. The package includes prometheus-server, which handles scraping, rule processing, and alerting, as well as prometheus-kube-state-metrics for tracking node status, replica-set compliance, pod and job status, and resource requests and limits across namespaces. For batch inference or training jobs that cannot be scraped directly, Prometheus Pushgateway accepts pushed metrics. Grafana Operator pairs with Prometheus to provide dashboards and configurable alert thresholds, enabling operators to define visual representations of AI workload metrics and receive notifications when behavior deviates from expected patterns.

Monitoring agents for Kubernetes device plugin resources, including GPUs commonly consumed by AI inference and training workloads, can be deployed as DaemonSets on worker nodes to track resource utilization and associate metrics with specific containers. The Kubernetes Node Problem Detector can be extended with custom monitoring scripts written in any language, which allows AI-specific health checks to be added without modifying core Kubernetes components. Kubernetes also provides built-in auditing capabilities for monitoring and recording cluster activities.

Istio, available as a Standard Package for VKS clusters, provides mechanisms to secure, connect, and monitor services. For AI inference services that expose APIs, Istio supplies request rate, latency, and error rate metrics without requiring application-level instrumentation.

Deployments using the Harness CI/CD Supervisor Service can integrate Dynatrace, which automatically instruments applications and infrastructure upon deployment and collects metrics, logs, and traces. The Dynatrace AI engine detects anomalies, identifies root causes, and generates intelligent alerts. The Dynatrace operator automates the deployment, scaling, and maintenance of the monitoring stack within the VKS cluster. Harness Service Reliability Management monitors deployed services post-deployment to calculate a real-time health score based on transaction success and latency.

VKS cluster management proactively monitors the VKS cluster estate to confirm assigned policies are enforced correctly, and generates Policy Insights when configuration conflicts or environmental errors are detected.

Monitoring AI model behavior at the application level, including model drift, inference accuracy, and data distribution shifts, requires organization-defined monitoring logic implemented using these platform tools. VCF and its Kubernetes consumption layer provide the collection, storage, and alerting infrastructure, but the organization must configure the signals to collect, define thresholds for AI-specific behavioral anomalies, and establish processes for reviewing and responding to monitoring data.

VMware Private AI Services (PAIS) provides production monitoring for deployed AI workloads through metrics collection, telemetry, and integration with observability platforms. The Private AI Services controller exposes a Prometheus metrics endpoint on the pais-controller-manager service, and Private AI Services deployments include a Prometheus server pod that collects metrics for observability platforms. DevOps engineers visualize health and performance metrics for Private AI Services components running in a VCF Automation namespace using observability platforms such as Grafana.

Observability is activated by updating the PAISConfiguration custom resource with parameters that enable metrics collection for observability platforms and LLM traces for the OpenTelemetry (OTel) Collector. When LLM traces collection is activated, MLOps engineers can analyze traces from agents and knowledge base indexing in the OpenTelemetry Collector, supporting observation of model behavior and application health in agentic workflows. Private AI Services supports sending traces to an OpenTelemetry collector over HTTP/protobuf or gRPC.

Operators can monitor Private AI Services deployments in Grafana for pod restart frequency, vGPU licensing status, and idle or underutilized GPU devices in passthrough mode. Private AI Services controller pod metrics are integrated into observability platforms through Telegraf configuration in the Supervisor instance, which allows VCF Operations to ingest PAIS controller metrics alongside the broader infrastructure telemetry it already collects for GPU-enabled workload domains. Deployment health is verified through Kubernetes pod state of the API, ingress, rex worker, and Prometheus server pods.

MLOps engineers and application developers can perform monitoring and diagnostics of models used in agents through observability platforms like Grafana to track the health, quality, and behavior of AI applications.",Contributes,"VMware vDefend contributes to monitoring the functionality and behavior of deployed AI workloads running on VCF by providing continuous network-level behavioral monitoring, threat detection, and AI-assisted security analysis around those workloads.

Security Intelligence, running on the Security Services Platform, provides continuous network-level behavioral monitoring that detects new traffic flows, unauthorized communications, and anomalous activity around deployed systems, including AI workloads. It continuously monitors for new flows between environments and alerts administrators to unauthorized or unexpected traffic, supporting ongoing policy adjustments. The Segmentation Monitoring Dashboard provides dedicated views for monitoring environment-level traffic flows; when monitoring identifies an environment pair without a configured protection policy, it offers a Run Recommendations option to generate policy recommendations based on observed traffic. Security Intelligence provides Infrastructure, Environment, and Application Monitoring capabilities. The application monitoring view within the Segmentation Monitoring Dashboard surfaces metrics including unprotected flows and applications with unprotected rule hits, providing targeted visibility into workloads, including AI systems, that lack active firewall policy coverage. The Policy Recommendations monitoring capability checks for changes in monitored entity scope every hour when enabled. Security Intelligence also runs a scheduled daily classification job, automatically categorizing compute entities based on traffic flows observed over the prior 30 days.

Intelligent Assist is an AI-assisted analysis feature accessible through the NSX Manager UI and Security Services Platform UI. It provides contextual analysis support on the IDS/IPS, Detections, and Campaigns pages, enabling administrators to investigate security events affecting deployed workloads with AI-driven guidance.

IDS/IPS provides ongoing threat detection through monitoring dashboards scoped to both distributed and gateway deployments. Project-scoped dashboards display events triggered for specific projects, allowing targeted monitoring of AI workload deployments. Network Detection and Response (NDR) applies behavioral analysis to identify suspicious activity targeting monitored workloads. The NDR Sensor periodically checks the status of activated features on the Security Services Platform every 15 minutes and updates its configuration accordingly.

Monitoring AI system functionality at the application layer, including model performance, output quality, and behavioral drift, is outside vDefend's domain and requires additional tooling.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
