SCG ID,Product,Product Version,Component,Component Version,Feature/Function,Implementation Priority,Description/Title,Discussion,Configuration Parameter,Installation Default Value,Baseline Suggested Value,Is the Default?,Action Needed,Setting Location,Potential Functional Impact if Default Value is Changed,PowerCLI Command Assessment,PowerCLI Command Remediation Example,Audited in SCG Tools?,Remediated in SCG Tools?,DISA STIG Mapping,DISA STIG Requirement,DISA STIG Control Exceeds Baseline?,PCI DSS 4.0 Mapping,PCI DSS 4.0 Requirement,PCI DSS 4.0 Control Exceeds Baseline?,VCF Compatible,,,,,,,
esxi-8.firewall-restrict-access,VMware vSphere,8,VMware ESXi,8.0.3,Base,P1,Configure the ESXi host firewall to only allow traffic from authorized networks.,"Ensures that all incoming and outgoing network traffic is blocked unless explicitly allowed, reducing the attack surface and helping to prevent unauthorized access to the host.

As of vSphere 8.0.2, firewall rules are categorized as 'user' or 'system' owned, where only 'user' owned rules are configurable. Beginning in vSphere 8 Update 2b and PowerCLI 13.2.1 there are additional queryable parameters to automate setting and checking for configurable rules.",N/A,Connections allowed from any IP address,Connections allowed only from authorized infrastructure and administration workstations,NO,Modify,ESXi Firewall Configuration,"Firewall is simplistic, akin to router ACLs, and may need reflexive rules configured.","$ESXcli = Get-EsxCli -VMHost $ESXi -V2
$list = $ESXcli.network.firewall.ruleset.list.Invoke() | Where {($_.AllowedIPconfigurable -eq $true) -and ($_.EnableDisableconfigurable -eq $true)} | Select -ExpandProperty Name

$arguments = $ESXcli.network.firewall.ruleset.allowedip.list.CreateArgs()
foreach ($rule in $list) {
    $arguments.rulesetid = $rule
    $ESXcli.network.firewall.ruleset.allowedip.list.Invoke($arguments) 
}","# This is an example which you will want to customize!
$ESXcli = Get-EsxCli -VMHost $ESXi -V2
# Deactivate firewall temporarily so we don't lose connectivity
$arguments = $ESXcli.network.firewall.set.CreateArgs()
$arguments.enabled = $false
$ESXcli.network.firewall.set.Invoke($arguments)

# Unset the ""allow all"" flag
$arguments = $ESXcli.network.firewall.ruleset.set.CreateArgs()
$arguments.allowedall = $false
$arguments.rulesetid = ""sshServer""
$ESXcli.network.firewall.ruleset.set.Invoke($arguments)

# Add an IP range
$arguments = $ESXcli.network.firewall.ruleset.allowedip.add.CreateArgs()
$arguments.ipaddress = ""192.168.0.0/16""
$arguments.rulesetid = ""sshServer""
$ESXcli.network.firewall.ruleset.allowedip.add.Invoke($arguments)

# Enable the firewall
$arguments = $ESXcli.network.firewall.set.CreateArgs()
$arguments.enabled = $true
$ESXcli.network.firewall.set.Invoke($arguments)",FALSE,FALSE,ESXI-80-000239,Connections allowed only from authorized infrastructure and administration workstations,NO,"1.3.1
1.4.1
1.4.2
1.4.4",N/A,N/A,TRUE,,,,,,,
esxi-8.host-client-session-timeout,VMware vSphere,8,VMware ESXi,8.0.3,Base,P2,The ESXi host must automatically terminate idle host client sessions.,"This practice helps mitigate potential security risks by ensuring that unattended sessions, which could be exploited by unauthorized users or malicious software, are not left open indefinitely.",UserVars.HostClientSessionTimeout,900,900,YES,Audit,"ESXi Advanced
System Settings",None,Get-VMHost -Name $ESXi | Get-AdvancedSetting UserVars.HostClientSessionTimeout,Get-VMHost -Name $ESXi | Get-AdvancedSetting UserVars.HostClientSessionTimeout | Set-AdvancedSetting -Value 900,TRUE,TRUE,ESXI-80-000010,900,NO,8.2.8,15 minutes,NO,TRUE,,,,,,,
esxi-8.hw-virtual-nic,VMware vSphere,8,VMware ESXi,8.0.3,Base,Advanced,The ESXi host must not enable virtual hardware management network interfaces.,Hardware management controllers often present virtual or USB NICs to the ESXi host. These can be used as backdoors and should be deactivated both in the hardware configuration and in ESXi.,Net.BMCNetworkEnable,1,0,NO,Modify,"ESXi Advanced
System Settings",Some third-party managed solutions may require this.,Get-VMHost -Name $ESXi | Get-AdvancedSetting Net.BMCNetworkEnable,Get-VMHost -Name $ESXi | Get-AdvancedSetting Net.BMCNetworkEnable | Set-AdvancedSetting -Value 0,TRUE,TRUE,ESXI-80-000250,0,NO,"1.3.1
1.4.1
1.4.2
1.4.4",N/A,N/A,TRUE,,,,,,,
esxi-8.iscsi-mutual-chap,VMware vSphere,8,VMware ESXi,8.0.3,iSCSI,"P0
Upon Feature Enablement",Enable bidirectional/mutual CHAP authentication for iSCSI traffic.,"Mutual CHAP provides an additional layer of protection by requiring both the initiator (client) and the target (server) to verify their identities to each other, thereby ensuring data transmitted between the two is not intercepted or altered by unauthorized entities.","Set iSCSI storage adapter authentication to ""Use bidirectional CHAP"" and supply credentials",Not Configured,Enabled,NO,Modify if Feature in Use,ESXi iSCSI Configuration,None,"Get-VMHost -Name $ESXi | Get-VMHostHba | Where {$_.Type -eq ""Iscsi""} | Select VMHost, Device, ChapType, @{N=""CHAPName"";E={$_.AuthenticationProperties.ChapName}}","Get-VMHost -Name $ESXi | Get-VMHostHba | Where {$_.Type -eq ""Iscsi""} | Set-VMHostHba <parameters>",FALSE,FALSE,ESXI-80-000145,Enabled,NO,8.3.2,N/A,N/A,TRUE,,,,,,,
esxi-8.key-persistence,VMware vSphere,8,VMware ESXi,8.0.3,TPM,"P2
Upon Feature Enablement",The ESXi host must not store encryption keys on ESXi hosts without securing physical access to the hosts.,"Key Persistence is a mechanism that uses a local Trusted Platform Module (TPM) to store Standard Key Provider keys, usually found only in an external Key Management System (KMS). While this setup can improve management of dependencies, using Key Persistence changes the encryption risks. If an attacker steals the host, they will have access to the encryption keys for data on that host, bypassing the access controls of the external KMS. Therefore, Key Persistence should be used only when the physical security of the hosts is assured. If the physical hosts are not secure and an attacker can steal the host, they will also have the means to access and use encrypted workloads.

Key Persistence and Native Key Provider are often conflated because both store encryption data on hosts. However, the Native Key Provider does not use Key Persistence, so turning off Key Persistence won't affect it. Like Key Persistence, the Native Key Provider also requires careful consideration of physical security, as outlined in the 'design-8.native-key-provider' and 'design-8.hardware-physical-security' controls.",N/A,false,false,YES,Audit,esxcli,Default is desired behavior. Change away from the default may negatively impact confidentiality in environments where physical access by attackers is possible.,"$ESXcli = Get-EsxCli -VMHost $ESXi -V2
$ESXcli.system.security.keypersistence.get.invoke() | Select-Object -ExpandProperty Enabled","$ESXcli = Get-EsxCli -VMHost $ESXi -V2
$arguments = $ESXcli.system.security.keypersistence.disable.CreateArgs()
$arguments.removeallstoredkeys = $true
$ESXcli.system.security.keypersistence.disable.Invoke($arguments)",TRUE,FALSE,ESXI-80-000248,false,NO,"3.3.2
3.3.3
3.5.1",N/A,N/A,TRUE,,,,,,,
esxi-8.lockdown-dcui-access,VMware vSphere,8,VMware ESXi,8.0.3,Base,P2,The ESXi host must have an accurate DCUI.Access list.,"Ensures that only authorized users have direct console user interface (DCUI) access to the ESXi host when Lockdown Mode is enabled. The root user cannot be removed from the list.

To control ESXi Shell and/or SSH access use the Lockdown Mode Exception Users list.",DCUI.Access,root,root,YES,Audit,"ESXi Advanced
System Settings",Potential for loss of administrative access to hosts. Ensure that the host is attached to the vCenter Server and that access lists and exception lists are configured prior to configuring lockdown mode.,Get-VMHost -Name $ESXi | Get-AdvancedSetting DCUI.Access,Get-VMHost -Name $ESXi | Get-AdvancedSetting DCUI.Access | Set-AdvancedSetting -Value root,TRUE,TRUE,ESXI-80-000189,root,NO,2.2.4,N/A,N/A,TRUE,,,,,,,
esxi-8.lockdown-exception-users,VMware vSphere,8,VMware ESXi,8.0.3,Base,P2,The ESXi host must have an accurate Exception Users list.,"Users on the Lockdown Mode ""Exception Users"" list do not lose their privileges when the host enters lockdown mode, which can potentially defeat the purpose of lockdown mode.",N/A,Null,Null,YES,Audit,ESXi Security Profile,Potential for loss of administrative access to hosts. Ensure that the host is attached to the vCenter Server and that access lists and exception lists are configured prior to configuring lockdown mode.,(Get-View (Get-VMHost -Name $ESXi | Get-View).ConfigManager.HostAccessManager).QueryLockdownExceptions(),(Get-View (Get-VMHost -Name $ESXi | Get-View).ConfigManager.HostAccessManager).UpdateLockdownExceptions($NULL),TRUE,TRUE,ESXI-80-000201,Null,NO,2.2.4,N/A,N/A,TRUE,,,,,,,
esxi-8.lockdown-mode,VMware vSphere,8,VMware ESXi,8.0.3,Base,P0,Enable normal lockdown mode on the ESXi host.,"Enabling lockdown mode deactivates direct access to an ESXi host and requires that the host be managed remotely from vCenter Server. This is done to ensure that the roles and access controls implemented in vCenter are always enforced, and users cannot bypass them by logging into a host directly. By forcing all interactions to occur through vCenter Server, the risk of someone attaining elevated privileges or performing tasks that are not properly audited is greatly reduced.

Note that users listed in the Exception Users list for each host are allowed to override lockdown mode and log in. By default, no users are present on the Exception Users list.

There are three settings for lockdown mode: disabled, normal, and strict. Choosing strict means that if the ESXi host loses contact with vCenter Server, it cannot be managed in any way until that connection is restored. If the connection cannot be restored, the host will need to be rebuilt. This level of lockdown mode is typically not necessary for most deployments and can present significant operational challenges. Therefore, we recommend using normal lockdown mode.",N/A,lockdownDisabled,lockdownNormal,NO,Modify,ESXi Security Profile,"Potential for loss of administrative access to hosts. Ensure that the host is attached to vCenter Server and that access lists and exception lists are configured prior to configuring lockdown mode.

There are some operations, such as backup and troubleshooting, that require direct access to the host. In these cases, Lockdown Mode can be deactivated on a temporary basis for specific hosts as needed, and then re-enabled when the task is completed.",(Get-View (Get-VMHost -Name $ESXi | Get-View).ConfigManager.HostAccessManager).LockdownMode,(Get-View (Get-VMHost -Name $ESXi | Get-View).ConfigManager.HostAccessManager).ChangeLockdownMode('lockdownNormal'),TRUE,TRUE,ESXI-80-000008,lockdownNormal,NO,2.2.4,N/A,N/A,TRUE,,,,,,,
esxi-8.logs-audit-local,VMware vSphere,8,VMware ESXi,8.0.3,Base,P0,The ESXi host must enable audit record logging.,ESXi will store audit records locally.,Syslog.global.auditRecord.storageEnable,FALSE,TRUE,NO,Modify,"ESXi Advanced
System Settings",Additional storage space consumed by logs.,Get-VMHost -Name $ESXi | Get-AdvancedSetting Syslog.global.auditRecord.storageEnable,Get-VMHost -Name $ESXi | Get-AdvancedSetting Syslog.global.auditRecord.storageEnable | Set-AdvancedSetting -Value TRUE,TRUE,TRUE,ESXI-80-000232,TRUE,NO,10.2.1,N/A,N/A,TRUE,,,,,,,
esxi-8.logs-audit-local-capacity,VMware vSphere,8,VMware ESXi,8.0.3,Base,P1,The ESXi host must store one week of audit records.,"If a remote audit record storage facility is available, it is essential to ensure that the local storage capacity is sufficient to hold audit records that may accumulate during anticipated interruptions in the delivery of records to the facility. This ensures that audit records are not lost or overwritten during periods when the remote storage is unavailable, allowing for seamless continuity of the audit trail and compliance requirements.",Syslog.global.auditRecord.storageCapacity,4,100,NO,Modify,"ESXi Advanced
System Settings",Additional storage space consumed by logs.,Get-VMHost -Name $ESXi | Get-AdvancedSetting Syslog.global.auditRecord.storageCapacity,Get-VMHost -Name $ESXi | Get-AdvancedSetting Syslog.global.auditRecord.storageCapacity | Set-AdvancedSetting -Value 100,TRUE,TRUE,ESXI-80-000113,100,NO,10.5.1,"12 months, with
3 immediately available",YES,TRUE,,,,,,,
esxi-8.logs-audit-persistent,VMware vSphere,8,VMware ESXi,8.0.3,Base,P0,Configure a persistent log location for all locally stored audit records on the ESXi host.,"ESXi can be configured to store audit records on an in-memory file system.  This occurs when the host's ""/scratch"" directory is linked to ""/tmp/scratch"". When this is done only a single day's worth of records are stored at any time. In addition audit records will be reinitialized upon each reboot.  This presents a security risk as user activity logged on the host is only stored temporarily and will not persistent across reboots.  This can also complicate auditing and make it harder to monitor events and diagnose issues.  ESXi host audit record logging should always be configured to a persistent datastore.

You can detect if the scratch volume is temporary or persistent by querying the ScratchConfig.CurrentScratchLocation advanced parameter. If, when queried, it returns ""/tmp/scratch"" then the volume is temporary and you should remap the audit record storage to a persistent device.

Cannot be a vSAN datastore. If your only local, non-vSAN storage is SD or USB media (which can become unreliable with repeated writes from logs) you might consider leaving the logs in the ramdisk and ensuring that a remote logging host is configured instead. Document the decision and rationale in preparation for future audits.","ScratchConfig.CurrentScratchLocation
Syslog.global.auditRecord.storageDirectory","Depends on boot device
[] /scratch/auditLog",Persistent Storage Location,NO,Modify,"ESXi Advanced
System Settings",Additional storage space consumed by logs.,"$ESXcli = Get-EsxCli -VMHost $ESXi -V2
$ESXcli.system.syslog.config.get.Invoke() | Select LocalLogOutput,LocalLogOutputIsPersistent

If your LocalLogOutput is set to a directory in /scratch, and LocalLogOutputIsPersistent is true, that means your boot device is of a type and size that makes /scratch persistent. Verify that your audit storage is also on /scratch, and that /scratch points to a VMFS datastore:

Get-VMHost -Name $ESXi | Get-AdvancedSetting ScratchConfig.CurrentScratchLocation
Get-VMHost -Name $ESXi | Get-AdvancedSetting Syslog.global.auditRecord.storageDirectory","Get-VMHost -Name $ESXi | Get-AdvancedSetting Syslog.global.auditRecord.storageDirectory | Set-AdvancedSetting -Value ""<PERSISTENT LOCATION>/audit""",TRUE,FALSE,ESXI-80-000243,Persistent Storage Location,NO,10.5.1,"12 months, with
3 immediately available",YES,TRUE,,,,,,,
esxi-8.logs-audit-remote,VMware vSphere,8,VMware ESXi,8.0.3,Base,P0,The ESXi host must transmit audit records to a remote host.,ESXi will transmit audit records to the configured log collector.,Syslog.global.auditRecord.remoteEnable,FALSE,TRUE,NO,Modify,"ESXi Advanced
System Settings",None,Get-VMHost -Name $ESXi | Get-AdvancedSetting Syslog.global.auditRecord.remoteEnable,Get-VMHost -Name $ESXi | Get-AdvancedSetting Syslog.global.auditRecord.remoteEnable | Set-AdvancedSetting -Value TRUE,TRUE,TRUE,ESXI-80-000233,TRUE,NO,"10.2.1
10.3.3",N/A,N/A,TRUE,,,,,,,
esxi-8.logs-filter,VMware vSphere,8,VMware ESXi,8.0.3,Base,P2,The ESXi host must not enable log filtering.,"You can create log filters to reduce the number of repetitive entries, and to deny specific log events entirely.",N/A,false,false,YES,Audit,"ESXi Advanced
System Settings",None,"$ESXcli = Get-EsxCli -VMHost $ESXi -V2
$ESXcli.system.syslog.config.logfilter.get.invoke() | Select -ExpandProperty LogFilteringEnabled ","$ESXcli = Get-EsxCli -VMHost $ESXi -V2
$arguments = $esxcli.system.syslog.config.logfilter.set.CreateArgs()
$arguments.logfilteringenabled = $false
$ESXcli.system.syslog.config.logfilter.set.invoke($arguments)",TRUE,TRUE,ESXI-80-000246,false,NO,10.2.1,N/A,N/A,TRUE,,,,,,,
esxi-8.logs-level,VMware vSphere,8,VMware ESXi,8.0.3,Base,P2,Set the ESXi host logging informational level to info.,It is important to ensure that sufficient information is present in audit logs for diagnostics and forensics purposes.,Config.HostAgent.log.level,info,info,YES,Audit,"ESXi Advanced
System Settings",Additional storage space consumed by logs.,Get-VMHost -Name $ESXi | Get-AdvancedSetting Config.HostAgent.log.level,Get-VMHost -Name $ESXi | Get-AdvancedSetting Config.HostAgent.log.level | Set-AdvancedSetting -Value info,TRUE,TRUE,"ESXI-80-000015
ESXI-80-000030",info,NO,10.2.1,N/A,N/A,TRUE,,,,,,,
esxi-8.logs-level-global,VMware vSphere,8,VMware ESXi,8.0.3,Base,P2,The ESXi host must log sufficient information for events.,"It is important to ensure that sufficient information is present in audit logs for diagnostics and forensics purposes. The recommendation for this parameter in the Security Configuration Guide has traditionally been ""info"" but with the introduction of the audit logging subsystems there is no longer a need for the extra log traffic. As such, the recommendation has changed to use the product default of ""error"" unless debugging or troubleshooting.",Syslog.global.logLevel,error,error,YES,Audit,"ESXi Advanced
System Settings",Additional storage space consumed by logs.,Get-VMHost -Name $ESXi | Get-AdvancedSetting Syslog.global.logLevel,Get-VMHost -Name $ESXi | Get-AdvancedSetting Syslog.global.logLevel | Set-AdvancedSetting -Value error,TRUE,TRUE,ESXI-80-000235,info,NO,10.2.1,N/A,N/A,TRUE,,,,,,,
esxi-8.logs-persistent,VMware vSphere,8,VMware ESXi,8.0.3,Base,P0,Configure a persistent log location for all locally stored logs on the ESXi host.,"ESXi can be configured to store log files on an in-memory file system. This occurs when the host's ""/scratch"" directory is linked to ""/tmp/scratch"". When this is done, only a single day's worth of logs is stored at any time. Additionally, log files will be reinitialized upon each reboot. This presents a security risk as user activity logged on the host is only stored temporarily and will not persist across reboots. It can also complicate auditing and make it harder to monitor events and diagnose issues. Therefore, it is recommended to configure ESXi host logging to a persistent datastore.

You can detect if the scratch volume is temporary or persistent by querying the ScratchConfig.CurrentScratchLocation advanced parameter. If, when queried, it returns ""/tmp/scratch"" then the volume is temporary and you should remap the audit record storage to a persistent device.

Cannot be a vSAN datastore unless Syslog.global.vsanBacking is set, which has caveats & dependencies. If your only local, non-vSAN storage is SD or USB media (which can become unreliable with repeated writes from logs) you might consider leaving the logs in the ramdisk and ensuring that a remote logging host is configured instead. Document the decision and rationale in preparation for future audits.","LocalLogOutputIsPersistent
ScratchConfig.CurrentScratchLocation
Syslog.global.logDir","Depends on boot device
[] /scratch/log",Persistent Storage Location,NO,Modify,"ESXi Advanced
System Settings",None,"$ESXcli = Get-EsxCli -VMHost $ESXi -V2
$ESXcli.system.syslog.config.get.Invoke() | Select LocalLogOutput,LocalLogOutputIsPersistent

If your LocalLogOutput is set to a directory in /scratch, and LocalLogOutputIsPersistent is true, that means your boot device is of a type and size that makes /scratch persistent. Verify that your log storage is also on /scratch, , and that /scratch points to a VMFS datastore:

Get-VMHost -Name $ESXi | Get-AdvancedSetting ScratchConfig.CurrentScratchLocation
Get-VMHost -Name $ESXi | Get-AdvancedSetting Syslog.global.logDir","Get-VMHost -Name $ESXi | Get-AdvancedSetting Syslog.global.logDir | Set-AdvancedSetting -Value ""<PERSISTENT LOCATION>""
",TRUE,FALSE,ESXI-80-000243,Persistent Storage Location,NO,10.5.1,"12 months, with
3 immediately available",YES,TRUE,,,,,,,
esxi-8.logs-remote,VMware vSphere,8,VMware ESXi,8.0.3,Base,P0,Configure a remote log server for the ESXi host.,"Remote logging to a central log host provides a secure and centralized store for ESXi logs. By gathering host log files onto a central host, you can more easily monitor all hosts using a single tool. Additionally, you can perform aggregate analysis and searching to identify coordinated attacks on multiple hosts. Logging to a secure and centralized log server helps prevent log tampering and ensures a long-term audit record.",Syslog.global.logHost,Undefined,Site-Specific Log Server,NO,Modify,"ESXi Advanced
System Settings",None,Get-VMHost -Name $ESXi | Get-AdvancedSetting Syslog.global.logHost,"Get-VMHost -Name $ESXi | Get-AdvancedSetting Syslog.global.logHost | Set-AdvancedSetting -Value ""<log collector>""",TRUE,FALSE,ESXI-80-000114,Site-Specific Log Server,NO,"10.2.1
10.3.3",N/A,N/A,TRUE,,,,,,,
esxi-8.logs-remote-tls,VMware vSphere,8,VMware ESXi,8.0.3,Base,P2,The ESXi host must verify certificates for TLS remote logging endpoints.,TLS certificates help ensure that the endpoint is authentic and trustworthy.,Syslog.global.certificate.checkSSLCerts,TRUE,TRUE,YES,Audit,"ESXi Advanced
System Settings",None,Get-VMHost -Name $ESXi | Get-AdvancedSetting Syslog.global.certificate.checkSSLCerts,Get-VMHost -Name $ESXi | Get-AdvancedSetting Syslog.global.certificate.checkSSLCerts | Set-AdvancedSetting -Value TRUE,TRUE,TRUE,ESXI-80-000224,TRUE,NO,2.2.7,N/A,N/A,TRUE,,,,,,,
esxi-8.logs-remote-tls-x509,VMware vSphere,8,VMware ESXi,8.0.3,Base,P0,The ESXi host must use strict x509 verification for TLS-enabled remote logging endpoints.,"This ""x509-strict"" option performs additional validity checks on CA root certificates during verification.",Syslog.global.certificate.strictX509Compliance,FALSE,TRUE,NO,Modify,"ESXi Advanced
System Settings",None,Get-VMHost -Name $ESXi | Get-AdvancedSetting Syslog.global.certificate.strictX509Compliance,Get-VMHost -Name $ESXi | Get-AdvancedSetting Syslog.global.certificate.strictX509Compliance | Set-AdvancedSetting -Value TRUE,TRUE,TRUE,ESXI-80-000234,TRUE,NO,2.2.7,N/A,N/A,TRUE,,,,,,,
esxi-8.memeagerzero,VMware vSphere,8,VMware ESXi,8.0.3,Base,P0,The ESXi host must enable volatile key destruction.,"By default, ESXi zeroes out pages allocated for virtual machines (VMs), userspace applications, and kernel threads at the time of allocation. This ensures that no non-zero pages are exposed to VMs or userspace applications. This measure is in place to prevent the exposure of cryptographic keys from VMs or userworlds to other clients.

However, if memory is not reused, these keys can remain present in host memory for an extended period. To address this, MemEagerZero can be configured to enforce the zeroing out of userworld and guest memory pages when a userworld process or guest exits. For kernel threads, memory spaces holding keys are zeroed out as soon as the secret is no longer required.",Mem.MemEagerZero,0,1,NO,Modify,"ESXi Advanced
System Settings","Additional shutdown time required for virtual machines, corresponding to the amount of allocated memory.",Get-VMHost -Name $ESXi | Get-AdvancedSetting Mem.MemEagerZero,Get-VMHost -Name $ESXi | Get-AdvancedSetting Mem.MemEagerZero | Set-AdvancedSetting -Value 1,TRUE,TRUE,ESXI-80-000225,1,NO,3.6.1,N/A,N/A,TRUE,,,,,,,
esxi-8.network-bpdu,VMware vSphere,8,VMware ESXi,8.0.3,Base,P2,Enable the Bridge Protocol Data Unit (BPDU) filter on the ESXi host.,"BPDUs (Bridge Protocol Data Units) are used to transmit Spanning Tree Protocol (STP) information and detect network loops. BPDU Guard and Portfast are commonly enabled on the physical switch directly connected to the ESXi host to reduce spanning tree convergence delay.

However, if a BPDU packet is sent from a virtual machine on the ESXi host to the configured physical switch, it can result in a cascading lockout of all uplink interfaces from the ESXi host. To prevent this type of lockout, BPDU Filter can be enabled on the ESXi host to drop any BPDU packets being sent to the physical switch.

It is important to note that Standard and Distributed Virtual Switches do not support STP and do not generate BPDUs.",Net.BlockGuestBPDU,1,1,YES,Audit,"ESXi Advanced
System Settings","Some network-oriented workloads can legitimately generate BPDU packets. The administrator should verify that there are no legitimate BPDU packets generated by virtual machines on the ESXi host prior to enabling BPDU Filter. If BPDU Filter is enabled in this situation, enabling Reject Forged Transmits on the virtual switch port group adds protection against Spanning Tree loops.",Get-VMHost -Name $ESXi | Get-AdvancedSetting Net.BlockGuestBPDU,Get-VMHost -Name $ESXi | Get-AdvancedSetting Net.BlockGuestBPDU | Set-AdvancedSetting -Value 1,TRUE,TRUE,ESXI-80-000215,1,NO,N/A,N/A,N/A,TRUE,,,,,,,
esxi-8.network-dvfilter,VMware vSphere,8,VMware ESXi,8.0.3,Base,P2,Use of the dvFilter network APIs must be restricted on the ESXi host.,"If you are not using a product such as VMware NSX that utilizes the dvfilter network API, it is recommended not to configure the host to send network information to an IP address. Enabling the API and referencing an IP address that is compromised could potentially provide unauthorized access to the network of other virtual machines (VMs) on the host.

If you are using a product that relies on this API, it is important to verify that the host has been configured correctly to ensure secure network communication.",Net.DVFilterBindIpAddress,"""""","""""",YES,Audit,"ESXi Advanced
System Settings",None,Get-VMHost -Name $ESXi | Get-AdvancedSetting Net.DVFilterBindIpAddress,"Get-VMHost -Name $ESXi | Get-AdvancedSetting Net.DVFilterBindIpAddress | Set-AdvancedSetting -Value """"",TRUE,TRUE,ESXI-80-000219,"""""",NO,N/A,N/A,N/A,TRUE,,,,,,,
esxi-8.network-reject-forged-transmit-standardswitch,VMware vSphere,8,VMware ESXi,8.0.3,Standard Switch,"P1
Upon Feature Enablement",All standard switches and their port groups must be configured to reject forged transmits.,"If the MAC address of a virtual machine operating system changes, it allows the operating system to send frames with an impersonated source MAC address, potentially enabling malicious attacks on devices within a network by impersonating an authorized network adapter.

When the ""Forged transmits"" option is set to ""Accept,"" ESXi does not compare the source and effective MAC addresses.

To protect against MAC impersonation, you can set the ""Forged transmits"" option to ""Reject."" In this case, the host compares the source MAC address being transmitted by the guest operating system with the effective MAC address for its virtual machine adapter to check for a match. If the addresses do not match, the ESXi host drops the packet.",N/A,Accept,Reject,NO,Modify,Virtual Switch Settings,"Some workloads, such as clustered applications and network devices/functions, rely on these techniques as a normal part of their operation. If necessary, it is recommended to create a separate port group that allows this behavior, with only authorized virtual machines connected to it.","Get-VMHost -Name $ESXi | Get-VirtualSwitch -Standard | Get-SecurityPolicy | select VirtualSwitch,ForgedTransmits
Get-VMHost -Name $ESXi | Get-VirtualPortGroup -Standard | Get-SecurityPolicy | select VirtualPortGroup,ForgedTransmits","Get-VMHost -Name $ESXi | Get-VirtualSwitch -Standard | Get-SecurityPolicy | Set-SecurityPolicy -ForgedTransmits $false 
Get-VMHost -Name $ESXi | Get-VirtualPortGroup -Standard | Get-SecurityPolicy | Set-SecurityPolicy -ForgedTransmitsInherited $true",TRUE,TRUE,ESXI-80-000216,Reject,NO,1.4.3,N/A,N/A,TRUE,,,,,,,
esxi-8.network-reject-mac-changes-standardswitch,VMware vSphere,8,VMware ESXi,8.0.3,Standard Switch,"P0
Upon Feature Enablement",All standard switches and their port groups must be configured to reject guest MAC address changes.,"If the virtual machine operating system changes the MAC address, it can send frames with an impersonated source MAC address, enabling it to stage malicious attacks on devices within a network by impersonating a network adapter authorized by the receiving network. To prevent virtual machines from changing their effective MAC address, measures should be taken to enforce MAC address stability or restrict the ability to modify MAC addresses. This helps mitigate the risk of MAC impersonation and potential malicious activities.",N/A,Accept,Reject,NO,Modify,Virtual Switch Settings,"Some workloads, such as clustered applications, network devices/functions, applications licensed by MAC address, and vCenter Server Reduced Downtime Upgrade, rely on these techniques as a normal part of their operation. If necessary, it is recommended to create a separate port group that allows this behavior, with only authorized virtual machines connected to it.","Get-VMHost -Name $ESXi | Get-VirtualSwitch -Standard | Get-SecurityPolicy | select VirtualSwitch,MacChanges
Get-VMHost -Name $ESXi | Get-VirtualPortGroup -Standard | Get-SecurityPolicy | select VirtualPortGroup,MacChanges","Get-VMHost -Name $ESXi | Get-VirtualSwitch -Standard | Get-SecurityPolicy | Set-SecurityPolicy -MacChanges $false
Get-VMHost -Name $ESXi | Get-VirtualPortGroup -Standard | Get-SecurityPolicy | Set-SecurityPolicy -MacChangesInherited $true",TRUE,TRUE,ESXI-80-000217,Reject,NO,1.4.3,N/A,N/A,TRUE,,,,,,,
esxi-8.network-reject-promiscuous-mode-standardswitch,VMware vSphere,8,VMware ESXi,8.0.3,Standard Switch,"P0
Upon Feature Enablement",All standard switches and their port groups must be configured to reject guest promiscuous mode requests.,"When promiscuous mode is enabled for a port group, all virtual machines connected to that port group have the potential to read all packets transmitted across that port group, regardless of the intended recipient.

It is important to consider the potential impact and design considerations before changing the default value of promiscuous mode.",N/A,Reject,Reject,YES,Audit,Virtual Switch Settings,"Certain workloads and types of work, such as DHCP servers, network devices, and security monitoring, incorporate these techniques as a regular part of their operation. If necessary, it is advisable to create a distinct port group that allows this behavior, ensuring that only authorized virtual machines are associated with it.","Get-VMHost -Name $ESXi | Get-VirtualSwitch -Standard | Get-SecurityPolicy | select VirtualSwitch,AllowPromiscuous
Get-VMHost -Name $ESXi | Get-VirtualPortGroup -Standard | Get-SecurityPolicy | select VirtualPortGroup,AllowPromiscuous","Get-VMHost -Name $ESXi | Get-VirtualSwitch -Standard | Get-SecurityPolicy | Set-SecurityPolicy -AllowPromiscuous $false
Get-VMHost -Name $ESXi | Get-VirtualPortGroup -Standard | Get-SecurityPolicy | Set-SecurityPolicy -AllowPromiscuousInherited $true",TRUE,TRUE,ESXI-80-000218,Reject,NO,1.4.5,N/A,N/A,TRUE,,,,,,,
