Control ID,SCF ID,Description,Control Coverage,Response,,,,,,,,,,,,,,,,,,,,,
164.308(a)(5)(i),"SAT-01, SAT-02","Standard: Security awareness and training. Implement a security awareness and training program for all members of its workforce (including management).
",Not Applicable,"VMware Cloud Foundation (VCF) provides the foundational infrastructure for virtualized and containerized workloads, encompassing compute, storage, and networking capabilities. The platform's scope is limited to the technical components and operational aspects of the SDDC infrastructure itself.

The implementation of a security awareness and training program for an organization's workforce, including management, falls outside the technical domain of the VCF platform. This control requires the establishment of organizational policies, the development and delivery of training content, and the tracking of workforce completion, which are all customer-defined and managed responsibilities.",,,,,,,,,,,,,,,,,,,,,
164.308(a)(5)(ii)(A),SAT-03.6,"Implementation specifications. Implement:
Security reminders (Addressable). Periodic security updates.",Not Applicable,"VCF provides a secure, integrated infrastructure platform, managing the lifecycle and configuration of its core components, including applying security patches and updates to the underlying compute, storage, and network virtualization layers. The platform's capabilities are centered on maintaining the security posture of the infrastructure itself through automated patching and configuration management.

The requirement for ""Security reminders"" in the form of ""Periodic security updates"" pertains to organizational processes for communicating security awareness, policy changes, or general security information to personnel.

VCF does not include functionality for generating or disseminating such reminders or updates to end-users or administrators regarding general security practices or organizational policies. This remains an organizational responsibility to establish and execute communication plans for security awareness.",,,,,,,,,,,,,,,,,,,,,
164.308(a)(5)(ii)(B),SAT-03.2,"Implementation specifications. Implement:
Protection from malicious software (Addressable). Procedures for guarding against, detecting, and reporting malicious software.",Not Applicable,"VCF provides the robust, hardened infrastructure necessary for deploying and operating security solutions designed to protect against malicious software. The platform supports the integration of advanced threat prevention, endpoint detection and response, and security information and event management (SIEM) systems, which enable the technical capabilities for guarding against and detecting malicious software within the virtualized environment.

However, the control explicitly requires the implementation of organizational procedures for guarding against, detecting, and reporting malicious software. VCF, as an infrastructure platform, does not define, implement, or execute these operational procedures or reporting mechanisms. The establishment, documentation, and enforcement of these procedures, along with the associated reporting, remain the direct responsibility of the customer within their security policies and incident response frameworks.",,,,,,,,,,,,,,,,,,,,,
164.308(a)(5)(ii)(C),SAT-03,"Implementation specifications. Implement:
Log-in monitoring (Addressable). Procedures for monitoring log-in attempts and reporting discrepancies.",Not Applicable,"VCF does not inherently provide the operational procedures for monitoring log-in attempts. The platform does not include built-in mechanisms for automated discrepancy reporting based on log-in activity.

Establishing comprehensive log-in monitoring procedures, defining thresholds for suspicious activity, and implementing reporting mechanisms for discrepancies are entirely the responsibility of the customer. This includes configuring any necessary logging, integrating with external security information and event management (SIEM) systems, and developing the organizational processes for review and response.",,,,,,,,,,,,,,,,,,,,,
164.308(a)(5)(ii)(D),SAT-03,"Implementation specifications. Implement:
Password management (Addressable). Procedures for creating, changing, and safeguarding passwords.",Contributes,"VCF provides robust technical mechanisms that support password management across the SDDC. It integrates seamlessly with enterprise identity providers such as Active Directory and LDAP, allowing for the enforcement of centralized password policies for user authentication to core components like vCenter Server, NSX Manager, and SDDC Manager.

For local accounts and internal service accounts, VCF enforces strong password complexity, expiration, and lockout policies, and manages automated password rotation and secure storage. The platform's secure communication protocols further safeguard credentials during transit.

While VCF offers foundational technical controls, the customer is responsible for establishing comprehensive organizational procedures for creating, changing, and safeguarding passwords across the entire environment.

This includes defining and implementing enterprise-wide password policies, user training on password best practices, and processes for password resets, forgotten passwords, and incident response related to credential compromise. The customer must also ensure the secure management of any passwords not directly controlled or automated by the VCF platform.",,,,,,,,,,,,,,,,,,,,,
164.308(a)(6)(i),"GOV-02, IRO-01",Standard: Security incident procedures. Implement policies and procedures to address security incidents.,Contributes,"VMware Cloud Foundation provides the technical infrastructure to support various phases of the incident response lifecycle.

VCF Operations offers a dedicated interface for creating, managing, and tracking incidents, complete with metadata such as status, impact, and urgency, and integrates with external ITSM workflows like ServiceNow for seamless incident flow. It includes robust event correlation, fault surfacing, and configurable notification rules and alarms for automated detection and alerting.

For recovery, vSphere HA and Proactive HA ensure workload availability and resilience.

VMware Live Recovery further enhances data protection incident response through structured recovery plans, which define documented, repeatable procedures for VM recovery, network reconfiguration, and custom command execution, supported by non-disruptive testing and automated failover orchestration. VLR's event logging and alarm framework detect data protection-specific incidents and document recovery plan execution.

VMware vDefend integrates advanced threat detection, investigation, correlation, and remediation capabilities directly into the network security layer. It identifies multi-stage attack campaigns by correlating events like lateral movement and command-and-control traffic, providing impact scores for prioritization. vDefend's Security Intelligence highlights critical suspicious traffic and identifies unauthorized changes. Its Intelligent Assist feature guides security teams in creating targeted or comprehensive remediation policies, which are subject to human review and approval, enabling immediate network-level containment through the Distributed Firewall.

While these platforms provide essential technical tools for incident detection, tracking, investigation, containment, and recovery, the overarching responsibility for implementing and maintaining organization-wide security incident policies and procedures rests with the customer. This includes defining the formal incident response program, establishing roles and responsibilities, creating comprehensive incident response documentation, and integrating the platform's capabilities into their established playbooks and runbooks for a complete and governed incident response framework.",,,,,,,,,,,,,,,,,,,,,
164.308(a)(6)(ii),IRO-02,"Implementation specification: Response and reporting (Required). Identify and respond to suspected or known security incidents; mitigate, to the extent practicable, harmful effects of security incidents that are known to the covered entity or business associate; and document security incidents and their outcomes.",Contributes,"VMware Cloud Foundation provides robust technical capabilities that support multiple phases of the incident handling lifecycle. It offers automated event detection by correlating events from monitored infrastructure components, ranking them by severity, and triggering notifications through vCenter Server alarms. For analysis, VCF Operations provides a Troubleshooting Incidents page for managing incidents, identifying root causes with Diagnostic Findings, and integrating with ITSM workflows like ServiceNow.

Containment is supported through vCenter Server's ability to isolate affected workloads via power state changes and network reconfiguration. Recovery capabilities include vSphere HA for automatic VM restarts, Proactive HA for detecting degrading components and evacuating workloads, and vSphere Fault Tolerance for zero-downtime protection.

VMware Live Recovery extends these capabilities by providing structured incident handling for disaster recovery scenarios, including automated failover orchestration, customizable recovery plans, and non-disruptive testing. VMware vDefend further enhances incident response by detecting and prioritizing suspicious traffic events for analysis and automating remediation actions for containment and eradication.

While the platform provides a comprehensive suite of technical tools for incident detection, analysis, containment, and recovery, the full implementation of incident response, including organizational preparation, process governance, manual incident intake, and complete recovery phases, remains the customer's responsibility. Customers must define their specific incident response policies, establish procedures for manual cleanup of certain automated remediation errors, and ensure thorough documentation of security incidents and their outcomes as part of their overall security program.",,,,,,,,,,,,,,,,,,,,,
164.308(a)(7)(i),"GOV-02, BCD-01, IRO-01","Standard: Contingency plan. Establish (and implement as needed) policies and procedures for responding to an emergency or other occurrence (for example, fire, vandalism, system failure, and natural disaster) that damages systems that contain electronic protected health information.",Contributes,"VMware Cloud Foundation provides robust technical capabilities for business continuity and disaster recovery, including vSphere High Availability for automated workload restarts, vSAN stretched clusters for zone-level resilience, and vSAN Data Protection for snapshot-based protection. It enforces regular backup schedules and retention policies for all management components, utilizing features like Changed Block Tracking for efficiency. VCF Operations supports incident management through a dedicated interface, integrates with ITSM workflows for structured incident flow, and provides automated event detection and alerting.

VMware Live Recovery is purpose-built for contingency planning, enabling the creation of executable recovery plans that define sequences, priorities, and configurations for failover operations. It supports non-disruptive testing to validate procedures, offers host-based and array-based replication with configurable RPOs, and facilitates both planned migrations and disaster recovery failovers. Its event logging and alarm framework detects data protection incidents, and recovery plan history reports document execution outcomes.

VMware vDefend contributes to business continuity by maintaining security posture during disaster recovery events, ensuring distributed and gateway firewall policies remain active across sites. For incident response, vDefend provides integrated threat detection, investigation, and correlation of multi-stage attack campaigns, leveraging Network Detection and Response (NDR) across sites. Security Intelligence prioritizes events by impact and severity, and Intelligent Assist offers AI-guided remediation workflows with human review for network-level containment.

While these platforms provide the essential technical infrastructure and tools for resilience, recovery, detection, and response, the organization is responsible for establishing the formal contingency plan. This includes defining comprehensive policies and procedures for emergency response, conducting business impact analyses, developing risk assessments, and creating detailed incident response and disaster recovery playbooks that leverage the platform's capabilities. The organization must also define roles, responsibilities, communication strategies, and the overall governance of its business continuity management system, as these organizational and process-level functions fall outside the scope of the technical platforms.",,,,,,,,,,,,,,,,,,,,,
164.308(a)(7)(ii)(A),BCD-11,"Implementation specifications: 
Data backup plan (Required). Establish and implement procedures to create and maintain retrievable exact copies of electronic protected health information.",Contributes,"VMware Cloud Foundation, VMware Live Recovery, and VMware vDefend collectively provide robust capabilities for creating and maintaining retrievable exact copies of electronic protected health information. VMware Cloud Foundation offers comprehensive backup, snapshot, and replication mechanisms across its management and workload layers, supporting defined Recovery Time Objectives (RTOs) and Recovery Point Objectives (RPOs). SDDC Manager, NSX Manager, and VMware vCenter support file-based and image-based backups for management components, enabling consistent restoration of the management plane. For workload data, Changed Block Tracking (CBT) facilitates incremental backups, and VMware vStorage APIs for Data Protection (VADP) provide standardized integration for third-party backup solutions. vSAN Data Protection allows external replication of snapshots with automated scheduling and retention, while vSAN Express Storage Architecture (ESA) delivers high-performance, metadata-based snapshots for point-in-time recovery. VMware Kubernetes Service (VKS) supports backup and restore for cluster management workloads, including CSI volume snapshots with flexible scheduling and separate backup storage.

VMware Live Recovery extends these capabilities through continuous host-based replication via VMware vSphere Replication, maintaining current replicas with configurable RPO intervals and multiple point-in-time snapshots. VMware Live Site Recovery further enhances this with vSAN Data Protection protection groups, enabling scheduled management of vSAN snapshots and supporting up to 200 recovery points on a peer site, alongside array-based replication for entire datastores. Recovery plan testing verifies data recoverability and integrity, confirming that replicated data is usable and RPO targets are met.

VMware vDefend provides dedicated backup and restore capabilities for its Security Services Platform (SSP) control plane, protecting firewall rules, microsegmentation policies, and IDS/IPS configurations. These backups are encrypted, support recurring schedules, and are transmitted to an SFTP server, ensuring the integrity and recoverability of the security posture data.

While the platform provides the necessary technical mechanisms for creating and maintaining retrievable copies, the customer is responsible for establishing and implementing the overarching data backup plan and associated procedures. This includes defining specific backup schedules, retention policies, and RTO/RPO targets tailored to their electronic protected health information requirements. Customers must provision and manage sufficient storage capacity for backup data, integrate any required third-party backup solutions, and ensure regular restore testing is conducted as part of their defined operational procedures to verify data integrity and retrievability. The scope of ePHI to be protected and the specific configuration of backup and replication strategies across the environment remain a customer responsibility.",,,,,,,,,,,,,,,,,,,,,
164.308(a)(7)(ii)(B),BCD-12,"Implementation specifications: 
Disaster recovery plan (Required). Establish (and implement as needed) procedures to restore any loss of data.",Contributes,"VMware Cloud Foundation provides robust capabilities for secure recovery and reconstitution of infrastructure and data. This includes automatic restart of virtual machines on surviving hosts through vSphere HA, zero-downtime failover for individual workloads with vSphere Fault Tolerance, and proactive detection of hardware degradation.

Data resilience is ensured through vSAN stretched clusters for site-level recovery and vSAN fault domains.

Point-in-time recovery is available via vSAN Data Protection's snapshot-based capabilities, supporting automated scheduling, retention, and incremental backups.

The platform management layer, including vCenter and VCF Operations, supports file-based and image-based restore operations, with reconciliation APIs to maintain infrastructure state. HCX further enables data mobility and replication for recovery scenarios.

VMware Live Recovery extends these capabilities by providing comprehensive mechanisms for orchestrating the secure recovery of virtual machine workloads. It enables the definition of protection groups and recovery plans, which are explicit procedures for restoring workloads to a known state after disruption. These plans support both planned migrations and disaster recovery, tracking their state throughout the recovery lifecycle.

Multiple replication methods, including vSphere Replication and array-based replication, ensure data synchronization.

Crucially, VMware Live Recovery includes built-in, non-disruptive testing of recovery plans, validating the successful restoration of protected virtual machines and proper configuration of recovery sites through inventory mappings. All communications are secured via TLS.

VMware vDefend contributes by ensuring the recoverability of the security infrastructure itself, offering backup and restore functionality for the Security Services Platform and its configurations.

Furthermore, NSX Federation maintains the continuity of established security frameworks, such as Distributed Firewall rules and microsegmentation policies, across sites during failover events, ensuring the security posture follows the workloads without requiring manual reconstruction.

While the platform provides the essential technical tools and a robust framework for defining and executing recovery procedures, the comprehensive establishment and implementation of an overarching disaster recovery plan remain the responsibility of the customer. This includes defining specific recovery time and recovery point objectives, conducting business impact analyses, establishing organizational policies, assigning roles and responsibilities, developing communication plans, and ensuring the regular review and maintenance of the complete disaster recovery strategy.",,,,,,,,,,,,,,,,,,,,,
164.308(a)(7)(ii)(C),"BCD-01, BCD-02.2","Implementation specifications: 
Emergency mode operation plan (Required). Establish (and implement as needed) procedures to enable continuation of critical business processes for protection of the security of electronic protected health information while operating in emergency mode.",Contributes,"VMware Cloud Foundation (VCF) provides a robust foundation for business continuity and disaster recovery, enabling the continuation of critical business processes during emergency operations. This includes vSphere High Availability (HA) for automatic virtual machine restarts and vSphere Fault Tolerance for zero-downtime failover. vSAN stretched clusters extend storage and compute across availability zones, ensuring site-level continuity, complemented by vSAN Data Protection for snapshot-based data protection and replication.

VCF also ensures the resilience of its management plane through image-based backup and restore capabilities for VCF Operations and regular backup schedules for components like SDDC Manager, vCenter, and NSX Manager. VMware HCX facilitates workload mobility and replication between sites, supporting various migration scenarios.

VMware Live Recovery (VLR) is purpose-built to orchestrate contingency planning and execution. It enables the creation of recovery plans that serve as executable BC/DR playbooks, defining the sequence and priority for failover operations. VLR supports non-disruptive testing to validate these procedures and offers both planned migration and disaster recovery modes. vSphere Replication provides host-based replication with configurable Recovery Point Objectives (RPO), while array-based replication integrates with third-party storage. VLR manages the recovery process, including cleanup operations after testing and orchestrating the return of workloads to the primary site via planned migration.

VMware vDefend further contributes by maintaining security posture during disaster recovery events and workload migrations, ensuring that distributed firewall and gateway firewall policies remain active and continuously enforced across primary and secondary sites, thereby protecting the security of electronic protected health information (ePHI) during emergency mode operations.

While the platform provides comprehensive technical capabilities for high availability, data protection, replication, and recovery orchestration, the establishment and implementation of the overarching emergency mode operation plan, the identification of specific critical business processes, the definition of RTO/RPO targets, and the broader organizational governance and policy framework remain the responsibility of the customer. The platform provides the tools and mechanisms to execute these procedures, but the customer must define the specific operational procedures and integrate them into their overall business continuity management program.",,,,,,,,,,,,,,,,,,,,,
164.308(a)(7)(ii)(D),"BCD-04, BCD-05","Implementation specifications: 
Testing and revision procedures (Addressable). Implement procedures for periodic testing and revision of contingency plans.",Contributes,"VMware Cloud Foundation provides the foundational infrastructure and recovery mechanisms essential for exercising contingency plans. vSAN stretched clusters enable simulation of site failures through host maintenance mode, validating continued storage and compute operations in surviving availability zones. vSphere HA can be tested by deliberately failing hosts to observe VM restart behavior and confirm admission control policies. VMware HCX facilitates test workload migrations between sites, allowing organizations to validate mobility procedures. Management component backup and restore procedures for SDDC Manager, vCenter, NSX, and VCF Operations can be tested. VCF Operations capacity planning scenarios further support the planning phase of test exercises.

VMware Live Site Recovery offers non-disruptive testing of disaster recovery plans as a core operational capability, allowing recovery plans to be tested without impacting production. These plans organize protected workloads into sequenced, dependency-aware execution groups, supporting both test recovery (simulating unplanned failures to verify RTO/RPO) and planned migration (validating orderly site evacuation). Testing has no lasting effects, enabling frequent repetition, and progress is tracked via the Recent Tasks panel. Automation of recovery plan testing is supported through the VMware Live Site Recovery API and PowerCLI, with the Initiate Test Recovery Plan workflow ensuring plan readiness. VMware vSphere Replication maintains current replica copies at the recovery site, supporting tighter RPO targets during test exercises.

While the platform provides robust technical capabilities for executing and validating contingency plan tests, the implementation of formal procedures for periodic testing and revision remains an organizational responsibility. This includes defining exercise scheduling, designing test scenarios, establishing evaluation criteria, conducting after-action reviews, and integrating test outcomes into a formal plan revision process. The platform serves as the critical infrastructure and toolset that organizations leverage to fulfill these procedural requirements.",,,,,,,,,,,,,,,,,,,,,
164.308(a)(7)(ii)(E),"AST-01, AST-01.1, BCD-02, TPM-02","Implementation specifications: 
Applications and data criticality analysis (Addressable). Assess the relative criticality of specific applications and data in support of other contingency plan components.",Contributes,"VMware Cloud Foundation (VCF) provides comprehensive capabilities for identifying and documenting critical infrastructure assets and their relationships. vCenter maintains a real-time inventory of all managed objects, supporting native export for documentation.

VCF Operations extends this by allowing administrators to group related infrastructure objects into Business Applications and tag them with metadata, including business criticality, environment, and ownership. Service Discovery automatically detects running services and their relationships to underlying infrastructure. VCF Automation further organizes resources through projects and tagging, while blueprints model complex IT services and their dependencies.

VMware vDefend complements these capabilities by organizing inventory assets into a defined hierarchy and classifying applications as critical or regular. Its Security Intelligence traffic flow analysis and visualization provide visibility into asset interdependencies and communication patterns at the network layer, aiding identification of service dependencies.

VMware Live Recovery (VLR) explicitly identifies critical assets through its protection model, where workloads placed in protection groups are classified as essential to business operations for disaster recovery. VLR's inventory mappings and configuration export tools document the infrastructure supporting these critical workloads and their recovery configurations.

While these platforms provide robust technical tools for asset inventory, discovery, classification, and dependency mapping, the organization remains responsible for establishing the overarching asset governance policies, defining the criteria for criticality, assigning ownership lifecycles, and maintaining organizational accountability for the comprehensive criticality analysis of all applications and data.",,,,,,,,,,,,,,,,,,,,,
164.308(a)(8),"CPL-03.2, IAO-01.1, IAO-02","Standard: Evaluation. Perform a periodic technical and nontechnical evaluation, based initially upon the standards implemented under this rule and, subsequently, in response to environmental or operational changes affecting the security of electronic protected health information, that establishes the extent to which a covered entity's or business associate's security policies and procedures meet the requirements of this subpart.",Contributes,"VMware Cloud Foundation (VCF) provides robust mechanisms for periodic technical evaluation of infrastructure configuration states. VCF Operations includes continuous compliance management, monitoring the infrastructure against industry-standard security benchmarks and custom organizational policies. It calculates a compliance score for managed objects, highlighting assets requiring attention. At the host layer, vSphere Configuration Profiles and vSphere Lifecycle Manager assess ESX host configurations against approved baselines, detecting and optionally remediating drift from desired states. NSX also provides its own compliance status reporting, identifying non-compliant configurations. These capabilities verify that infrastructure configurations align with desired baselines and meet defined compliance benchmarks.

VMware vDefend extends these capabilities by contributing to the functional review of cybersecurity controls, specifically for network security. Security Services Platform offers a Security Segmentation score and report generation, providing a quantitative measure of microsegmentation policy enforcement and adherence to network security best practices. The platform's policy recommendation analysis compares recommended rules and services against the current NSX inventory, identifying gaps between desired and actual security policy. The Threat Event Monitoring dashboard provides consolidated visibility into detected threats and policy violations, creating an evidence trail for compliance reviews. Furthermore, Security Services Platform implements an Auditor role, enabling dedicated personnel to perform security and compliance reviews without requiring administrative privileges.

While the platform provides extensive technical tools for both configuration-state and network security functional evaluations, the comprehensive functional testing of *all* security controls to verify active operation as intended requires additional organizational processes. Organizations must define and manage their overarching security policies and procedures, and conduct nontechnical evaluations that extend beyond the platform's automated assessments to ensure full compliance with regulatory requirements.",,,,,,,,,,,,,,,,,,,,,
164.308(b)(1),"TPM-01, TPM-04, TPM-05, TPM-05.2, TPM-05.4","Business associate contracts and other arrangements. A covered entity may permit a business associate to create, receive, maintain, or transmit electronic protected health information on the covered entity's behalf only if the covered entity obtains satisfactory assurances, in accordance with § 164.314(a), that the business associate will appropriately safeguard the information. A covered entity is not required to obtain such satisfactory assurances from a business associate that is a subcontractor.\",Contributes,"VMware Cloud Foundation provides robust technical controls that establish a secure environment for third-party access, contributing to the ability to safeguard electronic protected health information (ePHI). The platform integrates with federated identity providers, extending existing identity governance and enforcing least-privilege principles through role-based access control, such as the CloudAdmin model.

For Kubernetes workloads, vSphere Namespaces scope third-party access to specific workload boundaries. VCF Automation Organizations provide tenant isolation with separate quotas, permissions, and network boundaries, restricting third-party visibility to only what is needed.

Network isolation is enforced at the NSX segment level, and data-in-transit communications default to TLS 1.3 encryption. VCF Operations monitors resource usage and policy compliance, and Service Discovery identifies active services to detect unauthorized third-party introductions.

VMware vDefend further enhances this security posture by enforcing network-level access controls and providing threat detection.

The Distributed Firewall implements microsegmentation policies at the vNIC level, defining granular network access rules that restrict third-party workloads or user sessions to only the specific application tiers and services required. This network enforcement layer complements identity-based access control by limiting network reach even for valid credentials.

Gateway Firewall provides north-south traffic filtering, URL filtering, and TLS inspection to control inbound and outbound access from third-party networks.

vDefend IDS/IPS monitors traffic for malicious activity, detecting exploitation attempts from compromised third-party connections with signature-based and behavioral detection.

Security Intelligence identifies risky protocols, flagging third-party workloads that transport data in clear text, and the Security Services Platform measures workload security posture and identifies at-risk workloads to contain the blast radius of potential third-party compromises.

While VMware Cloud Foundation and vDefend provide the technical infrastructure to safeguard ePHI when business associates interact with the platform, the core requirement of obtaining satisfactory assurances, as specified in § 164.314(a), remains the responsibility of the covered entity. This includes establishing and managing formal business associate contracts and other arrangements that legally bind the business associate to appropriately safeguard the information. The platform does not automate or manage these contractual or policy-level assurances.",,,,,,,,,,,,,,,,,,,,,
164.308(b)(2),"TPM-05, TPM-05.2, TPM-05.6","A business associate may permit a business associate that is a subcontractor to create, receive, maintain, or transmit electronic protected health information on its behalf only if the business associate obtains satisfactory assurances, in accordance with § 164.314(a), that the subcontractor will appropriately safeguard the information.\",Not Applicable,"VMware Cloud Foundation provides a secure, validated infrastructure for hosting workloads, including those that process electronic protected health information. The platform implements robust technical controls for data encryption, access management, network segmentation, and operational security, which contribute to the overall safeguarding of ePHI within the VCF environment.

The responsibility for establishing and managing contractual agreements with business associate subcontractors, including obtaining satisfactory assurances that those subcontractors will appropriately safeguard ePHI, resides entirely with the customer. VMware Cloud Foundation does not provide capabilities for third-party vendor management, due diligence, or the negotiation and enforcement of business associate agreements between a customer and its subcontractors.",,,,,,,,,,,,,,,,,,,,,
164.308(b)(3),"IAO-03.2, TPM-05",Implementation specifications: Written contract or other arrangement (Required). Document the satisfactory assurances required by paragraph (b)(1) or (b)(2) of this section through a written contract or other arrangement with the business associate that meets the applicable requirements of § 164.314(a).,Contributes,"VMware Cloud Foundation secures sensitive and regulated data through comprehensive encryption, access controls, and sensitive data handling mechanisms across its component stack. This includes vSphere virtual machine encryption, vSAN data-at-rest and data-in-transit encryption, and TLS encryption for management plane communications and API calls. VCF Automation encrypts sensitive data in provisioning requests, and VCF Operations protects sensitive information within HTTP-REST plug-in objects, enforcing privilege-based access control. Platform documentation explicitly advises against storing sensitive data in plain text. VMware vDefend further contributes by enabling microsegmentation through the Distributed Firewall, enforcing least-privilege network access controls around workloads handling contract data. The Security Services Platform application inventory guidance supports prioritizing critical applications, and the Gateway Firewall extends protection to north-south traffic flows. These capabilities establish a secure operational environment consistent with contractual data protection requirements.

The establishment, documentation, and management of written contracts or other arrangements with business associates, including the satisfactory assurances required by regulatory mandates such as HIPAA § 164.314(a), remain an organizational responsibility. This encompasses the definition of contractual data handling requirements, access agreements, and overall regulatory compliance documentation, which fall outside the technical scope of the VCF and vDefend platforms.",,,,,,,,,,,,,,,,,,,,,
164.310(a)(1),"GOV-02, PES-01","Standard: Facility access controls. Implement policies and procedures to limit physical access to its electronic information systems and the facility or facilities in which they are housed, while ensuring that properly authorized access is allowed.",Not Applicable,"VMware Cloud Foundation is a software-defined data center platform that virtualizes compute, storage, and networking resources. It operates entirely within a physical data center environment. The platform's capabilities are focused on logical access controls, data encryption, network segmentation, and secure configuration of virtual infrastructure components.

The control specifically addresses the implementation of policies and procedures to limit *physical access* to facilities and the electronic information systems housed within them.

VCF does not provide any functionality related to physical security measures such as access card systems, biometric authentication, surveillance, physical security personnel management, or physical access logging. These are entirely outside the scope of a software-defined infrastructure platform. The customer is solely responsible for establishing and enforcing all physical security controls for their data center facilities and the underlying hardware that hosts the VCF deployment.",,,,,,,,,,,,,,,,,,,,,
164.310(a)(2)(i),"BCD-09.2, HRS-03, PES-02, PES-02.1","Implementation specifications: 
Contingency operations (Addressable). Establish (and implement as needed) procedures that allow facility access in support of restoration of lost data under the disaster recovery plan and emergency mode operations plan in the event of an emergency.",Contributes,"VMware Cloud Foundation provides robust architectural options for establishing and maintaining alternate processing sites, ensuring data and workload accessibility during emergencies. vSAN stretched clusters extend storage across availability zones, maintaining data accessibility even with a full site failure and enabling local component repairs. NSX Federation supports multisite networking deployments, allowing stretched Tier-0 and Tier-1 gateways to move between sites via network recovery workflows, thereby preserving network connectivity for recovered workloads. VMware HCX facilitates workload mobility to remote targets with minimal disruption. VCF Operations includes what-if analysis and committed scenarios for capacity planning at recovery sites, proactively identifying potential accessibility issues. The platform's monitoring and multi-site architecture are instrumental in identifying and mitigating accessibility problems at alternate processing sites.

VMware Live Recovery further enhances these capabilities by providing mechanisms to identify and mitigate accessibility problems at alternate sites both before and during area-wide disruptions. Planned migration capabilities enable regular testing of the recovery path, validating recovery site accessibility, replication infrastructure functionality, and successful execution of recovery plans, thus identifying issues proactively. VLR's failover continues even if the protected site experiences errors during a disaster recovery operation. The platform supports multiple replication methods, including vSphere Replication and array-based replication, offering flexibility to mitigate accessibility risks based on infrastructure. Recovery sites must have adequate hardware, network, and storage resources to support workloads, and shared recovery site configurations require users with appropriate permissions to access the site for creating, testing, and executing recovery plans. Bidirectional protection offers an additional mitigation path if one recovery direction becomes inaccessible.

While the platform provides the technical foundation and tools to ensure logical access to resources at alternate sites for data restoration, the organization remains responsible for establishing and implementing the formal procedures, defining the disaster recovery plan, and creating the emergency mode operations plan. This includes defining specific access controls and permissions for users to interact with the recovery site and its resources, as well as broader accessibility planning, network path redundancy, and comprehensive capacity modeling for recovery site resources.",,,,,,,,,,,,,,,,,,,,,
164.310(a)(2)(ii),"GOV-02, PES-01, PES-03","Implementation specifications: 
Facility security plan (Addressable). Implement policies and procedures to safeguard the facility and the equipment therein from unauthorized physical access, tampering, and theft.",Not Applicable,"The VCF platform delivers a software-defined data center architecture, providing capabilities for securing virtual infrastructure, data within the virtual environment, and the management plane. Its technical scope is limited to the software layer, including hypervisors, virtual machines, virtual networks, and storage.

The control's requirements pertain exclusively to the physical security of facilities and the equipment contained therein, specifically addressing unauthorized physical access, tampering, and theft. These aspects are entirely outside the operational domain and technical capabilities of the VCF platform. The customer is responsible for all physical security measures, including facility access controls, environmental safeguards, and the implementation of organizational policies and procedures governing physical security.",,,,,,,,,,,,,,,,,,,,,
164.310(a)(2)(iii),"IAC-01, PES-02, PES-03, PES-06","Implementation specifications: 
Access control and validation procedures (Addressable). Implement procedures to control and validate a person's access to facilities based on their role or function, including visitor control, and control of access to software programs for testing and revision.",Contributes,"VMware Cloud Foundation (VCF) establishes a robust, layered identity and access management architecture, leveraging VCF SSO as the centralized authentication service. This architecture supports identity federation with enterprise identity providers such as Microsoft Entra ID, ADFS, and Okta, enabling multifactor authentication and automatic user synchronization.

Role-based access control (RBAC) is enforced consistently across all VCF components, including vCenter, SDDC Manager, NSX Manager, VCF Operations, and VCF Automation. Predefined roles cover common administrative functions, and custom roles can be created to enforce the principle of least privilege.

VCF Automation extends these controls with organization-level and project-level access management, allowing for granular distribution of infrastructure and group-level access. VMware Kubernetes Service integrates with VCF SSO and external OpenID Connect providers, applying namespace permission roles that map to Kubernetes ClusterRoles. NSX integrates with LDAP and external identity management services for administrative access to networking configurations, complemented by network access policies. Service-to-service communications between VCF components are secured through certificate-based authentication.

VMware vDefend further contributes by providing identity-aware network enforcement through its Identity Firewall, which integrates with Active Directory to apply firewall policies based on authenticated user identity. Within its own management plane, vDefend's Security Services Platform and Security Intelligence implement RBAC with defined roles to control access to specific security functions.

While the platform provides comprehensive technical capabilities for logical access control and validation based on role or function, including access to software programs for testing and revision within the VCF environment, it does not provide capabilities for physical access control to facilities or visitor management. The organization is responsible for implementing the necessary procedures, policies, and external solutions to address physical access control, visitor control, and the overall governance of access validation.",,,,,,,,,,,,,,,,,,,,,
