Measure Number,SCF ID,Description,Relevant Regulation(s),Response,Control Coverage,,,,,,,,,,,,,,,,,,,
M8.11,"CRY-09, CFG-02","When providers define new SIM authentication algorithm parameters (e.g. for MILENAGE), the default values shall not be used.",4(6); 7(1); 7(4)(a)(i); 7(4)(b); 8(5)(a),"This is an organizational responsibility for a provider's SIM provisioning and authentication systems, which are hosted as workloads on VCF/TCP. VCF/TCP provides the secure, isolated infrastructure (e.g., encrypted VMs, vTPMs, and micro-segmented networks) to protect these critical functions, but it does not participate in the generation or management of SIM authentication algorithms.",Contributes,,,,,,,,,,,,,,,,,,,
M8.12,"DCH-01.2, TPM-04","For fixed-profile SIM cards, the provider shall ensure that sensitive SIM data is appropriately protected throughout its lifecycle, by both the SIM card vendor and within the operator network, given the risk to network resilience and confidentiality should this information be lost.",4(6); 7(1); 7(4)(a)(i); 7(4)(b); 8(5)(a),Organizational implementation; outside platform scope.,Not Applicable,,,,,,,,,,,,,,,,,,,
M8.13,"CRY-09, DCH-01.2","For fixed-profile SIM cards, the confidentiality, integrity and availability of the sensitive SIM card data shared with the SIM card vendor shall be protected at every stage of their lifecycle.",4(6); 7(1); 7(4)(a)(i); 7(4)(b); 8(5)(a),Organizational implementation; outside platform scope.,Not Applicable,,,,,,,,,,,,,,,,,,,
M8.14,"TPM-05.8, CPL-03.1","For fixed-profile SIM cards, providers shall ensure that the security of the SIM card vendor has been independently audited. For example, using the GSMA's SAS scheme provides a means to accredit the security of SAS suppliers.",4(6); 7(1),Organizational implementation; outside platform scope.,Not Applicable,,,,,,,,,,,,,,,,,,,
M8.15,CRY-09,"For profile-modifiable SIM cards the provider shall, within the first year of use, update with a new profile (including K/Ki, and OTA keys) that has not been provided externally, including to the SIM card vendor. Providers should aim to ensure that all new UICCs can be updated with new K/Ki and OTA keys after receipt from the SIM card vendor.","4(6)(a),(b)","This is an organizational responsibility for a provider's SIM provisioning and authentication systems, which are hosted as workloads on VCF/TCP. VCF/TCP provides the secure, isolated infrastructure (e.g., encrypted VMs, vTPMs, and micro-segmented networks) to protect these critical functions, but it does not participate in the generation or management of SIM authentication algorithms.",Contributes,,,,,,,,,,,,,,,,,,,
M8.16,"CHG-04, IAC-04","When under the provider's control, the provider shall ensure that the SIM card can only be modified by specifically allowed servers (for example, determined by IP address and certificate stored on the SIM card).","4(6)(a),(b)","This is an organizational responsibility for a provider's SIM provisioning and authentication systems, which are hosted as workloads on VCF/TCP. VCF/TCP provides the secure, isolated infrastructure (e.g., encrypted VMs, vTPMs, and micro-segmented networks) to protect these critical functions, but it does not participate in the generation or management of SIM authentication algorithms.",Contributes,,,,,,,,,,,,,,,,,,,
Customer Premises Equipment,,, , , ,,,,,,,,,,,,,,,,,,,
M9.01,"IAC-10.8, IAC-10.1","Once the CPE has been configured at the customer site, it shall only contain credentials that are both unique to that CPE, and not guessable from CPE metadata.",4(4)(c); 8(5)(c),"When a provider's CPE is virtualized and runs as a workload (a vCPE) on the VCF/TCP, VCF/TCP provides foundational security, but the credential management itself is a function of the vCPE's guest operating system and application. VCF/TCP ensures this workload is isolated via the VMware vDefend Distributed Firewall. For enhanced security, the workload can be deployed as an encrypted virtual machine with a virtual Trusted Platform Module (vTPM), which allows the vCPE to store its unique credentials in a hardware-backed secure equivalent, preventing extraction from the VM.",Contributes,,,,,,,,,,,,,,,,,,,
M9.02,"TDA-17, IRO-10","The provider shall ensure that all CPE provided to customers are still supported by the network equipment supplier. For any provider-provided CPE that go out of third party supplier support, customers shall be informed prior to, and once the equipment goes out of support, and proactively offered a replacement as soon as reasonably practicable. This shall apply only whilst the provider provides the associated service.",4(4)(c); 12,Organizational implementation; outside platform scope.,Not Applicable,,,,,,,,,,,,,,,,,,,
M9.03,"NET-14.3, NET-04",WAN CPE management interfaces shall only be accessible from specified management locations (e.g. URL or IP address).,3(3)(a); 4(4)(c),"When a provider's CPE is virtualized and runs as a network function on VCF/TCP (a vCPE), this is enforced by the VMware vDefend Distributed Firewall. A provider can create a firewall rule that only allows access to the vCPE's management interface from a specific set of source IPs, such as a ""specified management location"" or a secure jump box. All other access from any other location would be blocked by the default-deny policy.",Meets,,,,,,,,,,,,,,,,,,,
M9.04,"NET-14.2, CRY-03",Management of the CPE shall use a secure protocol (e.g. TLS 1.2 or newer).,3(3)(a); 4(4)(c),"When a provider's CPE is virtualized and runs as a network function on the VCF/TCP (a vCPE), VCF ensures its management traffic is secure. VCF/TCP's management plane, which would be used to access the vCPE's orchestrator, enforces Transport Layer Security (TLS 1.3/1.2) by default. Furthermore, the VMware vDefend Distributed Firewall can be used to ensure that only specified, secure management systems can access the management interfaces of the vCPE workloads.",Contributes,,,,,,,,,,,,,,,,,,,
M9.05,"CFG-02, NET-03","By default, the CPE's customer-facing management interfaces shall only be accessible from within the customer's network.",3(3)(a); 4(4)(c),"VCF/TCP provides the network security controls to enforce this requirement. VMware vDefend Distributed Firewall can apply granular access control policies to customer premises equipment (CPE) workloads, ensuring management interfaces are only accessible from authorized customer networks. NSX Gateway Firewall provides additional North-South protection, blocking external access attempts while permitting internal management traffic. These policies can be centrally defined and automatically applied across all CPE instances.",Contributes,,,,,,,,,,,,,,,,,,,
M9.06,"NET-04.1, NET-03","By default, all unsolicited incoming connections towards the customer's network shall be blocked by the CPE.","3(3)(a); 4(4)(b),(c); 9(2)(c)(iii)","When a provider's CPE is virtualized and runs as a network function on VCF/TCP (a vCPE), this is enforced at the network edge by the vDefend Gateway Firewall. The vDefend Gateway Firewall acts as the vCPE's ""WAN"" interface and can be configured with a ""default-deny"" ingress policy to block all unsolicited incoming connections, while still allowing established, stateful return traffic.",Contributes,,,,,,,,,,,,,,,,,,,
Third Party Supplier Measures 3,,, , , ,,,,,,,,,,,,,,,,,,,
M10.01,"TPM-01.1, TPM-05.2","The provider shall maintain records of third party suppliers' details, including their third parties and the major components which are used in the provision of goods/services/facilities for the provider.",7(1); 7(4)(a)(i),"Organizational implementation; outside platform scope.

Broadcom maintains a list of its Third Parties and other entities providing Support Services here: https://www.broadcom.com/company/legal/privacy/third-party-list",Not Applicable,,,,,,,,,,,,,,,,,,,
M10.02,TPM-05,The provider shall clearly express the security needs placed on third party suppliers. These shall be defined and agreed in contracts.,"7(1); 7(4)(a),(b); 9(1); 9(2)(c)(ii),(iv),(vi)","Organizational implementation; outside platform scope.

Broadcom supports customer supply chain and procurement security processes for on-premises Platform implementations. VCF/TCP includes capabilities for software bill of materials (SBOM) tracking and supports secure software development lifecycle practices.
Broadcom contractually requires all third-party data sub-processors it employs to implement technical, organizational and supplementary information security measures no less protective than the measures which Broadcom contractually commits to implement for its customers.
Broadcom's Data Processing Addendum(DPA) outlines our commitment to privacy and security when processing Personal data on behalf of Customer as part of providing services. https://www.broadcom.com/company/legal/privacy/data-transfers (Data Processing Addendum).",Not Applicable,,,,,,,,,,,,,,,,,,,
M10.03,TPM-05.4,There shall be a clear and documented shared-responsibility model between the provider and third party suppliers.,"7(1); 7(4)(a); 9(1); 9(2)(c)(ii),(iv),(vi)",A shared responsibility model is not applicable to on-premises VMware Cloud Foundation deployments and related services.,Contributes,,,,,,,,,,,,,,,,,,,
M10.04,"TPM-11, IRO-02",The provider's incident management process and that of their third party suppliers shall provide mutual support in the resolution of incidents.,"7(4)(a)(i),(iv); 9(1); 9(2)(c)(ii),(iv),(vi)","Organizational implementation; outside platform scope.

For Broadcom, Incident Response Plan and associated procedures are documented and executed in the event of an information security incident.  The incident response plan clearly articulates the responsibilities of personnel and identifies relevant parties to notify.  Incident response personnel are trained, and the execution of the incident response plan is tested at least annually.  The incident response process is executed as soon as Broadcom becomes aware of an incident. ",Not Applicable,,,,,,,,,,,,,,,,,,,
M10.05,"TPM-04, DCH-01",Providers shall retain control and oversight of their network and user data.,"4(1)(a),(b); 4(2)(a),(b); 7(1); 7(4)(a)(i),(iii); 7(4)(b)",Organizational implementation; outside platform scope.,Not Applicable,,,,,,,,,,,,,,,,,,,
M10.06,"TPM-04, DCH-01.4","The provider shall define what information is made accessible to any third party supplier, ensuring that it is the minimum necessary to fulfil their function. Providers shall place controls on that information and limit third party access to the minimum required to fulfil the business function.","4(1)(a),(b); 4(2)(a),(b); 7(1); 7(4)(a)(i),(ii),(iii); 7(4)(b); 8(5)(e); 15","Organizational implementation; outside platform scope.

Broadcom global data processing  agreement is documented under Data Processing Addendum on this page - https://www.broadcom.com/company/legal/privacy/data-transfers",Not Applicable,,,,,,,,,,,,,,,,,,,
M10.07,"NET-03.7, DCH-01","When making network or user data available to third party suppliers outside of a secure privileged access system, the provider's environment that is used to hold and make the network and user data available to the third party shall be secure and segregated from the provider's wider systems and data.","3(3)(a),(d); 3(5); 4(1)(a),(b); 4(2)(a),(b); 7(1); 7(4)(a)(iii); 7(4)(b)","This is an architectural control that VCF/TCP directly enables. A provider can create a dedicated Workload Domain on segregated hardware for third-party access. This environment would be logically isolated from the provider's wider systems using VMware vDefend Distributed Firewall rules, ensuring the third party has no access to any data or systems beyond the minimum necessary.",Contributes,,,,,,,,,,,,,,,,,,,
M10.08,"TPM-04, DCH-01","Providers shall avoid transferring control of their network and user data to third parties, except where necessary. Any such transfer of control should be limited to the necessary and defined purpose. Where a data transfer is necessary, it shall be through a defined process.","4(1)(a),(b); 4(2)(a),(b); 7(1); 7(4)(a)(i),(ii),(iii); 7(4)(b); 15","Organizational implementation; outside platform scope.

Broadcom's Information Security Practices specify measures for the protection of data during transmission: https://docs.broadcom.com/docs/ca-information-security-practices ",Not Applicable,,,,,,,,,,,,,,,,,,,
M10.09,"TPM-04.1, TPM-08","Where network or user data leaves a provider's control, the provider shall contractually require and verify that the data is properly protected as a consequence. This shall include assessing the third party supplier's controls to ensure provider data is only visible or accessible to appropriate employees and from appropriate locations.","4(1)(a),(b); 4(2)(a),(b); 7(1); 7(4)(a)(i),(ii),(iii); 7(4)(b)","While contractual requirements are organizational responsibilities, VCF/TCP provides comprehensive technical controls to protect data when it leaves provider control and to verify third-party protection measures. For data in transit, VCF/TCP enforces encryption using TLS 1.2 or 1.3 for all management interfaces and supports IPsec VPN for secure site-to-site connectivity. VMware vDefend Gateway Firewall can enforce encryption requirements at network boundaries, blocking unencrypted data transfers. vSAN encryption and vSphere VM Encryption protect data at rest, ensuring sensitive information remains encrypted even when transferred to third-party storage systems. VCF Operations for Logs enables providers to ingest and correlate audit logs from third-party environments, verifying that access controls are properly enforced and monitoring for unauthorized data access. Data loss prevention capabilities can be integrated through VMware vDefend's network inspection engine, which can identify and block sensitive data patterns in outbound traffic. VCF/TCP's comprehensive audit framework logs all data export operations, including user identity, data classification, destination, and transfer method, providing evidence for compliance verification. Network flow monitoring through VCF Operations for Networks visualizes all data paths, enabling providers to validate that data only reaches authorized third-party systems.",Contributes,,,,,,,,,,,,,,,,,,,
M10.10,"CRY-03, CRY-04","When sharing user or network data, providers and suppliers shall use an encrypted and authenticated channel.","4(1)(a),(b); 4(2)(a),(b); 7(1); 7(4)(a)(i),(ii),(iii); 7(4)(b); 15","VCF/TCP provides the capabilities to enforce this. Data can be shared with suppliers from a VM that uses VM Encryption (for data-at-rest) and vDefend firewall rules can mandate that all egress traffic must use an encrypted protocol (e.g., HTTPS, SFTP) over a secure NSX IPsec VPN tunnel, creating an authenticated and encrypted channel.",Contributes,,,,,,,,,,,,,,,,,,,
M10.11,TPM-05.1,"Providers shall contractually oblige third party suppliers to notify the provider within 48 hours of becoming aware of any security incidents that may have caused or contributed to the occurrence of a security compromise, or where they identify an increased risk of such a compromise occurring. This includes, but is not limited to, incidents in the supplier's development network or their corporate network.","7(4)(a)(i),(iv); 9(1); 9(2)(c)(i); 15","Organizational implementation; outside platform scope.

Broadcom shall provide notification of a Personal Data Breach to Customer in accordance with the VMware Data Processing Addendum.  Broadcom notifies the customers through electronic methods, whenever feasible, for example, through portals. For more information, refer to the VMware Data Processing Addendum - https://www.broadcom.com/company/legal/privacy/data-transfers",Not Applicable,,,,,,,,,,,,,,,,,,,
M10.12,"TPM-11, IRO-02","Providers shall contractually require third party suppliers to support the provider in investigations of incidents that cause or contribute to the occurrence of a security compromise in relation to the primary provider, or of an increased risk of such a compromise occurring.","7(4)(a),(iv); 9(1); 9(2)(c)(i),(ii),(iii),(iv),(v),(vi); 15","Organizational implementation; outside platform scope. For Broadcom, Incident Response Plan and associated procedures are documented and executed in the event of an information security incident. The incident response plan clearly articulates the responsibilities of personnel and identifies relevant parties to notify. Incident response personnel are trained, and the execution of the incident response plan is tested at least annually. The incident response process is executed as soon as Broadcom becomes aware of an incident.",Not Applicable,,,,,,,,,,,,,,,,,,,
M10.13,"TPM-11, TPM-09","Providers shall contractually require the third party suppliers to find and report on the root cause of any security incident that could result in a security compromise in the UK within 30 days, and rectify any security failings found.","7(4)(a)(iv); 9(1); 9(2)(c)(i),(ii),(iv),(v),(vi); 9(4); 9(5); 15","Organizational implementation; outside platform scope.

Broadcom shall provide notification of a Personal Data Breach to Customer in accordance with the VMware Data Processing Addendum.  Broadcom notifies the customers through electronic methods, whenever feasible, for example, through portals. For more information, refer to the VMware Data Processing Addendum - https://www.broadcom.com/company/legal/privacy/data-transfers",Not Applicable,,,,,,,,,,,,,,,,,,,
M10.14,TPM-09,"Where third party suppliers cannot quickly resolve security failings, the provider shall work with the third party supplier to ensure the issue is mitigated until resolved.","7(4)(a)(iv); 9(1); 9(2)(c)(ii),(iv),(v); 15","Broadcom Information Security Practices specify measures for detecting and responding to security incidents
https://docs.broadcom.com/doc/ca-information-security-practices  

Additionally, VMware Security Response Policy explains the process followed by the VMware Security Response Center. https://www.broadcom.com/support/vmware-services/security-response",Contributes,,,,,,,,,,,,,,,,,,,
M10.15,TPM-05.7,"Where third party suppliers do not resolve security failings within a reasonable timeframe, the provider shall have a break clause with the third party supplier to allow exit from the contract without penalty.",7(4)(c),"Organizational implementation; outside platform scope.

Broadcom Termination of Convenience - https://www.broadcom.com/company/legal/licensing/termination-for-convenience",Not Applicable,,,,,,,,,,,,,,,,,,,
M10.16,"TPM-08, CPL-03","Providers shall contractually require third party suppliers to support, as far as appropriate, any security audits, assessments or testing required by the provider in relation to the security of the provider's own network, including those necessary to evaluate the security requirements in this document.","7(1); 7(4)(a)(i),(iii),(iv); 14(1)","Organizational implementation; outside platform scope.

Review Section 7.AUDITS AND INSPECTIONS  under ""Data Processing and Data Transfers"" in ""Data Processing Addendum"" https://www.broadcom.com/company/legal/privacy/data-transfers",Not Applicable,,,,,,,,,,,,,,,,,,,
M10.17,TPM-05.2,Providers shall flow down appropriate security measures to the third party administrator. Providers shall ensure that the third party administrator applies controls that are at least as rigorous as the provider when the third party administrator has access to the provider's network or service or to sensitive data.,"7(3)(a); 7(3)(b); 7(4)(a)(i),(ii)",Organizational implementation; outside platform scope.,Not Applicable,,,,,,,,,,,,,,,,,,,
M10.18,"IAC-01, TPM-04",The provider shall retain the right to determine permissions of the accounts used to access its network by third party administrators.,"7(1); 7(4)(a)(ii),(iii); 7(4)(b)",Organizational implementation; outside platform scope.,Not Applicable,,,,,,,,,,,,,,,,,,,
M10.19,"TPM-02, BCD-01","Providers shall ensure that they retain sufficient in-house expertise and technical ability to re-tender their managed services arrangements at any time and shall produce and maintain a plan for moving the provided services back in-house, or to another third party supplier.",7(1); 7(4)(a)(ii); 7(5); 8(2)(a); 8(4); 13(1); 13(2)(a); 13(2)(c)(i),Organizational implementation; outside platform scope.,Not Applicable,,,,,,,,,,,,,,,,,,,
M10.20,"TPM-06, HRS-10","Providers shall maintain an up-to-date list of all third party administrator personnel that are able to access its network, including their roles, responsibilities and expected frequency of access.","7(1); 7(4)(a)(ii),(iii); 7(4)(b); 8(4); 8(5)(d),(e); 8(6)(a),(b)",Organizational implementation; outside platform scope.,Not Applicable,,,,,,,,,,,,,,,,,,,
M10.21,TPM-06,"Providers shall have the contractual right to control the members of third party administrator personnel who are involved in the provision of the third party administrator services, including to require the third party administrator to ensure that any member of personnel no longer has access to the network.","7(1); 7(4)(a)(i),(iii); 7(4)(b); 8(4); 8(5)(d),(e); 8(6)(a),(b)",Organizational implementation; outside platform scope.,Not Applicable,,,,,,,,,,,,,,,,,,,
M10.22,"NET-14.6, IAC-01","Providers shall not allow routine, direct access to network equipment by third party administrators. Access shall be via mediation points owned and operated by the provider.","3(1)(a),(b),(c); 3(3)(e); 4(1)(b); 4(2)(b); 4(4)(b); 7(1); 7(4)(b); 8(4)","VCF/TCP enables providers to enforce this control by hosting the required ""mediation points"" (such as a secure jump box) as virtual machines on the VCF/TCP. The VMware vDefend Distributed Firewall (DFW) is then used to create a ""default-deny"" policy for the management plane. A specific, high-priority firewall rule is created to only allow management traffic (e.g., SSH, HTTPS) from the IP address of that provider-owned mediation point to the management interfaces of the network equipment (vCenter, VCF Operations, NSX Manager). This technically blocks all routine, direct access from any other source, including the third-party administrator's network.",Contributes,,,,,,,,,,,,,,,,,,,
M10.23,NET-03,Providers shall implement and enforce security enforcing functions at the boundary between the third party administrator network and the provider network.,"3(1)(a),(b),(c); 4(1)(a),(b); 4(2)(a),(b); 4(4)(b); 7(1); 7(4)(b)","VCF/TCP enables providers to enforce this boundary using the vDefend Gateway Firewall, which runs on NSX Edge Nodes. This firewall acts as the ""security enforcing function"" at the logical edge of the provider's network. It can be configured with strict ingress firewall policies to ensure that only authorized traffic from the third-party administrator's network is permitted. Furthermore, the gateway can serve as the termination point for a secure IPsec VPN tunnel from the third party, ensuring all access is authenticated and encrypted before it reaches the provider network.",Contributes,,,,,,,,,,,,,,,,,,,
M10.24,"NET-03.7, TPM-05",Providers shall contractually require that the third party administrators implement technical controls to prevent one provider or their network from adversely affecting any other provider or their network.,"4(1); 4(2); 7(1); 7(4)(a)(i),(ii); 7(4)(b); 9(2)(c)(iii),(v)",Organizational implementation; outside platform scope.,Not Applicable,,,,,,,,,,,,,,,,,,,
M10.25,NET-03.7,Providers shall contractually require that the third party administrators implement logical separation within the third party administrator network to segregate customer data and networks.,"4(1)(a),(b); 4(2)(a),(b); 7(1); 7(4)(a)(i),(ii); 7(4)(b)",Organizational implementation; outside platform scope.,Not Applicable,,,,,,,,,,,,,,,,,,,
M10.26,"NET-03.7, NET-03.8",Providers shall contractually require that the third party administrators implement separation between third party administrator management environments used for different provider networks.,"4(1)(a),(b); 4(2)(a),(b); 7(1); 7(4)(a)(i),(ii); 7(4)(b)",Organizational implementation; outside platform scope.,Not Applicable,,,,,,,,,,,,,,,,,,,
M10.27,NET-03,Providers shall contractually require that the third party administrators implement and enforce security enforcing functions at the boundary between the third party administrator network and the provider network.,"4(1)(a),(b); 4(2)(a),(b); 4(4)(b); 7(1); 7(4)(a)(i),(ii); 7(4)(b)",Organizational implementation; outside platform scope.,Not Applicable,,,,,,,,,,,,,,,,,,,
M10.28,NET-03.7,Providers shall contractually require that the third party administrators implement technical controls to limit the potential for users or systems to negatively impact more than one provider.,"4(1)(a),(b); 4(2)(a),(b); 4(4)(b); 7(1); 7(4)(a)(i),(ii); 7(4)(b)",Organizational implementation; outside platform scope.,Not Applicable,,,,,,,,,,,,,,,,,,,
M10.29,"NET-03.7, CFG-02",Providers shall contractually require that third party administrators implement logically-independent privileged access workstations per provider.,"4(4)(a); 7(1); 7(4)(a)(i),(ii); 7(4)(b)",Organizational implementation; outside platform scope.,Not Applicable,,,,,,,,,,,,,,,,,,,
M10.30,"IAC-01, IAC-03",Providers shall contractually require that third party administrators implement independent administrative domains and accounts per provider.,"7(1); 7(4)(a)(i),(ii)",Organizational implementation; outside platform scope.,Not Applicable,,,,,,,,,,,,,,,,,,,
M10.31,"CFG-03, IAC-01",Providers shall ensure that the elements of the provider network that are accessible by the third party administrator shall be the minimum required to perform its contractual function.,"7(1); 7(4)(a)(i),(ii); 8(4); 8(5)(e)",Organizational implementation; outside platform scope.,Not Applicable,,,,,,,,,,,,,,,,,,,
M10.32,"MON-01, MON-02",Providers shall both log and record all third party administrator access into its networks.,"6(1); 6(2)(a),(b); 6(3)(a); 7(4)(a)(iii),(iv); 8(5)(d)(i),(ii); 9(1); 9(2)(c)(iv),(v)","VCF/TCP comprehensively logs all administrative access regardless of user affiliation. VCF SSO authenticates all users, including third-party administrators, and logs every authentication attempt. The VCF Operations Audit Events framework captures all privileged actions performed by any administrator, including configuration changes, API calls, and system access. These logs include user identity, timestamp, source location, and actions performed. All logs can be forwarded to VCF Operations for Logs or external SIEM systems for centralized monitoring and compliance reporting, providing complete visibility into third-party administrator activities.",Contributes,,,,,,,,,,,,,,,,,,,
M10.33,"MON-01.15, TPM-08",The provider shall contractually require the third party administrator to monitor and audit the activities of the third party administrator's staff when accessing the provider's network.,"6(1); 6(2)(a),(b); 7(4)(a)(iii),(iv); 8(5)(d)(i),(ii); 9(1); 9(2)(c)(iv),(v)","While contractual requirements are organizational responsibilities, VCF/TCP provides the technical capabilities to monitor third-party administrator staff activities. VCF Operations for Logs aggregates audit logs from all VCF/TCP components, providing detailed tracking of every action performed by third-party personnel. VCF/TCP supports role-based access control with granular permissions, allowing providers to define and enforce exactly what third-party staff can access and modify. Custom dashboards and automated alerts can flag suspicious activities or policy violations by third-party administrators in real time.",Contributes,,,,,,,,,,,,,,,,,,,
M10.34,"MON-02, TPM-05",The provider shall contractually require from the third party administrator all logs relating to the security of the third party administrator's network to the extent that such logs relate to access into the provider's network.,"6(1); 6(2)(a),(b); 6(3)(a); 7(4)(a)(iii),(iv); 8(5)(d)(i),(ii); 9(1); 9(2)(c)(iv),(v)","VCF/TCP supports comprehensive log integration from third-party management systems. VCF Operations for Logs can ingest syslog, REST API logs, and other standard log formats from external administrator tools. VCF/TCP provides correlation capabilities to associate third-party administrator activities with platform events, creating a unified audit trail. Automated log collection schedules and retention policies ensure continuous compliance with logging requirements.",Contributes,,,,,,,,,,,,,,,,,,,
M10.35,"TPM-08, CPL-03",Providers shall require that networks of the third party administrator that could impact the provider undergo the same level of testing as the provider applies to themselves (e.g. TBEST testing as set for the provider by Ofcom from time to time).,"7(4)(a)(i),(iii); 14(1); 14(2)",Organizational implementation; outside platform scope.,Not Applicable,,,,,,,,,,,,,,,,,,,
M10.36,"TPM-05.6, TPM-03","Providers shall contractually require network equipment suppliers to share with them a 'security declaration' on how they produce secure equipment and ensure they maintain the equipment's security throughout its lifetime. It is recommended that any such declaration should cover all aspects described within the Vendor Security Assessment (VSA) (see Annex B), and providers should encourage their suppliers to publish a response to the VSA.","3(3)(a),(b),(e); 7(4)(a)(i),(iii),(iv); 7(4)(b)",Organizational implementation; outside platform scope.,Not Applicable,,,,,,,,,,,,,,,,,,,
M10.37,"TPM-05, TPM-03","As part of the security declaration, any differences in process across product lines shall be recorded.","3(3)(a),(b); 3(3)(e); 7(4)(a)(i),(iii),(iv); 7(4)(b)",Organizational implementation; outside platform scope.,Not Applicable,,,,,,,,,,,,,,,,,,,
M10.38,TPM-05,"Providers shall ensure, by contractual arrangements, that the network equipment supplier's security declaration is signed-off at an appropriate governance level.","3(3)(a),(b),(e); 7(4)(a)(i),(iii),(iv); 7(4)(b)",Organizational implementation; outside platform scope.,Not Applicable,,,,,,,,,,,,,,,,,,,
M10.39,TPM-05.8,"Where the network equipment supplier claims to have obtained any internationally recognised security assessments or certifications of their equipment (such as Common Criteria or NESAS), providers shall contractually require equipment suppliers to share with them the full findings that evidence this assessment or certificate.","3(3)(a),(b),(e); 7(4)(a)(i),(iii),(iv); 7(4)(b)",Organizational implementation; outside platform scope.,Not Applicable,,,,,,,,,,,,,,,,,,,
M10.40,TPM-05,Providers shall contractually require network equipment suppliers to adhere to a standard no lower than the network equipment supplier's security declaration.,"3(3)(a),(b); 3(4); 7(1); 7(3)(a),(b); 7(4)(a)(i),(iv); 7(4)(c)",Organizational implementation; outside platform scope.,Not Applicable,,,,,,,,,,,,,,,,,,,
M10.41,"TPM-05, CFG-02",Providers shall contractually require network equipment suppliers to supply up-to-date guidance on how the equipment should be securely deployed.,"3(3)(a),(b); 3(4); 7(1); 7(3)(a),(b); 7(4)(a)(i),(iv); 7(4)(c); 12(a); 13(2)(d)(i),(ii)",Organizational implementation; outside platform scope.,Not Applicable,,,,,,,,,,,,,,,,,,,
M10.42,TPM-05,Providers shall contractually require network equipment suppliers to support all equipment and all software and hardware subcomponents for the length of the contract. The period of support of both hardware and software shall be written into the contract.,"3(3)(a),(b); 3(4); 7(1); 7(3)(a),(b); 7(4)(a)(i),(iv); 7(4)(c); 12(a); 13(2)(d)(i),(ii)",Organizational implementation; outside platform scope.,Not Applicable,,,,,,,,,,,,,,,,,,,
M10.43,"TPM-01.1, TPM-03","Providers shall contractually require network equipment suppliers to provide details (product and version) of major third party components and dependencies, including open source components and the period and level of support.","3(3)(a),(b); 3(4); 7(1); 7(3)(a),(b); 7(4)(a)(i),(iv); 7(4)(c); 12(a); 13(2)(d)(i),(ii)",Organizational implementation; outside platform scope.,Not Applicable,,,,,,,,,,,,,,,,,,,
M10.44,"VPM-02, TPM-09","Where relevant to a provider's particular usage of equipment, providers shall contractually require third party suppliers to remediate all security issues that pose a security risk to a provider's network or service discovered within their products within a reasonable time of being notified, providing regular updates on progress in the interim. This shall include all products impacted by the vulnerability, not only the product for which the vulnerability was reported.","3(3)(a),(b); 3(4); 7(1); 7(3)(a),(b); 7(4)(a)(i),(iv); 7(4)(c); 12(a); 12(c)(i),(ii); 15(1); 15(4)","VCF/TCP provides integrated lifecycle management tools for infrastructure updates and patch deployment with zero-downtime maintenance capabilities through the Distributed Resource Scheduler (DRS). VCF includes built-in alerts for security vulnerabilities and available updates. Broadcom maintains a security advisory system through web publications and email notifications to inform customers of security updates and patches. VCF/TCP supports staged rollouts, rollback capabilities, and integration with change management processes. Live Patching capabilities update and restart discrete components without requiring host evacuation.

VCF Operations orchestration provides centralized lifecycle management for the entire stack. Pre-update validation performs health checks and compatibility verification before updates. Update bundle management enables download, staging, and repository management for offline environments. Component interdependency management ensures orchestrated updates that respect dependencies between platform components.

vSphere Lifecycle Manager (vLCM) with Hardware Support Manager (HSM) plugins enables vendor-specific firmware and driver management. VCF/TCP supports Ensure Accessibility maintenance mode for vSAN storage clusters. This uses durability components to maintain data availability during updates. VMware Live Site Recovery supports N-1 version compatibility between sites for offline deployments. This enables phased upgrades across protected and recovery sites. Kubernetes workload lifecycle management includes automated updates for vSphere Kubernetes releases with support for rolling updates to maintain application availability.

Platform uses Configuration Profiles, Host Profiles, and Image-Based Lifecycle Management to periodically assess the configuration of hosts. It alerts if drift is detected and offers automated remediation. Security and operations teams can use interfaces, command-line interface (CLI) tools, and APIs to automate security posture assessment and remediation workflows. Teams can also integrate third-party monitoring, analysis, and Security Information and Event Management (SIEM) tools.

VCF Operations includes rule-based and machine learning-based analytics for proactive threat detection and anomaly identification. VCF/TCP tracks configuration drift across all infrastructure components. Administrators can trace configuration changes back to specific users and timestamps. This configuration management capability complements the Audit Events framework by providing detailed change tracking for compliance reporting and security investigations.",Contributes,,,,,,,,,,,,,,,,,,,
M10.45,"TPM-08, CPL-01",Providers shall record where third party suppliers fail to meet these security obligations.,"7(4)(iii),(iv)",Organizational implementation; outside platform scope.,Not Applicable,,,,,,,,,,,,,,,,,,,
M10.46,TPM-05.1,Providers shall ensure that their contracts allow details of security issues to be shared as appropriate to support the identification and reduction of the risks of security compromises occurring in relation to the public electronic communications network or public electronic communications service as a result of things done or omitted by third party suppliers.,"7(1); 7(3)(a),(b); 7(4)(a)(i),(iv); 7(4)(c)",Organizational implementation; outside platform scope.,Not Applicable,,,,,,,,,,,,,,,,,,,
M10.47,VPM-05,"Providers shall contractually require network equipment suppliers to deliver critical security patches separately to feature releases, to maximise the speed at which the patch can be deployed.","3(3)(a),(b); 3(4); 7(1); 7(4)(a)(i); 7(4)(c); 12(a); 12(c)(i),(ii)",Organizational implementation; outside platform scope.,Not Applicable,,,,,,,,,,,,,,,,,,,
