Control ID,SCF ID,Description,Control Coverage,Response,
17.1,PRI-06,"The data subject shall have the right to obtain from the controller the erasure of personal data concerning him or her without undue delay and the controller shall have the obligation to erase personal data without undue delay where one of the following grounds applies:
a. the personal data are no longer necessary in relation to the purposes for which they were collected or otherwise processed;
b. the data subject withdraws consent on which the processing is based according to point (a) of Article 6(1), or point (a) of Article 9(2), and where there is no other legal ground for the processing;
c. the data subject objects to the processing pursuant to Article 21(1) and there are no overriding legitimate grounds for the processing, or the data subject objects to the processing pursuant to Article 21(2);
d. the personal data have been unlawfully processed;
e. the personal data have to be erased for compliance with a legal obligation in Union or Member State law to which the controller is subject;
f. the personal data have been collected in relation to the offer of information society services referred to in Article 8(1).",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
17.1(a),PRI-06.5,"The data subject shall have the right to obtain from the controller the erasure of personal data concerning him or her without undue delay and the controller shall have the obligation to erase personal data without undue delay where one of the following grounds applies:
a. the personal data are no longer necessary in relation to the purposes for which they were collected or otherwise processed;
",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
17.1(b),PRI-06.5,"The data subject shall have the right to obtain from the controller the erasure of personal data concerning him or her without undue delay and the controller shall have the obligation to erase personal data without undue delay where one of the following grounds applies:

b. the data subject withdraws consent on which the processing is based according to point (a) of Article 6(1), or point (a) of Article 9(2), and where there is no other legal ground for the processing;
",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
17.1(c),PRI-06.5,"The data subject shall have the right to obtain from the controller the erasure of personal data concerning him or her without undue delay and the controller shall have the obligation to erase personal data without undue delay where one of the following grounds applies:
a. the personal data are no longer necessary in relation to the purposes for which they were collected or otherwise processed;
b. the data subject withdraws consent on which the processing is based according to point (a) of Article 6(1), or point (a) of Article 9(2), and where there is no other legal ground for the processing;
c. the data subject objects to the processing pursuant to Article 21(1) and there are no overriding legitimate grounds for the processing, or the data subject objects to the processing pursuant to Article 21(2);
d. the personal data have been unlawfully processed;
e. the personal data have to be erased for compliance with a legal obligation in Union or Member State law to which the controller is subject;
f. the personal data have been collected in relation to the offer of information society services referred to in Article 8(1).",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
17.1(d),PRI-06.5,"The data subject shall have the right to obtain from the controller the erasure of personal data concerning him or her without undue delay and the controller shall have the obligation to erase personal data without undue delay where one of the following grounds applies:

d. the personal data have been unlawfully processed;
",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
17.1(e),PRI-06.5,"The data subject shall have the right to obtain from the controller the erasure of personal data concerning him or her without undue delay and the controller shall have the obligation to erase personal data without undue delay where one of the following grounds applies:

e. the personal data have to be erased for compliance with a legal obligation in Union or Member State law to which the controller is subject;
",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
17.1(f),PRI-06.5,"The data subject shall have the right to obtain from the controller the erasure of personal data concerning him or her without undue delay and the controller shall have the obligation to erase personal data without undue delay where one of the following grounds applies:

f. the personal data have been collected in relation to the offer of information society services referred to in Article 8(1).",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
17.2,PRI-06.5,"Where the controller has made the personal data public and is obliged pursuant to paragraph 1 to erase the personal data, the controller, taking account of available technology and the cost of implementation, shall take reasonable steps, including technical measures, to inform controllers which are processing the personal data that the data subject has requested the erasure by such controllers of any links to, or copy or replication of, those personal data.
",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
17.3,PRI-06.5,"Paragraphs 1 and 2 shall not apply to the extent that processing is necessary:
a. for exercising the right of freedom of expression and information;
b. for compliance with a legal obligation which requires processing by Union or Member State law to which the controller is subject or for the performance of a task carried out in the public interest or in the exercise of official authority vested in the controller;
c. for reasons of public interest in the area of public health in accordance with points (h) and (i) of Article 9(2) as well as Article 9(3);
d. for archiving purposes in the public interest, scientific or historical research purposes or statistical purposes in accordance with Article 89(1) in so far as the right referred to in paragraph 1 is likely to render impossible or seriously impair the achievement of the objectives of that processing; or
e. for the establishment, exercise or defence of legal claims.
",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
17.3(a),PRI-06.5,"Paragraphs 1 and 2 shall not apply to the extent that processing is necessary:
a. for exercising the right of freedom of expression and information;
r the establishment, exercise or defence of legal claims.
",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
17.3(b),PRI-06.5,"Paragraphs 1 and 2 shall not apply to the extent that processing is necessary:

b. for compliance with a legal obligation which requires processing by Union or Member State law to which the controller is subject or for the performance of a task carried out in the public interest or in the exercise of official authority vested in the controller;
",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
17.3(c),PRI-06.5,"Paragraphs 1 and 2 shall not apply to the extent that processing is necessary:

c. for reasons of public interest in the area of public health in accordance with points (h) and (i) of Article 9(2) as well as Article 9(3);
",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
17.3(d),PRI-06.5,"Paragraphs 1 and 2 shall not apply to the extent that processing is necessary:

d. for archiving purposes in the public interest, scientific or historical research purposes or statistical purposes in accordance with Article 89(1) in so far as the right referred to in paragraph 1 is likely to render impossible or seriously impair the achievement of the objectives of that processing; or

",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
17.3(e),PRI-06.5,"Paragraphs 1 and 2 shall not apply to the extent that processing is necessary:

e. for the establishment, exercise or defence of legal claims.
",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
18.1,PRI-06,"The data subject shall have the right to obtain from the controller restriction of processing where one of the following applies:
a. the accuracy of the personal data is contested by the data subject, for a period enabling the controller to verify the accuracy of the personal data;
b. the processing is unlawful and the data subject opposes the erasure of the personal data and requests the restriction of their use instead;
c. the controller no longer needs the personal data for the purposes of the processing, but they are required by the data subject for the establishment, exercise or defence of legal claims;
d. the data subject has objected to processing pursuant to Article 21(1) pending the verification whether the legitimate grounds of the controller override those of the data subject.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
18.1(a),PRI-06,"The data subject shall have the right to obtain from the controller restriction of processing where one of the following applies:
a. the accuracy of the personal data is contested by the data subject, for a period enabling the controller to verify the accuracy of the personal data;
",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
18.1(b),PRI-06,"The data subject shall have the right to obtain from the controller restriction of processing where one of the following applies:

b. the processing is unlawful and the data subject opposes the erasure of the personal data and requests the restriction of their use instead;
",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
18.1(c),PRI-06,"The data subject shall have the right to obtain from the controller restriction of processing where one of the following applies:

c. the controller no longer needs the personal data for the purposes of the processing, but they are required by the data subject for the establishment, exercise or defence of legal claims;
",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
18.1(d),PRI-06,"The data subject shall have the right to obtain from the controller restriction of processing where one of the following applies:

d. the data subject has objected to processing pursuant to Article 21(1) pending the verification whether the legitimate grounds of the controller override those of the data subject.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
18.2,PRI-03.9,"Where processing has been restricted under paragraph 1, such personal data shall, with the exception of storage, only be processed with the data subject’s consent or for the establishment, exercise or defence of legal claims or for the protection of the rights of another natural or legal person or for reasons of important public interest of the Union or of a Member State.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
18.3,PRI-03.11,A data subject who has obtained restriction of processing pursuant to paragraph 1 shall be informed by the controller before the restriction of processing is lifted.,Not Applicable,"End user activity or process, design decision, or activity out of scope.",
19,PRI-03.11,"The controller shall communicate any rectification or erasure of personal data or restriction of processing carried out in accordance with Article 16, Article 17(1) and Article 18 to each recipient to whom the personal data have been disclosed, unless this proves impossible or involves disproportionate effort. The controller shall inform the data subject about those recipients if the data subject requests it.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
20.1,"PRI-06.6, PRI-06.7","The data subject shall have the right to receive the personal data concerning him or her, which he or she has provided to a controller, in a structured, commonly used and machine-readable format and have the right to transmit those data to another controller without hindrance from the controller to which the personal data have been provided, where:
a. the processing is based on consent pursuant to point (a) of Article 6(1) or point (a) of Article 9(2) or on a contract pursuant to point (b) of Article 6(1); and
b. the processing is carried out by automated means.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
20.1(b),PRI-06.7,"The data subject shall have the right to receive the personal data concerning him or her, which he or she has provided to a controller, in a structured, commonly used and machine-readable format and have the right to transmit those data to another controller without hindrance from the controller to which the personal data have been provided, where:

b. the processing is carried out by automated means.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
21.1,PRI-03,"The data subject shall have the right to object, on grounds relating to his or her particular situation, at any time to processing of personal data concerning him or her which is based on point (e) or (f) of Article 6(1), including profiling based on those provisions. The controller shall no longer process the personal data unless the controller demonstrates compelling legitimate grounds for the processing which override the interests, rights and freedoms of the data subject or for the establishment, exercise or defence of legal claims.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
21.2,PRI-03,"Where personal data are processed for direct marketing purposes, the data subject shall have the right to object at any time to processing of personal data concerning him or her for such marketing, which includes profiling to the extent that it is related to such direct marketing.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
21.3,PRI-03,"Where the data subject objects to processing for direct marketing purposes, the personal data shall no longer be processed for such purposes.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
21.4,PRI-03,"At the latest at the time of the first communication with the data subject, the right referred to in paragraphs 1 and 2 shall be explicitly brought to the attention of the data subject and shall be presented clearly and separately from any other information.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
21.5,PRI-03,"In the context of the use of information society services, and notwithstanding Directive 2002/58/EC, the data subject may exercise his or her right to object by automated means using technical specifications.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
21.6,PRI-03,"Where personal data are processed for scientific or historical research purposes or statistical purposes pursuant to Article 89(1), the data subject, on grounds relating to his or her particular situation, shall have the right to object to processing of personal data concerning him or her, unless the processing is necessary for the performance of a task carried out for reasons of public interest.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
24.1,PRI-01.6,"Taking into account the nature, scope, context and purposes of processing as well as the risks of varying likelihood and severity for the rights and freedoms of natural persons, the controller shall implement appropriate technical and organisational measures to ensure and to be able to demonstrate that processing is performed in accordance with this Regulation. Those measures shall be reviewed and updated where necessary.",Contributes,"VMware Cloud Foundation (VCF) implements robust technical measures to protect personal data. VCF isolates workloads by running each virtual machine in its own execution environment, preventing interference and enforcing data separation. vSphere Namespaces provide isolated sandboxes with enforced resource limits, storage policies, and access controls.

Data at rest is protected through VM Encryption and vSAN Encryption, maintaining confidentiality for any personal data stored within VCF-managed infrastructure. The Supervisor encrypts all secrets stored in its etcd database, securing sensitive configuration data.

VCF Automation includes a privacy-aware feature that controls the display of full user names, enabling organizations to manage explicit consent for exposing personal user data.

VMware vDefend further contributes by applying network-level security controls to workloads that store, process, or transmit personal data.

The Distributed Firewall enforces microsegmentation policies, isolating personal data-bearing workloads and restricting lateral movement. Security Intelligence identifies cleartext protocols that may expose personal data in transit, facilitating remediation of insecure communication paths. IDS/IPS provides threat detection for network-based attacks targeting personal data systems, and Gateway Firewall policies restrict access to critical infrastructure services like DNS and LDAP.

While the platform provides extensive technical safeguards, the organization is responsible for defining and classifying what constitutes personal data, establishing comprehensive privacy policies, and implementing the necessary organizational measures to ensure and demonstrate overall compliance with regulations.

This includes managing the physical security of the underlying infrastructure, implementing content-level Data Loss Prevention (DLP) where required, and establishing processes for the regular review and update of all technical and organizational measures.",
24.2,GOV-02,"Where proportionate in relation to processing activities, the measures referred to in paragraph 1 shall include the implementation of appropriate data protection policies by the controller.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
25.1,PRI-01.6,"Taking into account the state of the art, the cost of implementation and the nature, scope, context and purposes of processing as well as the risks of varying likelihood and severity for rights and freedoms of natural persons posed by the processing, the controller shall, both at the time of the determination of the means for processing and at the time of the processing itself, implement appropriate technical and organisational measures, such as pseudonymisation, which are designed to implement data-protection principles, such as data minimisation, in an effective manner and to integrate the necessary safeguards into the processing in order to meet the requirements of this Regulation and protect the rights of data subjects.",Contributes,"VMware Cloud Foundation implements robust technical and organizational measures to protect personal data. It isolates workloads within their own execution environments and utilizes vSphere Namespaces to create isolated sandboxes with enforced resource limits, storage policies, and access controls, thereby enforcing data separation. Data at rest is protected through VM Encryption and vSAN Encryption, ensuring confidentiality. The Supervisor further encrypts all secrets stored in its etcd database. VCF Automation includes a privacy-aware feature that controls the display of full user names in the user interface, enabling organizations to manage explicit consent for exposing personal user data and supporting data minimization principles.

VMware vDefend extends these protections by applying network-level security controls to workloads that store, process, or transmit personal data. The Distributed Firewall enforces microsegmentation policies, isolating PD-bearing workloads, restricting lateral movement, and limiting access to sensitive data flows. Security Intelligence identifies cleartext protocols that could expose personal data in transit, allowing for remediation of insecure communication paths. IDS/IPS provides threat detection for network-based attacks targeting PD-bearing systems, and Gateway Firewall policies restrict access to critical infrastructure, enhancing data confidentiality and integrity.

While the platform provides essential technical safeguards, the customer retains responsibility for defining the nature, scope, context, and purposes of processing, as well as classifying what constitutes personal data. The controller must also conduct the necessary risk assessments to determine the appropriate technical and organizational measures, including the specific implementation of pseudonymisation and data minimization principles at the application layer. Physical security of the underlying infrastructure and content-level data loss prevention (DLP) also remain outside the platform's direct scope.",
25.2,PRI-01.6,"The controller shall implement appropriate technical and organisational measures for ensuring that, by default, only personal data which are necessary for each specific purpose of the processing are processed. That obligation applies to the amount of personal data collected, the extent of their processing, the period of their storage and their accessibility. In particular, such measures shall ensure that by default personal data are not made accessible without the individual’s intervention to an indefinite number of natural persons.",Contributes,"VMware Cloud Foundation (VCF) and VMware vDefend implement robust technical measures that inherently support data minimization and privacy by default.

VCF isolates workloads within their own execution environments and utilizes vSphere Namespaces to create isolated sandboxes with enforced resource limits, storage policies, and access controls, thereby limiting the extent of data processing and accessibility. VM Encryption and vSAN Encryption protect personal data at rest, while the Supervisor encrypts all secrets in its etcd database. VCF Automation includes a privacy-aware feature that controls the display of full user names in the user interface, requiring explicit consent to manage the exposure of personal user data.

VMware vDefend further enhances these protections through network-level controls. The Distributed Firewall enforces microsegmentation policies, isolating personal data-bearing workloads and restricting lateral movement to limit access to sensitive data flows. Security Intelligence identifies cleartext protocols that could expose personal data in transit, enabling remediation of insecure communication paths. IDS/IPS provides threat detection for network-based attacks targeting systems that process personal data, and Gateway Firewall policies restrict access to critical infrastructure.

While the platforms provide essential technical safeguards, the organization remains responsible for defining what constitutes personal data, classifying it appropriately, and establishing the specific purpose for processing. This includes determining the necessary amount of data to be collected, the appropriate period for its storage, and the precise access policies for individuals and systems. The implementation of comprehensive organizational measures, such as data retention policies, access request procedures, and consent management beyond UI display, is a customer responsibility. Physical security of the underlying infrastructure and content-level data loss prevention are also outside the scope of these platforms.",
27.1,PRI-01.4,"Where Article 3(2) applies, the controller or the processor shall designate in writing a representative in the Union.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
27.3,PRI-01.4,"The representative shall be established in one of the Member States where the data subjects, whose personal data are processed in relation to the offering of goods or services to them, or whose behaviour is monitored, are.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
27.4,PRI-01.4,"The representative shall be mandated by the controller or processor to be addressed in addition to or instead of the controller or the processor by, in particular, supervisory authorities and data subjects, on all issues related to processing, for the purposes of ensuring compliance with this Regulation.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
27.5,PRI-01.4,The designation of a representative by the controller or processor shall be without prejudice to legal actions which could be initiated against the controller or the processor themselves.,Not Applicable,"End user activity or process, design decision, or activity out of scope.",
28.1,PRI-07.1,"Where processing is to be carried out on behalf of a controller, the controller shall use only processors providing sufficient guarantees to implement appropriate technical and organisational measures in such a manner that processing will meet the requirements of this Regulation and ensure the protection of the rights of the data subject.
",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
28.2,PRI-07.1,"The processor shall not engage another processor without prior specific or general written authorisation of the controller. In the case of general written authorisation, the processor shall inform the controller of any intended changes concerning the addition or replacement of other processors, thereby giving the controller the opportunity to object to such changes.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
28.3,PRI-07.1,"Processing by a processor shall be governed by a contract or other legal act under Union or Member State law, that is binding on the processor with regard to the controller and that sets out the subject-matter and duration of the processing, the nature and purpose of the processing, the type of personal data and categories of data subjects and the obligations and rights of the controller. That contract or other legal act shall stipulate, in particular, that the processor:

a. processes the personal data only on documented instructions from the controller, including with regard to transfers of personal data to a third country or an international organisation, unless required to do so by Union or Member State law to which the processor is subject; in such a case, the processor shall inform the controller of that legal requirement before processing, unless that law prohibits such information on important grounds of public interest;
b. ensures that persons authorised to process the personal data have committed themselves to confidentiality or are under an appropriate statutory obligation of confidentiality;
c. takes all measures required pursuant to Article 32;
d. respects the conditions referred to in paragraphs 2 and 4 for engaging another processor;
e. taking into account the nature of the processing, assists the controller by appropriate technical and organisational measures, insofar as this is possible, for the fulfilment of the controller’s obligation to respond to requests for exercising the data subject’s rights laid down in Chapter III;
f. assists the controller in ensuring compliance with the obligations pursuant to Articles 32 to 36 taking into account the nature of processing and the information available to the processor;
g. at the choice of the controller, deletes or returns all the personal data to the controller after the end of the provision of services relating to processing, and deletes existing copies unless Union or Member State law requires storage of the personal data;
h. makes available to the controller all information necessary to demonstrate compliance with the obligations laid down in this Article and allow for and contribute to audits, including inspections, conducted by the controller or another auditor mandated by the controller.

With regard to point (h) of the first subparagraph, the processor shall immediately inform the controller if, in its opinion, an instruction infringes this Regulation or other Union or Member State data protection provisions.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
28.3(a),PRI-07.1,"Processing by a processor shall be governed by a contract or other legal act under Union or Member State law, that is binding on the processor with regard to the controller and that sets out the subject-matter and duration of the processing, the nature and purpose of the processing, the type of personal data and categories of data subjects and the obligations and rights of the controller. That contract or other legal act shall stipulate, in particular, that the processor:

a. processes the personal data only on documented instructions from the controller, including with regard to transfers of personal data to a third country or an international organisation, unless required to do so by Union or Member State law to which the processor is subject; in such a case, the processor shall inform the controller of that legal requirement before processing, unless that law prohibits such information on important grounds of public interest;
",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
28.3(b),PRI-07.1,"Processing by a processor shall be governed by a contract or other legal act under Union or Member State law, that is binding on the processor with regard to the controller and that sets out the subject-matter and duration of the processing, the nature and purpose of the processing, the type of personal data and categories of data subjects and the obligations and rights of the controller. That contract or other legal act shall stipulate, in particular, that the processor:


b. ensures that persons authorised to process the personal data have committed themselves to confidentiality or are under an appropriate statutory obligation of confidentiality;
",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
28.3(c),PRI-07.1,"Processing by a processor shall be governed by a contract or other legal act under Union or Member State law, that is binding on the processor with regard to the controller and that sets out the subject-matter and duration of the processing, the nature and purpose of the processing, the type of personal data and categories of data subjects and the obligations and rights of the controller. That contract or other legal act shall stipulate, in particular, that the processor:


c. takes all measures required pursuant to Article 32;
",Contributes,"VCF provides a secure, resilient infrastructure that inherently supports the technical and organizational measures required for the protection of personal data.

The platform enforces strong encryption for data at rest and in transit, implements granular role-based access controls, and maintains secure configuration baselines. Comprehensive logging and auditing capabilities are integral to the environment, enabling monitoring and incident response. Automated patching and update mechanisms ensure the underlying infrastructure components are continuously protected against emerging threats and vulnerabilities, directly contributing to the confidentiality, integrity, and availability of data.

The establishment and management of legal contracts or other binding legal acts, including the explicit stipulation of Article 32 requirements, are responsibilities of the customer. Customers must define and implement their specific organizational policies, processes, and human accountability structures to fully operationalize the security measures, ensuring alignment with their risk assessments and regulatory obligations for data processing activities.",
28.3(d),PRI-07.1,"Processing by a processor shall be governed by a contract or other legal act under Union or Member State law, that is binding on the processor with regard to the controller and that sets out the subject-matter and duration of the processing, the nature and purpose of the processing, the type of personal data and categories of data subjects and the obligations and rights of the controller. That contract or other legal act shall stipulate, in particular, that the processor:


d. respects the conditions referred to in paragraphs 2 and 4 for engaging another processor;
",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
28.3(e),PRI-07.1,"Processing by a processor shall be governed by a contract or other legal act under Union or Member State law, that is binding on the processor with regard to the controller and that sets out the subject-matter and duration of the processing, the nature and purpose of the processing, the type of personal data and categories of data subjects and the obligations and rights of the controller. That contract or other legal act shall stipulate, in particular, that the processor:


e. taking into account the nature of the processing, assists the controller by appropriate technical and organisational measures, insofar as this is possible, for the fulfilment of the controller’s obligation to respond to requests for exercising the data subject’s rights laid down in Chapter III;
",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
28.3(f),PRI-07.1,"Processing by a processor shall be governed by a contract or other legal act under Union or Member State law, that is binding on the processor with regard to the controller and that sets out the subject-matter and duration of the processing, the nature and purpose of the processing, the type of personal data and categories of data subjects and the obligations and rights of the controller. That contract or other legal act shall stipulate, in particular, that the processor:


f. assists the controller in ensuring compliance with the obligations pursuant to Articles 32 to 36 taking into account the nature of processing and the information available to the processor;
",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
28.3(g),PRI-07.1,"Processing by a processor shall be governed by a contract or other legal act under Union or Member State law, that is binding on the processor with regard to the controller and that sets out the subject-matter and duration of the processing, the nature and purpose of the processing, the type of personal data and categories of data subjects and the obligations and rights of the controller. That contract or other legal act shall stipulate, in particular, that the processor:

g. at the choice of the controller, deletes or returns all the personal data to the controller after the end of the provision of services relating to processing, and deletes existing copies unless Union or Member State law requires storage of the personal data;
",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
28.3(h),PRI-07.1,"Processing by a processor shall be governed by a contract or other legal act under Union or Member State law, that is binding on the processor with regard to the controller and that sets out the subject-matter and duration of the processing, the nature and purpose of the processing, the type of personal data and categories of data subjects and the obligations and rights of the controller. That contract or other legal act shall stipulate, in particular, that the processor:

h. makes available to the controller all information necessary to demonstrate compliance with the obligations laid down in this Article and allow for and contribute to audits, including inspections, conducted by the controller or another auditor mandated by the controller.

With regard to point (h) of the first subparagraph, the processor shall immediately inform the controller if, in its opinion, an instruction infringes this Regulation or other Union or Member State data protection provisions.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
28.4,PRI-07.1,"Where a processor engages another processor for carrying out specific processing activities on behalf of the controller, the same data protection obligations as set out in the contract or other legal act between the controller and the processor as referred to in paragraph 3 shall be imposed on that other processor by way of a contract or other legal act under Union or Member State law, in particular providing sufficient guarantees to implement appropriate technical and organisational measures in such a manner that the processing will meet the requirements of this Regulation. Where that other processor fails to fulfil its data protection obligations, the initial processor shall remain fully liable to the controller for the performance of that other processor’s obligations.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
28.5,PRI-07.1,Adherence of a processor to an approved code of conduct as referred to in Article 40 or an approved certification mechanism as referred to in Article 42 may be used as an element by which to demonstrate sufficient guarantees as referred to in paragraphs 1 and 4 of this Article.,Not Applicable,"End user activity or process, design decision, or activity out of scope.",
28.6,PRI-07.1,"Without prejudice to an individual contract between the controller and the processor, the contract or the other legal act referred to in paragraphs 3 and 4 of this Article may be based, in whole or in part, on standard contractual clauses referred to in paragraphs 7 and 8 of this Article, including when they are part of a certification granted to the controller or processor pursuant to Articles 42 and 43.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
28.7,PRI-07.1,The Commission may lay down standard contractual clauses for the matters referred to in paragraph 3 and 4 of this Article and in accordance with the examination procedure referred to in Article 93(2).,Not Applicable,"End user activity or process, design decision, or activity out of scope.",
28.8,PRI-07.1,A supervisory authority may adopt standard contractual clauses for the matters referred to in paragraph 3 and 4 of this Article and in accordance with the consistency mechanism referred to in Article 63.,Not Applicable,"End user activity or process, design decision, or activity out of scope.",
28.9,PRI-07.1,"The contract or the other legal act referred to in paragraphs 3 and 4 shall be in writing, including in electronic form.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
28.10.,No Mapping Found,"Without prejudice to Articles 82, 83 and 84, if a processor infringes this Regulation by determining the purposes and means of processing, the processor shall be considered to be a controller in respect of that processing.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
29,PRI-07.1,"The processor and any person acting under the authority of the controller or of the processor, who has access to personal data, shall not process those data except on instructions from the controller, unless required to do so by Union or Member State law.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
30.1,PRI-14,"Each controller and, where applicable, the controller’s representative, shall maintain a record of processing activities under its responsibility. That record shall contain all of the following information:
a. the name and contact details of the controller and, where applicable, the joint controller, the controller’s representative and the data protection officer;
",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
30.1(a),PRI-14,"Each controller and, where applicable, the controller’s representative, shall maintain a record of processing activities under its responsibility. That record shall contain all of the following information:
a. the name and contact details of the controller and, where applicable, the joint controller, the controller’s representative and the data protection officer;
b. the purposes of the processing;
c. a description of the categories of data subjects and of the categories of personal data;
d. the categories of recipients to whom the personal data have been or will be disclosed including recipients in third countries or international organisations;
e. where applicable, transfers of personal data to a third country or an international organisation, including the identification of that third country or international organisation and, in the case of transfers referred to in the second subparagraph of Article 49(1), the documentation of suitable safeguards;
f. where possible, the envisaged time limits for erasure of the different categories of data;
g. where possible, a general description of the technical and organisational security measures referred to in Article 32(1).",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
30.1(b),PRI-14,"Each controller and, where applicable, the controller’s representative, shall maintain a record of processing activities under its responsibility. That record shall contain all of the following information:

b. the purposes of the processing;
",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
30.1(c),PRI-14,"Each controller and, where applicable, the controller’s representative, shall maintain a record of processing activities under its responsibility. That record shall contain all of the following information:

c. a description of the categories of data subjects and of the categories of personal data;
",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
30.1(d),PRI-14,"Each controller and, where applicable, the controller’s representative, shall maintain a record of processing activities under its responsibility. That record shall contain all of the following information:

d. the categories of recipients to whom the personal data have been or will be disclosed including recipients in third countries or international organisations;
",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
30.1(e),PRI-14,"Each controller and, where applicable, the controller’s representative, shall maintain a record of processing activities under its responsibility. That record shall contain all of the following information:

e. where applicable, transfers of personal data to a third country or an international organisation, including the identification of that third country or international organisation and, in the case of transfers referred to in the second subparagraph of Article 49(1), the documentation of suitable safeguards;
",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
30.1(f),PRI-14,"Each controller and, where applicable, the controller’s representative, shall maintain a record of processing activities under its responsibility. That record shall contain all of the following information:

f. where possible, the envisaged time limits for erasure of the different categories of data;
",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
30.1(g),PRI-14,"Each controller and, where applicable, the controller’s representative, shall maintain a record of processing activities under its responsibility. That record shall contain all of the following information:

g. where possible, a general description of the technical and organisational security measures referred to in Article 32(1).",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
30.2,PRI-14,"Each processor and, where applicable, the processor’s representative shall maintain a record of all categories of processing activities carried out on behalf of a controller, containing:
a. the name and contact details of the processor or processors and of each controller on behalf of which the processor is acting, and, where applicable, of  the controller’s or the processor’s representative, and the data protection officer;
b. the categories of processing carried out on behalf of each controller;
c. where applicable, transfers of personal data to a third country or an international organisation, including the identification of that third country or international organisation and, in the case of transfers referred to in the second subparagraph of Article 49(1), the documentation of suitable safeguards;
d. where possible, a general description of the technical and organisational security measures referred to in Article 32(1).
",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
30.2(a),PRI-14,"Each processor and, where applicable, the processor’s representative shall maintain a record of all categories of processing activities carried out on behalf of a controller, containing:
a. the name and contact details of the processor or processors and of each controller on behalf of which the processor is acting, and, where applicable, of  the controller’s or the processor’s representative, and the data protection officer;
",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
30.2(b),PRI-14,"Each processor and, where applicable, the processor’s representative shall maintain a record of all categories of processing activities carried out on behalf of a controller, containing:

b. the categories of processing carried out on behalf of each controller;
",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
30.2(c),PRI-14,"Each processor and, where applicable, the processor’s representative shall maintain a record of all categories of processing activities carried out on behalf of a controller, containing:

c. where applicable, transfers of personal data to a third country or an international organisation, including the identification of that third country or international organisation and, in the case of transfers referred to in the second subparagraph of Article 49(1), the documentation of suitable safeguards;
",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
