ID,Category,Component,Component Display,Username / Identity,UID,Type,Tier,Purpose,Security Methods,Integrity Checks,Privileged Modifier Accounts,Privileged Modifier Controls,Access Methods,Authentication Mechanisms,Operations,Objects Controlled,Privilege Notes,Auth Log Path,Auth Log Signatures,Credential Modification Log Path,Anomaly Detection Method,SIEM auditID Filter Set,Vault-Integrated
GLCM-SEC-002,Object,glcm-salt,GLCM / SaltStack / MOPS,registry-secret,N/A,Kubernetes Secret,,"Used by vco-app, scripting-runtime to connect to Container registry 127.0.0.1:5000 (local registry in cadenza cluster)",Credential stored in: K8s Secret,,,,"Accessed by: vco-app, scripting-runtime",Kubernetes Secret,Pull images from local registry,Connects to: Container registry 127.0.0.1:5000 (local registry in cadenza cluster),,Kubernetes API server audit log (kube-apiserver audit policy),"verb:""create"",""resource"":""serviceaccounts""; ""verb"":""get"",""resource"":""secrets""; ""responseStatus"":{""code"":403}",Kubernetes API server audit log,Alert on unexpected ClusterRole/RoleBinding creation or modification involving this ServiceAccount. Monitor for secrets access from unexpected pods or namespaces. Kubernetes audit policy should capture all 'get/list/watch' on secrets resources.,"serviceaccounts.create; serviceaccounts.patch; secrets.create; secrets.delete; tokenreviews.create; clusterrolebindings.patch; rolebindings.patch; subjectaccessreviews.create [Kubernetes API server audit log, filter on verb+resource+responseStatus]",Not applicable
HARBOR-SEC-001,Object,harbor,Harbor Container Registry,manager-role,N/A,RBAC role,,Used by Harbor operator controller to connect to Kubernetes API,Credential stored in: In-cluster token,,,,Accessed by: Harbor operator controller,In-cluster token,"Scope TBD, depends on controller-gen output from api/v1alpha1/ types",Connects to: Kubernetes API,,,,,,serviceaccounts.create; serviceaccounts.patch; secrets.create; secrets.delete; tokenreviews.create; clusterrolebindings.patch; rolebindings.patch; subjectaccessreviews.create,Not applicable
HCX-OS-002,Account,hcx,VMware HCX,backup,System-assigned,OS,1,HCX appliance OS backup user. Present in component management audit logging. Restricted shell or no-login account used for backup operations on the HCX appliance.,"Account created by appliance image build, locked by default.; Fleet Password Policy integration pending verification.",File integrity monitoring via HCX appliance OS hardening.,"root, HCX appliance admin.",Appliance re-image or HCX upgrade replaces account configuration.,"Local console or SSH (if enabled), appliance-internal only.","Password-based (PAM), Fleet Policy controlled in 9.1.",Backup file read/write on appliance.,HCX appliance local filesystem.,"Appliance OS-level account, standard hardened appliance pattern.",/var/log/auth.log (HCX appliance OS),backup login; su - backup,Fleet Password Policy audit log,Alert on unexpected backup account logins or privilege escalation.,"Not yet in VCF 9.1 audit standardization scope, monitor via component-native logs",No (manual lifecycle)
HCX-SVC-001,Account,hcx,VMware HCX,vpxuser,N/A,InterComponent,2,"vCenter Server vSphere API service account created by HCX when registering with vCenter. Used by HCX Migration Service to access vCenter inventory, provision shadow VMs, and manage network mappings.",vSphere SSO session-based credential generated and managed natively by HCX on vCenter registration. Never stored in source code; rotated on re-registration events.,Managed natively inside HCX configuration engine on automated internal loops.,"vCenter SSO administrator, HCX Manager admin",Deregister and re-register vCenter in HCX Manager UI to trigger rotation.,Internal HCX Migration Service pod to vCenter API (HTTPS port 443).,vSphere API session token / username-password.,"vCenter inventory read (VMs, networks, datastores), shadow VM provisioning, network mapping for migration.",vCenter inventory objects within the registered datacenter scope.,Tier 2 inter-component. Least-privilege migration scope.,/opt/vmware/hcx/logs/app/app.log,vpxuser login; vpxuser API session,/opt/vmware/hcx/logs/admin/audit.log,Monitor vCenter event log for vpxuser auth failures from unexpected source IPs.,vpxd.log; session.create; session.destroy,No (platform-managed)
HCX-OS-001,Account,hcx,VMware HCX,root,0,OS,1,Primary OS administrative account for the HCX appliance. Used for appliance-level SSH access and OS operations. Fully managed by VCF Operations Fleet Management and CyberArk in VCF 9.1 via HCX PUT /system/users/accounts.,Password managed by VCF Operations Fleet Management Engine.; CyberArk vault integration supported.; Rotation via HCX PUT /system/users/accounts + VCF Ops.,VCF Operations monitors status.,VCF Operations admin.,Password rotation via VCF Operations and HCX native API.,"SSH (port 22), HCX management network.",Password auth (VCF Ops managed).,Full HCX appliance OS administrative control.; HCX service management.,HCX appliance OS file system.; HCX migration and interconnect service processes.,"Tier 1 Partial, root and admin are in HCX vault integration scope in VCF 9.1 GA.",/var/log/auth.log,Accepted password for root,VCF Operations audit log,Monitor for authentication failures and logins from unexpected source IPs.,"Not yet in VCF 9.1 audit standardization scope, monitor via component-native logs",Yes
HCX-APP-001,Account,hcx,VMware HCX,admin,N/A,Application,1,"Primary application-level administrative account for HCX. Used for HCX UI access, migration configuration, and appliance management. Fully managed by VCF Operations Fleet Management and CyberArk in VCF 9.1.",Password managed by VCF Operations Fleet Management Engine.; CyberArk vault integration supported.; Rotation via HCX API + VCF Ops.; Multi-factor authentication configurable.,VCF Operations monitors status.,VCF Operations admin.,Password rotation via VCF Operations Fleet Management and HCX native API.,HCX Manager UI (HTTPS port 443).; HCX REST API (HTTPS port 443).,Password auth via HCX Manager.; Bearer token for API access.,"Full HCX application administrative control.; Migration configuration, scheduling, and monitoring.; Network extension and interconnect management.",HCX migration configuration objects.; Network extension configurations.; Interconnect service policies.,"Tier 1 Partial, in scope for VCF 9.1 GA HCX vault integration.",,,VCF Operations audit log,Monitor HCX audit log for unexpected configuration changes.,"Not yet in VCF 9.1 audit standardization scope, monitor via component-native logs",Yes
NSX-GM-OS-001,Account,nsx-gm,NSX Global Manager,root,0,OS,1,Primary OS administrative account for the NSX Global Manager appliance. Used for SSH access and appliance-level management. NSX Global Manager provides cross-site centralized management in multi-site NSX deployments.,NOT managed by VCF Operations or SDDC Manager in VCF 9.1.; Password must be managed manually using native NSX Global Manager API.; NSX API: POST /api/v1/node/users/{username}?action=change_password,No automated monitoring via VCF Operations. Manual tracking required.; Recommend establishing an external password rotation schedule.,Any user with root SSH access or NSX Global Manager admin API access.,No centralized control via VCF platform. Direct appliance access required.,SSH (port 22) to NSX Global Manager appliance.; NSX API (HTTPS port 443).; NSX Manager UI (HTTPS port 443).,Password authentication.; NSX API session token.,Full NSX Global Manager OS administrative access.; NSX Global Manager appliance configuration.; Cross-site NSX policy management (via admin account).,NSX Global Manager OS file system.; NSX Global Manager configuration and certificates.; NSX log files.,NSX Global Manager is explicitly excluded from VCF Operations Fleet Management in VCF 9.1. No automated lifecycle management.,/var/log/auth.log (NSX appliance),Accepted password for root from; Failed password for root from; Accepted password for admin from; Failed password for admin from,/var/log/vmware/nsx/nsxd.log,Alert on repeated failed SSH authentication. Monitor for root/admin login events from unexpected source IPs. NSX syslog forwarding to SIEM is configurable under System > Fabric > Syslog.,session.create; session.destroy; user.create; user.delete; role.create; role.update,No (manual lifecycle)
NSX-GM-APP-001,Account,nsx-gm,NSX Global Manager,admin,N/A,Application,1,Primary application-level administrative account for NSX Global Manager. Used for NSX Global Manager UI login and REST API access. NOT managed by VCF Operations or SDDC Manager.,NOT managed by VCF Operations or SDDC Manager.; Manual password rotation via NSX API (POST /api/v1/node/users/{username}?action=change_password).,No automated monitoring. Manual tracking required.,"NSX Global Manager admin (self), root OS account.",No centralized control. Direct NSX API or UI access required.,NSX Global Manager UI (HTTPS port 443).; NSX Global Manager REST API.,Password (local NSX account).; NSX API session cookie/token.,Full NSX Global Manager administrative access.; Cross-site policy management.; Global inventory view across federated NSX sites.,NSX Global Manager policies and configurations.; Cross-site inventory objects.,Excluded from Fleet Management in VCF 9.1.,/var/log/auth.log (NSX appliance),Accepted password for root from; Failed password for root from; Accepted password for admin from; Failed password for admin from,/var/log/vmware/nsx/nsxd.log,Alert on repeated failed SSH authentication. Monitor for root/admin login events from unexpected source IPs. NSX syslog forwarding to SIEM is configurable under System > Fabric > Syslog.,session.create; session.destroy; user.create; user.delete; role.create; role.update,No (manual lifecycle)
NSX-GM-APP-002,Account,nsx-gm,NSX Global Manager,audit,N/A,Application,1,Read-only audit account for NSX Global Manager. Provides non-privileged access for security auditors and compliance teams to review NSX configuration without modification rights.,NOT managed by VCF Operations or SDDC Manager.; Manual rotation via NSX API.,No automated monitoring.,NSX Global Manager admin account.,Admin must manually rotate audit account password via NSX API.,NSX Global Manager UI.; NSX Global Manager REST API (read-only).,Password (local NSX account).,Read-only access to NSX Global Manager configuration and policy.; No write operations permitted.,NSX Global Manager inventory (read-only).,Audit account has read-only scope by design.,/var/log/auth.log (NSX appliance),Accepted password for root from; Failed password for root from; Accepted password for admin from; Failed password for admin from,/var/log/vmware/nsx/nsxd.log,Alert on repeated failed SSH authentication. Monitor for root/admin login events from unexpected source IPs. NSX syslog forwarding to SIEM is configurable under System > Fabric > Syslog.,session.create; session.destroy; user.create; user.delete; role.create; role.update,No (manual lifecycle)
NSX-SVC-001,Account,nsx-local-manager,NSX Local Manager,nsxt_<cm-uuid>,N/A,InterComponent,2,Service account created by vCenter Server for NSX Local Manager compute manager integration. Enables NSX Manager to access vCenter inventory.,Passwords generated directly by vCenter Server SSO. Rotates automatically over a 90-day interval.,vCenter Server manages the rotation lifecycle; NSX Manager retrieves updated credentials automatically.,vCenter Server SSO administrator,Automated by vCenter Server. No manual rotation needed.,Internal NSX Manager to vCenter SSO API (HTTPS port 443).,Password generated by vCenter Server.,"vCenter inventory read access for NSX, VM network configuration, compute manager sync.",vCenter inventory objects visible to NSX Manager.,Tier 2 inter-component. Managed by vCenter SSO.,/var/log/vmware/nsx/nsxd.log,"session.create, session.destroy, auth_token.create",/var/log/vmware/nsx/nsxd.log,Alert on repeated failed authentication from NSX to vCenter.,session.create; session.destroy; auth_token.create,No (platform-managed)
NSX-LM-INV-002,Account,nsx-lm,NSX Local Manager,cluster-boot-manager,N/A,K8s-ServiceAccount,3,NSX cluster initialization and boot management. Watches pod/job/statefulset resources to coordinate NSX platform startup sequence.,"K8s JWT (projected ServiceAccount token, auto-rotated).; Namespace-scoped Role, minimal permissions.","K8s token controller manages token rotation.; Pod identity bound at creation, cannot be changed at runtime.","cluster-admin, kube-system service accounts.",RoleBinding controls what this SA can do. Modify via kubectl as cluster-admin only.,Used internally by cluster-boot-manager pod. Not accessible externally.,Kubernetes JWT (projected token at /var/run/secrets/kubernetes.io/serviceaccount/).,pods: watch/get/list; jobs/status: watch/get/list; statefulsets: watch/get/list; podsecuritypolicies: use,"Namespace-scoped: pods, jobs, statefulsets within NSX namespace.",Namespace-scoped Role. No cluster-wide access.,Kubernetes API server audit log (kube-apiserver audit policy),"verb:""create"",""resource"":""serviceaccounts""; ""verb"":""get"",""resource"":""secrets""; ""responseStatus"":{""code"":403}",Kubernetes API server audit log,Alert on unexpected ClusterRole/RoleBinding creation or modification involving this ServiceAccount. Monitor for secrets access from unexpected pods or namespaces. Kubernetes audit policy should capture all 'get/list/watch' on secrets resources.,session.create; session.destroy; user.create; user.update; user.delete; user.activate; user.deactivate; user.clear; role.create; role.update; role.delete; auth_policy.update; auth_policy.clear; account.changepassword; account.create; account.delete; account.locked; authentication.login; authentication.logout; passwordpolicy.update,No (container-native)
NSX-LM-INV-003,Account,nsx-lm,NSX Local Manager,cm-inventory,N/A,K8s-ServiceAccount,3,NSX Compute Manager Inventory service. Manages deployment leadership election (leases) and monitors deployment status within the NSX namespace.,"K8s JWT (projected token, auto-rotated).; Namespace-scoped Role.",K8s token controller manages rotation.,cluster-admin.,RoleBinding in NSX namespace. Modify via kubectl as cluster-admin.,Internal pod use only. Not externally accessible.,Kubernetes JWT.,"deployments: list/get/watch; leases: * (all verbs, for leader election); podsecuritypolicies: use","NSX namespace deployments (read).; NSX namespace leases (write, leader election).",leases: * is broad but scoped to leader election objects only. Confirm no other Lease resources in namespace.,Kubernetes API server audit log (kube-apiserver audit policy),"verb:""create"",""resource"":""serviceaccounts""; ""verb"":""get"",""resource"":""secrets""; ""responseStatus"":{""code"":403}",Kubernetes API server audit log,Alert on unexpected ClusterRole/RoleBinding creation or modification involving this ServiceAccount. Monitor for secrets access from unexpected pods or namespaces. Kubernetes audit policy should capture all 'get/list/watch' on secrets resources.,session.create; session.destroy; user.create; user.update; user.delete; user.activate; user.deactivate; user.clear; role.create; role.update; role.delete; auth_policy.update; auth_policy.clear; account.changepassword; account.create; account.delete; account.locked; authentication.login; authentication.logout; passwordpolicy.update,No (container-native)
NSX-LM-INV-004,Account,nsx-lm,NSX Local Manager,mp-api-server,N/A,K8s-ServiceAccount,3,NSX Management Plane API Server. Minimal namespace-scoped permissions to list/watch deployments for status monitoring.,K8s JWT (projected token).; Namespace-scoped minimal Role.,Standard K8s token rotation.,cluster-admin.,Namespace-scoped RoleBinding.,Internal pod use only.,Kubernetes JWT.,deployments: list/get/watch; podsecuritypolicies: use,NSX namespace deployments (read only).,Minimal scope. Appropriate for deployment status checks.,Kubernetes API server audit log (kube-apiserver audit policy),"verb:""create"",""resource"":""serviceaccounts""; ""verb"":""get"",""resource"":""secrets""; ""responseStatus"":{""code"":403}",Kubernetes API server audit log,Alert on unexpected ClusterRole/RoleBinding creation or modification involving this ServiceAccount. Monitor for secrets access from unexpected pods or namespaces. Kubernetes audit policy should capture all 'get/list/watch' on secrets resources.,session.create; session.destroy; user.create; user.update; user.delete; user.activate; user.deactivate; user.clear; role.create; role.update; role.delete; auth_policy.update; auth_policy.clear; account.changepassword; account.create; account.delete; account.locked; authentication.login; authentication.logout; passwordpolicy.update,No (container-native)
NSX-LM-INV-005,Account,nsx-lm,NSX Local Manager,metrics-server,N/A,K8s-ServiceAccount,3,"Kubernetes Metrics Server. Provides resource utilization metrics (CPU/memory) for HPA, VPA, and kubectl top commands. Standard Kubernetes infrastructure component.","K8s JWT.; ClusterRole, standard Kubernetes Metrics Server RBAC (well-known, widely deployed).",Standard K8s token rotation.,cluster-admin.,ClusterRoleBinding. Cluster-wide read access is expected for this standard component.,Internal pod use only. Metrics API served at metrics.k8s.io.,Kubernetes JWT.,pods/nodes/nodes.stats/namespaces/configmaps: get/list/watch (cluster-wide),All pods and nodes cluster-wide (read-only metrics data).,Cluster-wide read is standard and expected for Kubernetes Metrics Server.,Kubernetes API server audit log (kube-apiserver audit policy),"verb:""create"",""resource"":""serviceaccounts""; ""verb"":""get"",""resource"":""secrets""; ""responseStatus"":{""code"":403}",Kubernetes API server audit log,Alert on unexpected ClusterRole/RoleBinding creation or modification involving this ServiceAccount. Monitor for secrets access from unexpected pods or namespaces. Kubernetes audit policy should capture all 'get/list/watch' on secrets resources.,session.create; session.destroy; user.create; user.update; user.delete; user.activate; user.deactivate; user.clear; role.create; role.update; role.delete; auth_policy.update; auth_policy.clear; account.changepassword; account.create; account.delete; account.locked; authentication.login; authentication.logout; passwordpolicy.update,No (container-native)
NSX-LM-INV-006,Account,nsx-lm,NSX Local Manager,appl-proxy,N/A,K8s-ServiceAccount,3,NSX Application Proxy service. Namespace-scoped permissions for proxy operation within the NSX deployment.,K8s JWT.; Namespace-scoped Role.,Standard K8s token rotation.,cluster-admin.,Namespace-scoped RoleBinding.,Internal pod use only.,Kubernetes JWT.,Namespace-scoped Role (exact verbs defined in Helm chart).,NSX namespace resources.,"Namespace-scoped, appropriate scope.",Kubernetes API server audit log (kube-apiserver audit policy),"verb:""create"",""resource"":""serviceaccounts""; ""verb"":""get"",""resource"":""secrets""; ""responseStatus"":{""code"":403}",Kubernetes API server audit log,Alert on unexpected ClusterRole/RoleBinding creation or modification involving this ServiceAccount. Monitor for secrets access from unexpected pods or namespaces. Kubernetes audit policy should capture all 'get/list/watch' on secrets resources.,session.create; session.destroy; user.create; user.update; user.delete; user.activate; user.deactivate; user.clear; role.create; role.update; role.delete; auth_policy.update; auth_policy.clear; account.changepassword; account.create; account.delete; account.locked; authentication.login; authentication.logout; passwordpolicy.update,No (container-native)
NSX-LM-INV-007,Account,nsx-lm,NSX Local Manager,async-replicator-service,N/A,K8s-ServiceAccount,3,NSX Asynchronous Replicator Service. Namespace-scoped permissions for async data replication operations.,K8s JWT.; Namespace-scoped Role.,Standard K8s token rotation.,cluster-admin.,Namespace-scoped RoleBinding.,Internal pod use only.,Kubernetes JWT.,Namespace-scoped Role.,NSX namespace resources.,"Namespace-scoped, appropriate scope.",Kubernetes API server audit log (kube-apiserver audit policy),"verb:""create"",""resource"":""serviceaccounts""; ""verb"":""get"",""resource"":""secrets""; ""responseStatus"":{""code"":403}",Kubernetes API server audit log,Alert on unexpected ClusterRole/RoleBinding creation or modification involving this ServiceAccount. Monitor for secrets access from unexpected pods or namespaces. Kubernetes audit policy should capture all 'get/list/watch' on secrets resources.,session.create; session.destroy; user.create; user.update; user.delete; user.activate; user.deactivate; user.clear; role.create; role.update; role.delete; auth_policy.update; auth_policy.clear; account.changepassword; account.create; account.delete; account.locked; authentication.login; authentication.logout; passwordpolicy.update,No (container-native)
NSX-LM-INV-008,Account,nsx-lm,NSX Local Manager,component-manager,N/A,K8s-ServiceAccount,3,"NSX FNS Component Manager. Manages Envoy Gateway, cert-manager, Gateway API, and RBAC for FNS (cloud/VCF-aaS) namespace. IMPORTANT: Has cluster-wide secrets read/write, deployed only in FNS (cloud) deployments, NOT in on-premises NSX installations.","K8s JWT.; ClusterRole, broad scope required for FNS multi-tenant orchestration.",Standard K8s token rotation.; Deploy-time validation that this ClusterRole is not active in on-premises NSX.,cluster-admin.,ClusterRoleBinding. Scoped to FNS deployments only. Namespace scoping or resourceNames restriction is recommended.,Internal pod use only (FNS deployment).,Kubernetes JWT.,"roles/rolebindings: get/list/create/update/patch/delete (cluster-wide); certificates/certificaterequests: get/list/create/update/patch/delete; clienttrafficpolicies, httproutes, gateways: get/list/create/update/patch/delete; secrets: get/list/watch/create/update/patch/delete (cluster-wide)",All K8s secrets cluster-wide (no resourceNames restriction).; RBAC roles and bindings cluster-wide.; cert-manager certificates cluster-wide.,"WARNING: secrets cluster-wide with no resourceNames restriction is broad. Assess namespace scoping. FNS deployments (cloud/VCF-aaS) only, confirm NOT deployed in on-premises NSX.",Kubernetes API server audit log (kube-apiserver audit policy),"verb:""create"",""resource"":""serviceaccounts""; ""verb"":""get"",""resource"":""secrets""; ""responseStatus"":{""code"":403}",Kubernetes API server audit log,Alert on unexpected ClusterRole/RoleBinding creation or modification involving this ServiceAccount. Monitor for secrets access from unexpected pods or namespaces. Kubernetes audit policy should capture all 'get/list/watch' on secrets resources.,session.create; session.destroy; user.create; user.update; user.delete; user.activate; user.deactivate; user.clear; role.create; role.update; role.delete; auth_policy.update; auth_policy.clear; account.changepassword; account.create; account.delete; account.locked; authentication.login; authentication.logout; passwordpolicy.update,No (container-native)
NSX-LM-INV-009,Account,nsx-lm,NSX Local Manager,contour,N/A,K8s-ServiceAccount,3,Contour Ingress Controller. Standard Kubernetes ingress controller (Project Contour) managing TLS termination and HTTP routing. Used in NSX FNS deployments.,"K8s JWT.; ClusterRole, standard Contour RBAC (publicly documented, well-known pattern).",Standard K8s token rotation.,cluster-admin.,ClusterRoleBinding. secrets: get/list/watch cluster-wide is required for TLS certificate management.,Internal pod use only.,Kubernetes JWT.,"secrets: get/list/watch (cluster-wide, for TLS certs); services/endpoints/namespaces/ingresses: get/list/watch; httproutes/gateways: get/list/watch",TLS secrets cluster-wide (read-only).; Kubernetes Ingress and Gateway API objects.,Standard Contour pattern. cluster-wide secrets read is expected and required for TLS termination.,Kubernetes API server audit log (kube-apiserver audit policy),"verb:""create"",""resource"":""serviceaccounts""; ""verb"":""get"",""resource"":""secrets""; ""responseStatus"":{""code"":403}",Kubernetes API server audit log,Alert on unexpected ClusterRole/RoleBinding creation or modification involving this ServiceAccount. Monitor for secrets access from unexpected pods or namespaces. Kubernetes audit policy should capture all 'get/list/watch' on secrets resources.,session.create; session.destroy; user.create; user.update; user.delete; user.activate; user.deactivate; user.clear; role.create; role.update; role.delete; auth_policy.update; auth_policy.clear; account.changepassword; account.create; account.delete; account.locked; authentication.login; authentication.logout; passwordpolicy.update,No (container-native)
NSX-LM-INV-010,Account,nsx-lm,NSX Local Manager,corfu-data-migration,N/A,K8s-ServiceAccount,3,CorfuDB Data Migration job. One-time or periodic migration job that performs namespace-scoped operations during NSX data store upgrades.,"K8s JWT.; Namespace-scoped Role, migration job.",Standard K8s token rotation.,cluster-admin.,Namespace-scoped RoleBinding.,Internal job pod use only.,Kubernetes JWT.,Namespace-scoped Role (migration operations).,NSX CorfuDB namespace resources.,"Migration job. Namespace-scoped, appropriate scope.",Kubernetes API server audit log (kube-apiserver audit policy),"verb:""create"",""resource"":""serviceaccounts""; ""verb"":""get"",""resource"":""secrets""; ""responseStatus"":{""code"":403}",Kubernetes API server audit log,Alert on unexpected ClusterRole/RoleBinding creation or modification involving this ServiceAccount. Monitor for secrets access from unexpected pods or namespaces. Kubernetes audit policy should capture all 'get/list/watch' on secrets resources.,session.create; session.destroy; user.create; user.update; user.delete; user.activate; user.deactivate; user.clear; role.create; role.update; role.delete; auth_policy.update; auth_policy.clear; account.changepassword; account.create; account.delete; account.locked; authentication.login; authentication.logout; passwordpolicy.update,No (container-native)
NSX-LM-SEC-001,Object,nsx-lm,NSX Local Manager,"vidm.clientid.admin, vidm.clientsecret.admin, vidm.clientid.user, vidm.clientsecret.user",N/A,OAuth2 client credentials,,"VIDM (VMware Identity Manager) OAuth2 client credentials for NSX SSO integration. Dynamic credentials: injected at deployment time via proxy.postinst script. No hardcoded values in source, written as empty placeholder keys at install time.",Runtime-injected via proxy.postinst into /etc/vmware/proxy/vidm.properties.; No hardcoded credentials in source code.,,,,Accessed by: NSX proxy and API layer for VIDM SSO integration,"OAuth2 client credentials flow (admin and user client_id/client_secret).; Credentials injected at install time, post-deployment only.",OAuth2 token exchange for admin and user roles,Connects to: VIDM (VMware Identity Manager),,/var/log/auth.log (NSX appliance),Accepted password for; Failed password for,/var/log/vmware/nsx/nsxd.log,Monitor for auth failures and unexpected source IPs. Alert on lockouts.,session.create; session.destroy; user.create; user.update; user.delete; user.activate; user.deactivate; user.clear; role.create; role.update; role.delete; auth_policy.update; auth_policy.clear; account.changepassword; account.create; account.delete; account.locked; authentication.login; authentication.logout; passwordpolicy.update,Not applicable
NSX-LM-APP-003,Account,nsx-lm,NSX Local Manager,phonehome-coordinator,N/A,Application,2,"CEIP (Customer Experience Improvement Program) opt-in configuration default. CEIP is enabled by default, customers must explicitly opt out during NSX deployment.",Credential stored in: No hardcoded credentials; uses PH SDK with runtime-sourced config (telemetry-info.json),,,,Accessed by: NSX Manager phonehome-coordinator,Runtime-injected credential (deployment-time),CEIP data upload (opt-in; telemetry.ceip.default=true),Connects to: VMware PH (phonehome) upload service via com.vmware.ph.client.api.impl.PhClientBuilder,,,,,,session.create; session.destroy; user.create; user.update; user.delete; user.activate; user.deactivate; user.clear; role.create; role.update; role.delete; auth_policy.update; auth_policy.clear; account.changepassword; account.create; account.delete; account.locked; authentication.login; authentication.logout; passwordpolicy.update,No (platform-managed)
NSX-LM-OS-001,Account,nsx-lm,NSX Local Manager,root,0,OS,1,Primary OS administrative account for the NSX Local Manager appliance. Used for SSH access and appliance-level OS operations. Managed by VCF Operations Fleet Management Engine.,Password managed by VCF Operations Fleet Management Engine (stateless passthrough).; CyberArk vault integration supported in VCF 9.1.; Password rotation enforced via VCF Operations Fleet Management API.,"VCF Operations monitors account status: ACTIVE, EXPIRING, EXPIRED, UNKNOWN.; Fleet Password Policy compliance tracked: COMPLIANT, NON_COMPLIANT, FAILED.","VCF Operations admin, CyberArk vault administrator.","Password rotation via VCF Operations Fleet Management API. Administrators must NOT modify root locally, bypasses fleet management and causes lifecycle operation failures.","SSH (port 22), requires direct network access to NSX management network.",Password authentication (managed by VCF Operations / CyberArk).,Full NSX Local Manager appliance OS administrative control.; Service management (start/stop/restart NSX processes).; Certificate and configuration file management.,All NSX Local Manager appliance file system paths.; NSX service processes and configuration files.,Tier 1 account. Full lifecycle automation per Section 2 OOTB Integration Matrix.,/var/log/auth.log (NSX appliance OS),Accepted password for root; Failed password for root,VCF Operations audit log,Monitor for authentication failures and logins from unexpected source IPs.,session.create; session.destroy; user.create; user.update; user.delete; user.activate; user.deactivate; user.clear; role.create; role.update; role.delete; auth_policy.update; auth_policy.clear; account.changepassword; account.create; account.delete; account.locked; authentication.login; authentication.logout; passwordpolicy.update,Yes
NSX-LM-APP-001,Account,nsx-lm,NSX Local Manager,admin,N/A,Application,1,"Primary application-level administrative account for NSX Local Manager. Used for NSX Manager UI login, NSX REST API access, and configuration management. Managed by VCF Operations Fleet Management Engine.",Password managed by VCF Operations Fleet Management Engine (stateless passthrough).; CyberArk vault integration supported in VCF 9.1.; Multi-factor authentication configurable via LDAP/vIDM integration.,"VCF Operations monitors account status: ACTIVE, EXPIRING, EXPIRED, UNKNOWN.; Fleet Password Policy compliance tracked.","VCF Operations admin, NSX Global Manager admin (for federated deployments).",Password rotation via VCF Operations Fleet Management API. Direct local modification breaks orchestration layer.,NSX Manager UI (HTTPS port 443).; NSX REST API (HTTPS port 443).; NSX Local Manager CLI.,Password authentication.; Certificate-based authentication (configurable).; LDAP/vIDM SSO integration (configurable).,"Full NSX Local Manager application administrative control.; Network topology management (segments, gateways, firewall rules).; Certificate and identity management.; Cluster configuration and health operations.","NSX segments, gateways, distributed firewall rules.; Transport zones, profiles, and host configuration.; Certificates and credentials within NSX.",Tier 1 account. Full lifecycle automation per Section 2 OOTB Integration Matrix.,/var/log/vmware/nsx-manager/supervisord.log,authentication_success; authentication_failure,NSX audit log: GET /api/v1/node/users,Monitor NSX audit log for unexpected privilege escalation or configuration changes.,session.create; session.destroy; user.create; user.update; user.delete; user.activate; user.deactivate; user.clear; role.create; role.update; role.delete; auth_policy.update; auth_policy.clear; account.changepassword; account.create; account.delete; account.locked; authentication.login; authentication.logout; passwordpolicy.update,Yes
NSX-LM-APP-002,Account,nsx-lm,NSX Local Manager,audit,N/A,Application,1,Read-only audit account for NSX Local Manager. Provides non-privileged access for security monitoring and compliance log review. Cannot modify configuration. Managed by VCF Operations Fleet Management Engine.,Password managed by VCF Operations Fleet Management Engine.; Read-only privileges enforced at NSX application layer.; Cannot execute write or configuration operations.,VCF Operations monitors account status.,VCF Operations admin.,Password rotation via VCF Operations Fleet Management API.,"NSX Manager UI (HTTPS port 443), read-only views.; NSX REST API (HTTPS port 443), GET requests only.",Password authentication.,"Read-only access to NSX configuration, logs, and status.",NSX configuration objects (read-only).; NSX audit logs and health status.,"Tier 1 account. Read-only; no write, modify, or delete capabilities.",/var/log/vmware/nsx-manager/supervisord.log,authentication_success; authentication_failure,NSX audit log,Alert on any attempt by this account to perform write operations (403 Forbidden).,session.create; session.destroy; user.create; user.update; user.delete; user.activate; user.deactivate; user.clear; role.create; role.update; role.delete; auth_policy.update; auth_policy.clear; account.changepassword; account.create; account.delete; account.locked; authentication.login; authentication.logout; passwordpolicy.update,Yes
