SCG ID,"Secure Controls
Framework ID",DISA STIG ID,PCI DSS 4.0.1 ID,"Component
Name",Component Version,Feature/Function,Description/Title,Discussion,Potential Functional Impact if Default Value is Changed,"Implementation
Priority",Configuration Parameter,Installation Default Value,Baseline Suggested Value,Is the Default?,Action Needed,Setting Location,PowerCLI Command Assessment,PowerCLI Command Remediation
esx-9.network-standard-reject-promiscuous-mode,"NET-04
NET-03",VCFE-9X-000221,1.4.5,ESX,9.0.0,Standard Switch,All standard switches and their port groups must be configured to reject guest promiscuous mode requests.,"When promiscuous mode is enabled for a port group, all virtual machines connected to that port group have the potential to read all packets transmitted across that port group, regardless of the intended recipient.

It is important to consider the potential impact and design considerations before changing the default value of promiscuous mode.","Certain workloads and types of work, such as DHCP servers, network devices, and security monitoring, incorporate these techniques as a regular part of their operation. If necessary, it is advisable to create a distinct port group that allows this behavior, ensuring that only authorized virtual machines are associated with it.","P0
Upon Feature Enablement",N/A,Reject,Reject,YES,Audit,Virtual Switch Settings,"Get-VMHost -Name $ESX | Get-VirtualSwitch -Standard | Get-SecurityPolicy | select VirtualSwitch,AllowPromiscuous
Get-VMHost -Name $ESX | Get-VirtualPortGroup -Standard | Get-SecurityPolicy | select VirtualPortGroup,AllowPromiscuous","Get-VMHost -Name $ESX | Get-VirtualSwitch -Standard | Get-SecurityPolicy | Set-SecurityPolicy -AllowPromiscuous $false
Get-VMHost -Name $ESX | Get-VirtualPortGroup -Standard | Get-SecurityPolicy | Set-SecurityPolicy -AllowPromiscuousInherited $true"
esx-9.network-vgt,"NET-04.1
NET-06",VCFE-9X-000223,1.4.2,ESX,9.0.0,Base,The ESX host must restrict the use of Virtual Guest Tagging (VGT) on Standard Switches.,"When a port group is set to VLAN 4095, the vSwitch passes all network frames to the attached virtual machines (VMs) without modifying the VLAN tags. In vSphere, this is referred to as VGT. The VM must process the VLAN information itself via an 802.1Q driver in the operating system.

VLAN 4095 must only be implemented if the attached VMs have been specifically authorized and are capable of managing VLAN tags themselves. If VLAN 4095 is enabled inappropriately, it may cause denial of service or allow a VM to interact with traffic on an unauthorized VLAN.",None.,P2,N/A,Not VLAN 4095,Not VLAN 4095,YES,Audit,ESX Port Group Configuration,"Get-VMHost -Name $ESX | Get-VirtualPortGroup -Standard | select Name,VlanID","Get-VMHost -Name $ESX | Get-VirtualPortGroup -Standard -Name $PG| Set-VirtualPortGroup -VlanID ""<new VLAN>"""
esx-9.nfs-encryption,CRY-03,N/A,"3.3.2
3.3.3
3.5.1",ESX,9.0.0,"Active Directory
NFS",Enable data-in-transit encryption protections for NFS datastores when hosts are joined to Active Directory.,"ESX 9 and later supports the krb5, krb5i, and krb5p NFS mount options on ESX hosts that are joined to an Active Directory domain. These mount options instruct NFS to use Kerberos for authentication, data integrity, and privacy.

As with all encryption and security controls there are tradeoffs, namely performance and complexity. When encrypting storage traffic the hosts and storage array will use more CPU and I/O capacity, and likely experience lower throughput and higher latency (how much of each is generically unquantifiable and will depend on the type of workload, type and amount of I/O, hardware capabilities, and more).

Additionally, joining ESX to an Active Directory domain exposes the host to attack vectors through Active Directory, and blurs the lines between the storage and virtualization systems in ways that increase risk and the chance for attackers to move laterally between those systems. There is also the additional dependency on Active Directory, complicating system restarts, and even forming dependency loops if Active Directory domain controllers are hosted inside the virtual environment itself.

Traditional compensating controls for NFS data-in-transit encryption involve fabric isolation, and ESX 8 and newer provide better ways to directly control which vmkernel interface is used for NFS traffic in support of this.","Performance, availability, and security. See the discussion.","P2
Upon Feature Enablement",N/A,Not Configured,Configured,NO,Modify if Feature in Use,Datastore NFS Mount Options,N/A,N/A
esx-9.password-complexity,IAC-10.1,VCFE-9X-000035,"8.3.1
8.3.6",ESX,9.0.0,Base,The ESX host must enforce password complexity by configuring a password quality policy.,"Based on recommendations such as NIST 800-63B Section 5.1.1.2, it is suggested that composition rules, such as mandating mixtures of character classes, should not be enforced on systems as they often fail to enhance password security and discourage the adoption of more secure passphrases.

Password strength and complexity rules are applicable to all ESX users, including the root user. However, when the ESX host is joined to a domain, these rules do not apply to Active Directory (AD) users as password policies for AD users are enforced by the AD system.",Other products and services within the VMware ecosystem may not expect changes to password complexity requirements and may fail installation.,P0,Security.PasswordQualityControl,""" random=0 retry=3 min=disabled,disabled,disabled,7,7""","""random=0 similar=deny retry=3 min=disabled,disabled,disabled,disabled,15""",NO,Modify,"ESX Advanced
System Settings",Get-VMHost -Name $ESX | Get-AdvancedSetting Security.PasswordQualityControl,"Get-VMHost -Name $ESX | Get-AdvancedSetting Security.PasswordQualityControl | Set-AdvancedSetting -Value ""similar=deny retry=3 min=disabled,disabled,disabled,disabled,15 max=64"""
esx-9.password-max-age,IAC-10.1,VCFE-9X-000042,8.3.9,ESX,9.0.0,Base,The ESX host must be configured with an appropriate maximum password age.,"Modern best practices for passwords, as outlined in NIST 800-63B Section 5.1.1.2 and other relevant guidance, state that enforcing periodic password changes does not enhance security when passwords already possess adequate entropy.",vSphere UIs may not permit this to be set without providing an email address for an alert. Use PowerCLI or provide an email address (to receive email you will need to configure an SMTP server in vCenter Server),P2,Security.PasswordMaxDays,99999,99999,YES,Audit,"ESX Advanced
System Settings",Get-VMHost -Name $ESX | Get-AdvancedSetting Security.PasswordMaxDays,Get-VMHost -Name $ESX | Get-AdvancedSetting Security.PasswordMaxDays | Set-AdvancedSetting -Value 9999
esx-9.secureboot,END-04.6,VCFE-9X-000082,5.2.3,ESX,9.0.0,Base,The ESX host must enable Secure Boot.,"Secure Boot is part of the UEFI firmware standard. With UEFI Secure Boot enabled, a host refuses to load any UEFI driver or app unless the operating system bootloader has a valid digital signature. Secure Boot for ESX requires support from the firmware and it requires that all ESX kernel modules, drivers, and VIBs be signed by VMware or a partner subordinate. Secure Boot is enabled in the BIOS of the ESX physical server and supported by the hypervisor boot loader.","Use of UEFI Secure Boot will interfere with %firstboot stanzas in automated ESX installations, as that script is not properly signed. Workarounds include moving the configuration to external post-install scripts, or enabling Secure Boot after the installation is complete (which can often be automated on server platforms using out-of-band management controller APIs).",P0,N/A,False,True,NO,Modify,ESX Shell,"(Get-VMHost -Name $ESX | Get-View).Capability.UefiSecureBoot

This check is available beginning with PowerCLI 13.3.",N/A (Enable in hardware firmware settings)
esx-9.secureboot-enforcement,"END-04.6
IAC-12.1",VCFE-9X-000082,5.2.3,ESX,9.0.0,Base,The ESX host must enable TPM-based Secure Boot enforcement.,"The TPM-based nature of VMware ESX Secure Boot Enforcement enhances security beyond standard Secure Boot. It uses a hardware TPM chip to store and verify cryptographic measurements of the entire boot process, from UEFI firmware to the ESX kernel. This creates a hardware-backed root of trust, making it much harder for attackers to tamper with the boot sequence undetected. Unlike normal Secure Boot, which only checks digital signatures, TPM-based enforcement ensures the integrity of the complete boot chain and enables advanced features like remote attestation for verifying host trustworthiness. This control flips ESX from merely supporting Secure Boot to requiring it. Without this setting enabled, and configuration encryption, an ESX host could be subject to offline attacks. An attacker could simply transfer the ESX install drive to a non-Secure Boot host and boot it up without ESX complaining.",Use of UEFI Secure Boot and TPM-enforced Configuration Encryption render traditional root password recovery efforts unusable. Ensure that you do not lose access to administrator accounts on ESX.,P2,N/A,TRUE,TRUE,YES,Audit,esxcli,"$ESXcli = Get-EsxCli -VMHost $ESX -V2
$ESXcli.system.settings.encryption.get.Invoke() | Select RequireSecureBoot","$ESXcli = Get-EsxCli -VMHost $ESX -V2
$arguments = $ESXcli.system.settings.encryption.set.CreateArgs()
$arguments.requiresecureboot = $true
$ESXcli.system.settings.encryption.set.Invoke($arguments)"
esx-9.session-timeout,IAC-25,VCFE-9X-000010,8.2.8,ESX,9.0.0,Base,VMware Cloud Foundation components must enforce a session timeout after a specified period of inactivity.,"This practice helps mitigate potential security risks by ensuring that unattended sessions, which could be exploited by unauthorized users or malicious software, are not left open indefinitely.",None.,P2,UserVars.HostClientSessionTimeout,900,900,YES,Audit,"ESX Advanced
System Settings",Get-VMHost -Name $ESX | Get-AdvancedSetting UserVars.HostClientSessionTimeout,Get-VMHost -Name $ESX | Get-AdvancedSetting UserVars.HostClientSessionTimeout | Set-AdvancedSetting -Value 900
esx-9.shell-interactive-timeout,IAC-25,VCFE-9X-000066,8.2.8,ESX,9.0.0,Base,Configure the inactivity timeout to automatically terminate idle ESX host shells.,"If a user forgets to log out of their SSH session, the idle connection will remain open indefinitely, increasing the potential for someone to gain privileged access to the host.",None.,P0,UserVars.ESXShellInteractiveTimeOut,0,900,NO,Modify,"ESX Advanced
System Settings",Get-VMHost -Name $ESX | Get-AdvancedSetting UserVars.ESXShellInteractiveTimeOut,Get-VMHost -Name $ESX | Get-AdvancedSetting UserVars.ESXShellInteractiveTimeOut | Set-AdvancedSetting -Value 900
esx-9.shell-timeout,IAC-25,VCFE-9X-000200,8.2.8,ESX,9.0.0,Base,Set a timeout to limit how long the ESX Shell and SSH services are allowed to run.,The ESXShellTimeOut defines a window of time after which the ESX Shell and SSH services will automatically be terminated.,None.,P0,UserVars.ESXShellTimeOut,0,600,NO,Modify,"ESX Advanced
System Settings",Get-VMHost -Name $ESX | Get-AdvancedSetting UserVars.ESXShellTimeOut,Get-VMHost -Name $ESX | Get-AdvancedSetting UserVars.ESXShellTimeOut | Set-AdvancedSetting -Value 600
esx-9.shell-warning,"END-04.7
MON-01.4",VCFE-9X-000224,2.2.6,ESX,9.0.0,Base,The ESX host must not suppress warnings that the ESX shell is enabled.,"Warnings indicating that SSH or the ESX Shell is enabled can be clues that an attack is in progress. It is important to ensure that SSH and the ESX Shell are deactivated, and that this variable is not set.",None.,P2,UserVars.SuppressShellWarning,0,0,YES,Audit,"ESX Advanced
System Settings",Get-VMHost -Name $ESX | Get-AdvancedSetting UserVars.SuppressShellWarning,Get-VMHost -Name $ESX | Get-AdvancedSetting UserVars.SuppressShellWarning | Set-AdvancedSetting -Value 0
esx-9.snmp,CFG-03,VCFE-9X-000215,"2.2.4
2.2.5",ESX,9.0.0,Base,The component must disable SNMP version 1 and 2.,Services which are not in use and are not essential for operations should be deactivated.,Attempts to use older versions of SNMP will fail.,P0,N/A,"Stopped,
Start and stop with host","Stopped,
Start and stop manually",NO,Modify,ESX Services Configuration,"Get-VMHostService -VMHost $ESX | Where-Object {$_.Key -eq 'snmpd' -and $_.Running -eq 'True'}
Get-VMHostService -VMHost $ESX | Where-Object {$_.Key -eq 'snmpd' -and $_.Policy -eq 'On'}","Get-VMHostService -VMHost $ESX | where {$_.Key -eq 'snmpd'} | Set-VMHostService -Policy Off
Get-VMHostService -VMHost $ESX | where {$_.Key -eq 'snmpd'} | Stop-VMHostService"
esx-9.ssh,CFG-03,VCFE-9X-000096,2.2.4,ESX,9.0.0,Base,The component must deactivate SSH.,Services which are not in use and are not essential for operations should be deactivated.,None.,P2,N/A,"Stopped,
Start and stop manually","Stopped,
Start and stop manually",YES,Audit,ESX Services Configuration,"Get-VMHostService -VMHost $ESX | Where-Object {$_.Key -eq 'TSM-SSH' -and $_.Running -eq 'True'}
Get-VMHostService -VMHost $ESX | Where-Object {$_.Key -eq 'TSM-SSH' -and $_.Policy -eq 'On'}","Get-VMHostService -VMHost $ESX | where {$_.Key -eq 'TSM-SSH'} | Set-VMHostService -Policy Off
Get-VMHostService -VMHost $ESX | where {$_.Key -eq 'TSM-SSH'} | Stop-VMHostService"
esx-9.ssh-configuration,"CRY-01
IAC-25","VCFE-9X-000206
VCFE-9X-000207
VCFE-9X-000208
VCFE-9X-000209
VCFE-9X-000210
VCFE-9X-000211
VCFE-9X-000212
VCFE-9X-000213
VCFE-9X-000214","8.2.8
8.3.2",ESX,9.0.0,SSH,The ESX host SSH daemon must be configured securely.,"OpenSSH on the ESX host ships with a FIPS 140-2/140-3 validated cryptographic module, and it is enabled by default. For backward compatibility reasons, this can be deactivated. Therefore, this setting must be audited and corrected if necessary.

Other parameters are set securely, but can be changed, so must be audited.",None.,P2,N/A,Configured,Configured,YES,Audit,N/A,"$ESXcli = Get-EsxCli -VMHost $ESX -V2
$ESXcli.system.ssh.server.config.list.Invoke()","$ESXcli = Get-EsxCli -VMHost $ESX -V2

# AllowStreamLocalForwarding
$arguments = $esxcli.system.ssh.server.config.set.CreateArgs()
$arguments.keyword = 'allowstreamlocalforwarding'
$arguments.value = 'no'
$esxcli.system.ssh.server.config.set.Invoke($arguments)

# AllowTcpForwarding
$arguments = $esxcli.system.ssh.server.config.set.CreateArgs()
$arguments.keyword = 'allowtcpforwarding'
$arguments.value = 'no'
$esxcli.system.ssh.server.config.set.Invoke($arguments)

# Banner
$arguments = $esxcli.system.ssh.server.config.set.CreateArgs()
$arguments.keyword = 'banner'
$arguments.value = '/etc/issue'
$esxcli.system.ssh.server.config.set.Invoke($arguments)

# ChallengeResponseAuthentication
$arguments = $esxcli.system.ssh.server.config.set.CreateArgs()
$arguments.keyword = 'challengeresponseauthentication'
$arguments.value = 'yes'
$esxcli.system.ssh.server.config.set.Invoke($arguments)

# Ciphers
$arguments = $esxcli.system.ssh.server.config.set.CreateArgs()
$arguments.keyword = 'ciphers'
$arguments.value = 'aes256-gcm@openssh.com,aes128-gcm@openssh.com,aes256-ctr,aes192-ctr,aes128-ctr'
$esxcli.system.ssh.server.config.set.Invoke($arguments)

# ClientAliveCountMax
$arguments = $esxcli.system.ssh.server.config.set.CreateArgs()
$arguments.keyword = 'clientalivecountmax'
$arguments.value = '3'
$esxcli.system.ssh.server.config.set.Invoke($arguments)

# ClientAliveInterval
$arguments = $esxcli.system.ssh.server.config.set.CreateArgs()
$arguments.keyword = 'clientaliveinterval'
$arguments.value = '200'
$esxcli.system.ssh.server.config.set.Invoke($arguments)

# FipsMode
$arguments = $esxcli.system.ssh.server.config.set.CreateArgs()
$arguments.keyword = 'fipsmode'
$arguments.value = 'yes'
$esxcli.system.ssh.server.config.set.Invoke($arguments)

# GatewayPorts
$arguments = $esxcli.system.ssh.server.config.set.CreateArgs()
$arguments.keyword = 'gatewayports'
$arguments.value = 'no'
$esxcli.system.ssh.server.config.set.Invoke($arguments)

# HostBasedAuthentication
$arguments = $esxcli.system.ssh.server.config.set.CreateArgs()
$arguments.keyword = 'hostbasedauthentication'
$arguments.value = 'no'
$esxcli.system.ssh.server.config.set.Invoke($arguments)

# HostKeyAlgorithms
$arguments = $esxcli.system.ssh.server.config.set.CreateArgs()
$arguments.keyword = 'hostkeyalgorithms'
$arguments.value = 'ecdsa-sha2-nistp256,ecdsa-sha2-nistp384,ecdsa-sha2-nistp521,rsa-sha2-256,rsa-sha2-512'
$esxcli.system.ssh.server.config.set.Invoke($arguments)

# IgnoreRhosts
$arguments = $esxcli.system.ssh.server.config.set.CreateArgs()
$arguments.keyword = 'ignorerhosts'
$arguments.value = 'yes'
$esxcli.system.ssh.server.config.set.Invoke($arguments)

# KexAlgorithms
$arguments = $esxcli.system.ssh.server.config.set.CreateArgs()
$arguments.keyword = 'kexalgorithms'
$arguments.value = 'ecdh-sha2-nistp256,ecdh-sha2-nistp384,ecdh-sha2-nistp521,diffie-hellman-group-exchange-sha256'
$esxcli.system.ssh.server.config.set.Invoke($arguments)

# LogLevel
$arguments = $esxcli.system.ssh.server.config.set.CreateArgs()
$arguments.keyword = 'loglevel'
$arguments.value = 'info'
$esxcli.system.ssh.server.config.set.Invoke($arguments)

# MACs
$arguments = $esxcli.system.ssh.server.config.set.CreateArgs()
$arguments.keyword = 'macs'
$arguments.value = 'hmac-sha2-256,hmac-sha2-512'
$esxcli.system.ssh.server.config.set.Invoke($arguments)

# MaxStartups
$arguments = $esxcli.system.ssh.server.config.set.CreateArgs()
$arguments.keyword = 'maxstartups'
$arguments.value = '10:30:100'
$esxcli.system.ssh.server.config.set.Invoke($arguments)

# PermitRootLogin
$arguments = $esxcli.system.ssh.server.config.set.CreateArgs()
$arguments.keyword = 'permitrootlogin'
$arguments.value = 'yes'
$esxcli.system.ssh.server.config.set.Invoke($arguments)

# PermitTunnel
$arguments = $esxcli.system.ssh.server.config.set.CreateArgs()
$arguments.keyword = 'permittunnel'
$arguments.value = 'no'
$esxcli.system.ssh.server.config.set.Invoke($arguments)

# PermitUserEnvironment
$arguments = $esxcli.system.ssh.server.config.set.CreateArgs()
$arguments.keyword = 'permituserenvironment'
$arguments.value = 'no'
$esxcli.system.ssh.server.config.set.Invoke($arguments)

# PrintMotd
$arguments = $esxcli.system.ssh.server.config.set.CreateArgs()
$arguments.keyword = 'printmotd'
$arguments.value = 'yes'
$esxcli.system.ssh.server.config.set.Invoke($arguments)

# RekeyLimit
$arguments = $esxcli.system.ssh.server.config.set.CreateArgs()
$arguments.keyword = 'rekeylimit'
$arguments.value = '1G, 1H'
$esxcli.system.ssh.server.config.set.Invoke($arguments)

# SyslogFacility
$arguments = $esxcli.system.ssh.server.config.set.CreateArgs()
$arguments.keyword = 'syslogfacility'
$arguments.value = 'auth'
$esxcli.system.ssh.server.config.set.Invoke($arguments)

# TCPKeepAlive
$arguments = $esxcli.system.ssh.server.config.set.CreateArgs()
$arguments.keyword = 'tcpkeepalive'
$arguments.value = 'yes'
$esxcli.system.ssh.server.config.set.Invoke($arguments)

# UsePAM
$arguments = $esxcli.system.ssh.server.config.set.CreateArgs()
$arguments.keyword = 'usepam'
$arguments.value = 'yes'
$esxcli.system.ssh.server.config.set.Invoke($arguments)"
esx-9.supported,"VPM-01
VPM-04",N/A,6.3.3,ESX,9.0.0,Base,ESX host is running software that has not reached End of General Support status.,Ensure that ESX is a version that has not reached the End of General Support status.,"Always read release notes, test, and deploy using staged rollouts.",P0,N/A,N/A,N/A,YES,Audit,Compare ESX build numbers to latest available version on customerconnect.vmware.com,"Get-VMHost -Name $ESX | Select-Object Name,Version,Build",N/A
esx-9.time,"MON-07.1
SEA-20",VCFE-9X-000121,"10.6.1
10.6.2",ESX,9.0.0,Base,The component must synchronize its clock with organizational reference sources.,"Cryptography, audit logging, cluster operations, and incident response/forensics require synchronized time across environments. The recommended practice for NTP is to have at least four sources. It is not advisable to have only two sources; one source is preferable to having two (Segal's Law: a person with one watch always knows what time it is, a person with two is never sure).

Configure all components to use the global standard time zone, UTC.

NTP uses UDP to communicate, which, if allowed generically, can open a path for attackers to exfiltrate data during a breach. Ensure that perimeter firewall rules allowing communication to NTP servers are specific. ",None.,P0,N/A,Undefined,Site-Specific,NO,Modify,ESX Services Configuration,"Get-VMHostService -VMHost $ESX | Where-Object{$_.Key -eq ""ntpd""}","Get-VMHostService -VMHost $ESX -ErrorAction:Stop | Where-Object{$_.Key -eq ""ntpd""} | Set-VMHostService -policy ""on"" -Confirm:$false
Get-VMHostService -VMHost $ESX -ErrorAction:Stop | Where-Object{$_.Key -eq ""ntpd""} | Restart-VMHostService -Confirm:$false"
esx-9.tls-ciphers,"CRY-03
CRY-01",VCFE-9X-000014,"2.2.7
4.2.1
8.3.2",ESX,9.0.0,Base,"The component must maintain confidentiality and integrity of transmissions by ensuring the use of approved, modern, replay-resistent ciphers.","In ESX 8.0.3 and newer, TLS profiles are available to configure client and server TLS settings to use only strong ciphers.

You can view the entire cipher list and suites using:

$ESXcli = Get-EsxCli -VMHost $ESX -V2
$arguments = $ESXcli.system.tls.server.get.CreateArgs()
$arguments.showprofiledefaults = $true
$arguments.showcurrentbootprofile = $true
$ESXcli.system.tls.server.get.invoke($arguments)

The host will require a reboot after setting this parameter (and will display in the vSphere Client with the suffix of ""(Reboot Required).""","Changes to cipher suites impact connectivity with other components and external systems, and may require a restart of the component to implement.",P0,N/A,COMPATIBLE,NIST_2024,NO,Modify,esxcli,"$ESXcli = Get-EsxCli -VMHost $ESX -V2
$ESXcli.system.tls.server.get.invoke() | Select-Object -ExpandProperty Profile","$ESXcli = Get-EsxCli -VMHost $ESX -V2
$arguments = $ESXcli.system.tls.server.set.CreateArgs()
$arguments.profile = ""NIST_2024""
$ESXcli.system.tls.server.set.invoke($arguments)"
esx-9.tpm-configuration,"CRY-05
END-04.6",VCFE-9X-000193,5.2.3,ESX,9.0.0,Base,The ESX host must require TPM-based configuration encryption.,"An ESX host's configuration consists of configuration files for each service that runs on the host. The configuration files typically reside in the /etc/ directory, but they can also reside in other namespaces. The configuration files contain run-time information about the state of the services. Over time, the default values in the configuration files might change, for example, when settings on the ESX host are changed.

A cron job backs up the ESX configuration files periodically, when ESX shuts down gracefully or on demand, and creates an archived configuration file in the boot bank. When ESX reboots, it reads the archived configuration file and recreates the state that ESX was in when the backup was taken.

Before vSphere 7.0 Update 2, the archived ESX configuration file is not encrypted. In vSphere 7.0 Update 2 and later, the archived configuration file is encrypted. When the ESX host is configured with a Trusted Platform Module (TPM), the TPM is used to ""seal"" the configuration to the host, providing a strong security guarantee and additional protection from offline attacks.

Configuration encryption uses the physical TPM when it is available and supported at install or upgrade time. If the TPM was added or enabled later, the ESX host must be told to reconfigure to use the newly available TPM. Once the TPM configuration encryption is enabled, it cannot be deactivated.",Use of Secure Boot and TPM-enforced Configuration Encryption render traditional root password recovery efforts unusable. Ensure that you do not lose access to administrator accounts on ESX.,P0,N/A,Site-Specific,TPM,YES,Audit,ESX Shell,"$ESXcli = Get-EsxCli -VMHost $ESX -V2
$ESXcli.system.settings.encryption.get.Invoke() | Select Mode","$ESXcli = Get-EsxCli -VMHost $ESX -V2
$arguments = $ESXcli.system.settings.encryption.set.CreateArgs()
$arguments.mode = ""TPM""
$ESXcli.system.settings.encryption.set.Invoke($arguments)"
esx-9.tpm-trusted-binaries,END-04.6,VCFE-9X-000229,5.2.3,ESX,9.0.0,TPM,"The ESX host must enable ""execInstalledOnly"" enforcement for configuration encryption.","The ""execInstalledOnly"" advanced ESX boot option, when enabled, helps protect your hosts against ransomware attacks by ensuring that the VMkernel executes only those binaries on a host that have been properly packaged and signed as part of a valid VIB. While this option is effective on its own, it can be further enhanced by telling the Secure Boot to check with the TPM to make sure that the boot process does not proceed unless this setting is enabled. This further protects against malicious offline changes to ESX configuration to disable the ""execInstalledOnly"" option.",Use of Secure Boot and TPM-enforced Configuration Encryption render traditional root password recovery efforts unusable. Ensure that you do not lose access to administrator accounts on ESX.,P2,N/A,TRUE,TRUE,YES,Audit,esxcli,"$ESXcli = Get-EsxCli -VMHost $ESX -V2
$ESXcli.system.settings.encryption.get.Invoke() | Select RequireExecutablesOnlyFromInstalledVIBs","$ESXcli = Get-EsxCli -VMHost $ESX -V2
$arguments = $ESXcli.system.settings.encryption.set.CreateArgs()
$arguments.requireexecinstalledonly = $true
$ESXcli.system.settings.encryption.set.Invoke($arguments)"
esx-9.transparent-page-sharing,SEA-03,VCFE-9X-000064,2.2.6,ESX,9.0.0,Base,The ESX host must restrict inter-VM transparent page sharing to VMs configured with sched.mem.pshare.salt.,"Transparent Page Sharing (TPS) is a method used to reduce the memory usage of virtual machines. However, under specific conditions, it can potentially be exploited to gain unauthorized access to data on neighboring virtual machines.

Virtual machines that do not have the sched.mem.pshare.salt option set are unable to share memory with any other virtual machines, providing an additional layer of isolation and security.",None.,P2,Mem.ShareForceSalting,2,2,YES,Audit,"ESX Advanced
System Settings",Get-VMHost -Name $ESX | Get-AdvancedSetting Mem.ShareForceSalting,Get-VMHost -Name $ESX | Get-AdvancedSetting Mem.ShareForceSalting | Set-AdvancedSetting -Value 2
esx-9.updates,VPM-05,N/A,6.3.3,ESX,9.0.0,Base,ESX host has all software updates installed.,"By keeping ESX patches up to date, vulnerabilities in the hypervisor can be mitigated. It is important to note that educated attackers can exploit known vulnerabilities when attempting to gain unauthorized access or elevate privileges on an ESX host.

When applying updates, it is recommended to update vCenter Server first, if an update is available, and then proceed with updating ESX. This sequence ensures that the management layer is updated before updating the ESX hosts.",vSphere Update releases add and change functionality; Patch releases only resolve issues.,P0,N/A,Downlevel,Current,NO,Modify,Compare ESX build numbers to latest available version on customerconnect.vmware.com,"Get-VMHost -Name $ESX | Select-Object Name,Version,Build",N/A
esx-9.vib-acceptance-level-supported,"TDA-01.2
END-04.6",VCFE-9X-000130,5.2.3,ESX,9.0.0,Base,The ESX host image profile acceptance level must be PartnerSupported or higher.,"The acceptance level in ESX controls what can be installed on the system. There are four levels: VMwareCertified, VMwareAccepted, PartnerSupported, and CommunitySupported.

It is important to note that CommunitySupported VIBs (vSphere Installation Bundles) have not undergone testing by VMware or a VMware partner, and they do not have a digital signature. It is considered risky to install CommunitySupported VIBs as their reliability and security cannot be guaranteed.",CommunitySupported packages are unsigned and will not be able to be installed.,P2,N/A,PartnerSupported,PartnerSupported or Higher,YES,Audit,ESX Security Profile,(Get-EsxCli -VMHost $ESX -V2).software.acceptance.get.Invoke(),"$ESXcli = Get-EsxCli -VMHost $ESX -V2
$arguments = $ESXcli.software.acceptance.set.CreateArgs()
$arguments.level = ""PartnerSupported"" # VMwareCertified, VMwareAccepted, PartnerSupported, CommunitySupported
$ESXcli.software.acceptance.set.Invoke($arguments)"
esx-9.vib-trusted-binaries,END-04.6,VCFE-9X-000228,5.2.3,ESX,9.0.0,Base,Only run binaries delivered via signed VIB.,"ESX conducts integrity checks of ""vSphere Installable Bundles"" or VIBs, governed by the Acceptance Level (see below). Instructing ESX to only execute binaries that originated from a valid VIB installed on the host makes it harder for attackers to use prebuilt toolkits.",Third-party unsigned software may not install or execute.,P2,VMkernel.Boot.execInstalledOnly,TRUE,TRUE,YES,Audit,"ESX Advanced
System Settings",Get-VMHost -Name $ESX | Get-AdvancedSetting VMkernel.Boot.execInstalledOnly,Get-VMHost -Name $ESX | Get-AdvancedSetting VMkernel.Boot.execInstalledOnly | Set-AdvancedSetting -Value True
esx-9.vmk-management,"NET-06
NET-04.1",VCFE-9X-000203,1.4.2,ESX,9.0.0,Base,The ESX host must isolate management communications.,"VMkernel network interfaces that are intended for specialized use can be configured with management capabilities, which may defeat network isolation and security efforts. Ensure that only vmk interfaces intended for management have management services enabled.

Ensure that all management interfaces configured for virtualization components are on a network segment (VLAN, etc.) dedicated only to virtualization management, free of workloads and unrelated systems, and controlled with perimeter security controls such that only authorized vSphere Administrators can access those interfaces from authorized workstations.

Some system designs put vCenter Server and other management tools on their own network segments, isolated from ESX, thinking that it offers them better monitoring of those systems. Others put vCenter Server in with ESX management as well because of the relationship between the two products and the possibility of firewall configuration errors or outages disrupting service. Whichever you choose, do so thoughtfully.",Some third-party managed solutions may require this.,P2,N/A,Site-Specific,Site-Specific,YES,Audit,ESX VMkernel Adapters,"Get-VMHostNetworkAdapter -VMHost $ESX -VMKernel | Select VMHost,Name,IP,ManagementTrafficEnabled",Get-VMHostNetworkAdapter -VMHost $ESX -Name $vmkernel_interface | Set-VMHostNetworkAdapter -ManagementTrafficEnabled $false
esx-9.vmk-storage,"CRY-03
NET-06",VCFE-9X-000204,1.4.2,ESX,9.0.0,Base,The ESX host must protect the confidentiality and integrity of transmitted storage traffic.,"As with many security controls there is a tradeoff with performance, so care should be taken to monitor storage latency and performance as data-in-transit encryption is enabled. Organizations that do not or can not enable data-in-transit encryption should isolate the network traffic to a dedicated network segment with appropriate perimeter controls. Isolation to a dedicated network segment with appropriate perimeter controls can be an effective compensating control and add defense-in-depth..

vSAN features data-in-transit encryption which can maintain confidentiality as vSAN nodes communicate. 

Use of krb5p mount options for NFS v4.1 datastores ensures confidentiality. 

LUN masking on the storage controller and SAN zoning help ensure that storage traffic is not visible to unauthorized hosts and that unauthorized hosts cannot mount the datastores, bypassing other security controls.",See discussion.,P0,N/A,Not Configured,Configured,NO,Modify,N/A,"Get-VMHostNetworkAdapter -VMHost $ESX -VMKernel | Select VMHost,Name,IP,VsanTrafficEnabled",Get-VMHostNetworkAdapter -VMHost $ESX -Name $vmkernel_interface | Set-VMHostNetworkAdapter -VsanTrafficEnabled $false
