SCG ID,Secure Controls Framework ID,DISA STIG ID,PCI DSS 4.0.1 ID,NIST 800-53R5 ID,Component Name,Component Version,Feature/Function,Description/Title,Discussion,Potential Functional Impact if Default Value is Changed,Implementation Priority,Configuration Parameter,Installation Default Value,Baseline Suggested Value,Is the Default?,Action Needed,Setting Location,PowerCLI Command Assessment,PowerCLI Command Remediation
esx-9.iscsi-mutual-chap,"IAC-30, IAC-04",VCFE-9X-000138,8.3.2,"IA-03, IA-03(01)",ESX,9.1.0,iSCSI,Enable bidirectional/mutual CHAP authentication for iSCSI traffic.,"CHAP (Challenge-Handshake Authentication Protocol) authenticates iSCSI sessions between the initiator (the ESX host) and the target (the storage array). One-way CHAP has only the initiator prove its identity; mutual CHAP requires both ends to authenticate to each other, which prevents an attacker that controls the network path from impersonating either side during session setup. CHAP authenticates the endpoints but does not encrypt the payload; iSCSI traffic remains in cleartext unless separately protected by network isolation or IPsec. For high-sensitivity storage, also isolate iSCSI traffic onto a dedicated VLAN or use IPsec to provide confidentiality.","Both the ESX initiator and the storage target must support mutual CHAP and be configured with matching credential pairs. Misconfiguration on either side causes the iSCSI session to fail to establish, taking the affected datastores offline. Use a credential-rotation procedure that updates both ends in a maintenance window. Leaving CHAP at the default (none or one-way) lets an attacker on the iSCSI network spoof either side during session setup and gain access to storage or redirect host I/O.","P0, Upon Feature Enablement","Set iSCSI storage adapter authentication to ""Use bidirectional CHAP"" and supply credentials",Not Configured,Enabled,NO,Modify,UI: ESX iSCSI Configuration,"Get-VMHost -Name $ESX | Get-VMHostHba | Where-Object {$_.Type -eq ""Iscsi""} | Select-Object VMHost, Device, ChapType, @{N=""CHAPName"";E={$_.AuthenticationProperties.ChapName}}","Get-VMHost -Name $ESX | Get-VMHostHba | Where-Object {$_.Type -eq ""Iscsi""} | Set-VMHostHba <parameters>"
esx-9.key-persistence,CRY-09,VCFE-9X-000236,3.6.1,SC-28(03),ESX,9.1.0,TPM,Disable Key Persistence on ESX hosts that do not have controlled physical access.,"Key Persistence is a mechanism that caches encryption keys (which would normally be retrieved on demand from an external Key Management System, or KMS) inside the host's encrypted configuration. The encrypted host configuration's own decryption key is sealed by the local Trusted Platform Module (TPM), so it can be decrypted only when the host boots into its expected state. While this setup improves availability (the host can decrypt workloads even when the KMS is unreachable), it changes the encryption risks. The TPM-sealing protects against tampering with the boot chain but not against an attacker who physically removes the host and boots it normally. Under those conditions the TPM unseals the configuration as designed, releasing the cached keys. Therefore, Key Persistence should be used only when the physical security of the hosts is assured.
Key Persistence and Native Key Provider are often conflated because both store encryption data on hosts. However, the Native Key Provider does not use Key Persistence, so turning off Key Persistence won't affect it. Like Key Persistence, the Native Key Provider also requires careful consideration of physical security.","Leaving Key Persistence disabled is the safer default and matches the typical environment using an external Key Management System. Enabling Key Persistence lets the host cache encryption keys locally so it can decrypt workloads without contacting the KMS, useful when the KMS may be unreachable at boot. In environments where an attacker could physically remove a host from the data center, Key Persistence lets the stolen host decrypt the workloads it carried.","P2, Upon Feature Enablement",N/A,false,false,YES,Audit,Shell: esxcli,"$ESXcli = Get-EsxCli -VMHost $ESX -V2
$ESXcli.system.security.keypersistence.get.Invoke() | Select-Object -ExpandProperty Enabled","$ESXcli = Get-EsxCli -VMHost $ESX -V2
$arguments = $ESXcli.system.security.keypersistence.disable.CreateArgs()
$arguments.removeallstoredkeys = $true
$ESXcli.system.security.keypersistence.disable.Invoke($arguments)"
esx-9.lockdown-dcui-access,"IAC-21, END-15",VCFE-9X-000181,7.2.2,"AC-06, SA-08(14)",ESX,9.1.0,Base,Maintain the DCUI.Access list for administrative recovery if Lockdown Mode isolates the host.,"Lockdown Mode restricts direct host access so that administrators manage the host through vCenter rather than directly. If a host becomes isolated from vCenter while Lockdown Mode is in effect, normal administrative access is blocked. The ""DCUI.Access"" advanced setting lists the local user accounts that can still log in at the Direct Console User Interface (DCUI) to recover the host in that scenario. Keep this list current so that named operators have a break-glass path to recover an isolated host. The root account cannot be removed from the list, and a separate ESX Shell exception list controls shell access independently. This setting has no effect when the host is in strict lockdown mode, where the DCUI itself is disabled.","Misconfiguring the DCUI.Access list while Lockdown Mode is enabled can leave the host unrecoverable if vCenter is unreachable. Before enabling Lockdown Mode, verify the host is registered with vCenter and that DCUI.Access (and the ESX Shell exception list, if shell recovery is also needed) contains accounts that can be used to recover an isolated host. Note that DCUI.Access is ineffective in strict lockdown mode, where the DCUI itself is disabled.",P2,DCUI.Access,root,root,YES,Audit,UI: ESX Advanced System Settings,Get-VMHost -Name $ESX | Get-AdvancedSetting DCUI.Access,Get-VMHost -Name $ESX | Get-AdvancedSetting DCUI.Access | Set-AdvancedSetting -Value root
esx-9.lockdown-exception-users,IAC-21,VCFE-9X-000205,7.2.2,"AC-06, SA-08(14)",ESX,9.1.0,Base,Keep the Lockdown Mode Exception Users list to the minimum necessary.,"Lockdown Mode restricts direct host access so that administrators manage the host through vCenter rather than directly. Users on the Exception Users list keep their permissions across the lockdown transition. This is typically used for service accounts such as backup agents or monitoring tools that must continue to authenticate to the host directly even while interactive admin access is restricted. Every account on the list is a deliberate exception to Lockdown Mode, so keep the list minimal: review it periodically and remove entries that no longer have a use. Exception Users and DCUI.Access serve different purposes: Exception Users keep API-level permissions, while DCUI.Access, a separate setting, lists local accounts that can log in at the physical console if the host is isolated from vCenter.","Adding accounts to the Exception Users list extends their privileges through Lockdown Mode, weakening the protection lockdown is meant to provide. Use only for service accounts with a documented operational need; remove entries when the corresponding service is decommissioned. Misconfiguring exception lists or forgetting an essential service account before enabling Lockdown Mode can break automated workflows that depend on direct host access.",P2,N/A,Null,Null,YES,Audit,UI: ESX Security Profile,(Get-View (Get-VMHost -Name $ESX | Get-View).ConfigManager.HostAccessManager).QueryLockdownExceptions(),(Get-View (Get-VMHost -Name $ESX | Get-View).ConfigManager.HostAccessManager).UpdateLockdownExceptions($null)
esx-9.lockdown-mode,"END-15, IAC-20",VCFE-9X-000008,2.2.4,"AC-03, AC-06",ESX,9.1.0,Base,The ESX host must enable Lockdown Mode.,"Enabling Lockdown Mode deactivates direct access to an ESX host so that administration goes through vCenter rather than to the host directly. With direct access blocked, the vCenter roles and access controls cannot be bypassed by logging in to the host, and host-side actions remain auditable through vCenter's audit trail. Some operations, such as backup integrations and low-level troubleshooting, require direct host access; for those, deactivate Lockdown Mode temporarily on the affected host and re-enable it when the task is complete. Before enabling Lockdown Mode, verify the host is registered with vCenter and that the DCUI.Access and Exception Users lists are configured for the operators and service accounts that need a path to the host while lockdown is in effect.",Enabling Lockdown Mode blocks direct access to the host for everyone except accounts on the Exception Users list and the DCUI.Access list. Verify those lists are configured before turning on Lockdown Mode; an incomplete list combined with a vCenter outage can leave the host unreachable. Leaving Lockdown Mode disabled means any operator with host credentials can bypass vCenter's role and audit controls by logging in directly.,P0,N/A,lockdownDisabled,lockdownNormal,NO,Modify,UI: ESX Security Profile,(Get-View (Get-VMHost -Name $ESX | Get-View).ConfigManager.HostAccessManager).LockdownMode,(Get-View (Get-VMHost -Name $ESX | Get-View).ConfigManager.HostAccessManager).ChangeLockdownMode('lockdownNormal')
esx-9.log-audit-forwarding,MON-02,VCFE-9X-000111,"10.2.1, 10.3.3","AU-06, SI-04",ESX,9.1.0,Base,The ESX host must transmit audit records to a remote host.,"ESX maintains an audit log of security-relevant events, including authentication attempts, privilege escalations, and configuration changes. By default this log is kept only on the host. Enabling ""Syslog.global.auditRecord.remoteEnable"" forwards each audit record to the configured remote syslog destination as it is written, so the same events are available off the host to a central log collector. Without forwarding, an attacker who compromises the host can tamper with or delete local audit records to hide their tracks, and the records also become unavailable for investigation if the host itself is lost or unreachable.","Enabling remote audit-record forwarding sends the same audit events to the central syslog target the host already uses; no workload impact. Leaving forwarding disabled keeps the only copy of the audit log on the host, where an attacker with sufficient access can modify or delete it, and where it is lost along with the host if the host itself is compromised, destroyed, or replaced.",P0,Syslog.global.auditRecord.remoteEnable,FALSE,TRUE,NO,Modify,UI: ESX Advanced System Settings,Get-VMHost -Name $ESX | Get-AdvancedSetting Syslog.global.auditRecord.remoteEnable,Get-VMHost -Name $ESX | Get-AdvancedSetting Syslog.global.auditRecord.remoteEnable | Set-AdvancedSetting -Value TRUE
esx-9.log-audit-local,MON-03,VCFE-9X-000198,10.2.1,AU-03,ESX,9.1.0,Base,The ESX host must enable audit record logging.,"ESX maintains an audit log of security-relevant events, including authentication attempts, privilege escalations, and configuration changes. Enabling ""Syslog.global.auditRecord.storageEnable"" writes those records to local storage on the host so they are persisted between reboots and available for inspection from the ESX shell or via the ""/bin/viewAudit"" utility. Local audit storage and remote syslog forwarding are complementary: local storage keeps a record on the host even when the network or syslog target is unreachable, while remote forwarding keeps a copy off the host where an attacker with access to the host cannot tamper with it. Both should be enabled.","Enabling local audit-record storage uses host disk space for the audit log. Without local storage enabled, audit records are not persisted on the host, so operators cannot inspect them on the host for troubleshooting, and forensic data is unavailable on-box during an incident.",P0,Syslog.global.auditRecord.storageEnable,FALSE,TRUE,NO,Modify,UI: ESX Advanced System Settings,Get-VMHost -Name $ESX | Get-AdvancedSetting Syslog.global.auditRecord.storageEnable,Get-VMHost -Name $ESX | Get-AdvancedSetting Syslog.global.auditRecord.storageEnable | Set-AdvancedSetting -Value TRUE
esx-9.log-audit-local-capacity,"MON-04, MON-10",VCFE-9X-000110,10.5.1,"AU-04, AU-11",ESX,9.1.0,Base,The ESX host must store audit records for a time period consistent with your records retention policy.,"ESX writes its audit log to local storage on the host. The ""Syslog.global.auditRecord.storageCapacity"" setting controls how much storage is reserved for that log. Where remote syslog forwarding is also enabled, local capacity acts as a buffer: if the remote target becomes unreachable, records accumulate locally and are available once the remote target recovers. Size the local capacity to hold the expected backlog for the longest plausible outage of the remote target so that audit records are not lost before they can be forwarded.",Increasing the local audit storage capacity uses host disk space but does not affect workloads. A capacity smaller than the typical backlog during a remote-syslog outage can result in audit records being lost when local storage fills before the remote target becomes reachable again.,P1,Syslog.global.auditRecord.storageCapacity,4,100,NO,Modify,UI: ESX Advanced System Settings,Get-VMHost -Name $ESX | Get-AdvancedSetting Syslog.global.auditRecord.storageCapacity,Get-VMHost -Name $ESX | Get-AdvancedSetting Syslog.global.auditRecord.storageCapacity | Set-AdvancedSetting -Value 100
esx-9.log-audit-persistent,"MON-08, MON-10",VCFE-9X-000202,10.5.1,"AU-09, AU-11",ESX,9.1.0,Base,Configure a persistent log location for all locally stored audit records on the ESX host.,"ESX can be configured to store audit records on an in-memory file system. This occurs when the host's ""/scratch"" directory is linked to ""/tmp/scratch"". When this is done only a single day's worth of records are stored at any time. In addition audit records will be reinitialized upon each reboot. This presents a security risk as user activity logged on the host is only stored temporarily and will not persist across reboots. This can also complicate auditing and make it harder to monitor events and diagnose issues. ESX host audit record logging should always be configured to a persistent datastore.

You can detect if the scratch volume is temporary or persistent by querying the ""ScratchConfig.CurrentScratchLocation"" advanced parameter. If, when queried, it returns ""/tmp/scratch"" then the volume is temporary and you should remap the audit record storage to a persistent device.

Cannot be a vSAN datastore. If your only local, non-vSAN storage is SD or USB media (which can become unreliable with repeated writes from logs) you might consider leaving the logs in the ramdisk and ensuring that a remote logging host is configured instead. Document the decision and rationale in preparation for future audits.","Routing audit records to a persistent datastore uses host disk space but is the only way to keep records across reboots. If the only available non-vSAN persistent storage is SD or USB media, repeated log writes may shorten its lifespan; leaving logs in the ramdisk and enabling remote syslog forwarding is preferable in that case. Without either persistent local storage or remote forwarding, audit records are lost on every reboot and unavailable for post-incident investigation.",P0,"ScratchConfig.CurrentScratchLocation, Syslog.global.auditRecord.storageDirectory","Depends on boot device, [] /scratch/auditLog",Persistent Storage Location,NO,Modify,UI: ESX Advanced System Settings,"$ESXcli = Get-EsxCli -VMHost $ESX -V2
$ESXcli.system.syslog.config.get.Invoke() | Select-Object LocalLogOutput,LocalLogOutputIsPersistent

If your LocalLogOutput is set to a directory in /scratch, and LocalLogOutputIsPersistent is true, that means your boot device is of a type and size that makes /scratch persistent. Verify that your audit storage is also on /scratch, and that /scratch points to a VMFS datastore:

Get-VMHost -Name $ESX | Get-AdvancedSetting ScratchConfig.CurrentScratchLocation
Get-VMHost -Name $ESX | Get-AdvancedSetting Syslog.global.auditRecord.storageDirectory","Get-VMHost -Name $ESX | Get-AdvancedSetting Syslog.global.auditRecord.storageDirectory | Set-AdvancedSetting -Value ""<persistent location>/audit"""
esx-9.log-filter,"MON-03, MON-08",VCFE-9X-000235,10.2.1,"AU-03, AU-09",ESX,9.1.0,Base,The ESX host must not enable log filtering.,"ESX provides a log filtering feature that lets administrators define rules to suppress specific log entries or to limit how often repetitive entries are recorded. While this can reduce log volume, it also removes events from the audit trail that security operations and incident response teams may need. Keep log filtering disabled so all events generated by ESX services reach the log targets unmodified.","Keeping log filtering disabled has no operational impact on workloads; all ESX log events flow to the configured local and remote log targets. Enabling log filtering can drop or rate-limit events that operators and incident responders would otherwise see in the logs, including security-relevant events.",P2,N/A,false,false,YES,Audit,UI: ESX Advanced System Settings,"$ESXcli = Get-EsxCli -VMHost $ESX -V2
$ESXcli.system.syslog.config.logfilter.get.Invoke() | Select-Object -ExpandProperty LogFilteringEnabled","$ESXcli = Get-EsxCli -VMHost $ESX -V2
$arguments = $ESXcli.system.syslog.config.logfilter.set.CreateArgs()
$arguments.logfilteringenabled = $false
$ESXcli.system.syslog.config.logfilter.set.Invoke($arguments)"
esx-9.log-forwarding,"MON-02, MON-13",VCFA-9X-000141,10.3.3,"AU-06, SI-04",ESX,9.1.0,Base,The ESX host must forward system and audit logs to a remote log collection point.,"By gathering host log files onto a central host, you can more easily monitor all hosts using a single tool. You can also perform aggregate analysis and searching to identify coordinated attacks on multiple hosts. Logging to a secure and centralized log server helps prevent log tampering by attackers with access to a single host and keeps audit records available off the host for long-term retention.","Configuring a remote log destination sends each ESX log message to the syslog server in addition to writing it locally; no workload impact. Without a remote log destination, ESX logs live only on the host, where an attacker with sufficient access can modify or delete them and where they are lost along with the host if the host is compromised, destroyed, or replaced.",P0,Syslog.global.logHost,Undefined,Site-Specific Log Server,NO,Modify,UI: ESX Advanced System Settings,Get-VMHost -Name $ESX | Get-AdvancedSetting Syslog.global.logHost,"Get-VMHost -Name $ESX | Get-AdvancedSetting Syslog.global.logHost | Set-AdvancedSetting -Value ""<log collector>"""
esx-9.log-forwarding-tls-ciphers,"IAC-10.2, CRY-03",N/A,2.2.7,"SC-08, SC-08(01)",ESX,9.1.0,Base,The ESX host must verify certificates for TLS remote logging endpoints.,"When ESX forwards logs to a remote syslog endpoint over TLS, the ""Syslog.global.certificate.checkSSLCerts"" setting controls whether ESX validates the certificate presented by that endpoint. With certificate checking enabled, ESX confirms the certificate is signed by a trusted certificate authority, matches the configured hostname, and has not expired. Without it, ESX accepts any TLS server's certificate, including a self-signed one presented by an attacker who has positioned themselves on the network between the host and the syslog target.",Certificate validation has no operational impact when the syslog endpoint presents a properly issued certificate. Validation will fail if the syslog server presents a self-signed certificate or a certificate signed by a CA the host does not trust; resolve by issuing a properly signed certificate or adding the CA to the host's trust store. Disabling validation removes that check and lets an attacker on the network path between the host and the syslog target intercept or modify forwarded logs by presenting any TLS certificate.,P2,Syslog.global.certificate.checkSSLCerts,TRUE,TRUE,YES,Audit,UI: ESX Advanced System Settings,Get-VMHost -Name $ESX | Get-AdvancedSetting Syslog.global.certificate.checkSSLCerts,Get-VMHost -Name $ESX | Get-AdvancedSetting Syslog.global.certificate.checkSSLCerts | Set-AdvancedSetting -Value TRUE
esx-9.log-forwarding-tls-x509,IAC-10.2,VCFE-9X-000230,2.2.7,IA-05(02),ESX,9.1.0,Base,The ESX host must use strict x509 verification for TLS-enabled remote logging endpoints.,"With basic certificate verification enabled (controlled by ""Syslog.global.certificate.checkSSLCerts""), ESX confirms a TLS syslog endpoint's certificate chains to a trusted CA, matches the hostname, and is unexpired. Strict x509 mode adds further checks defined by RFC 5280, including verification of certificate extensions, basic constraints on intermediate CAs, and key usage requirements. Enabling strict mode reduces the risk that a malformed or misissued certificate is accepted by ESX during syslog forwarding.","Enabling strict x509 mode adds certificate-extension checks during the TLS handshake to the syslog server; if the server's certificate or any CA in its chain has been issued in a non-compliant way, the connection will be refused. Resolve by reissuing a compliant certificate. Leaving strict mode disabled keeps ESX accepting certificates that meet basic verification only, including some that contain extension errors a strict client would catch.",P0,Syslog.global.certificate.strictX509Compliance,FALSE,TRUE,NO,Modify,UI: ESX Advanced System Settings,Get-VMHost -Name $ESX | Get-AdvancedSetting Syslog.global.certificate.strictX509Compliance,Get-VMHost -Name $ESX | Get-AdvancedSetting Syslog.global.certificate.strictX509Compliance | Set-AdvancedSetting -Value TRUE
esx-9.log-level,MON-03,VCFE-9X-000015,10.2.1,AU-03,ESX,9.1.0,Base,The ESX host must produce audit records containing information to establish what type of events occurred.,"The ""Config.HostAgent.log.level"" setting controls the verbosity of events that the ESX host daemon (hostd) records to its log. At the default ""info"" level, hostd records errors, warnings, and informational events including configuration changes, service starts and stops, user actions, and other operational events relevant to incident investigation. Reducing the level to ""warning"" or ""error"" suppresses informational events and removes context that incident responders may need; raising it to ""verbose"" or higher captures internal diagnostic output that is usually only needed for support cases and generates significantly more log volume.","Keeping the default log level has no impact on workloads. Lowering the level to ""warning"" or ""error"" reduces log volume but also drops informational events that operators rely on during troubleshooting and incident investigation. Raising the level to ""verbose"" or higher generates significantly more output and can fill log storage faster than the operations team expects.",P2,Config.HostAgent.log.level,info,info,YES,Audit,UI: ESX Advanced System Settings,Get-VMHost -Name $ESX | Get-AdvancedSetting Config.HostAgent.log.level,Get-VMHost -Name $ESX | Get-AdvancedSetting Config.HostAgent.log.level | Set-AdvancedSetting -Value info
esx-9.log-persistent,"MON-08, MON-10",VCFE-9X-000202,10.5.1,"AU-09, AU-11",ESX,9.1.0,Base,Configure a persistent log location for all locally stored logs on the ESX host.,"ESX can be configured to store log files on an in-memory file system. This occurs when the host's ""/scratch"" directory is linked to ""/tmp/scratch"". When this is done, only a single day's worth of logs is stored at any time, and log files are reinitialized upon each reboot. This presents a security risk: user activity logged on the host is only stored temporarily and will not persist across reboots. It can also complicate auditing and make it harder to monitor events and diagnose issues. Configure ESX host logging to a persistent datastore.

You can detect if the scratch volume is temporary or persistent by querying the ""ScratchConfig.CurrentScratchLocation"" advanced parameter. If, when queried, it returns ""/tmp/scratch"" then the volume is temporary and you should remap the log storage to a persistent device.

Cannot be a vSAN datastore unless ""Syslog.global.vsanBacking"" is set, which has caveats and dependencies. If your only local, non-vSAN storage is SD or USB media (which can become unreliable with repeated writes from logs) you might consider leaving the logs in the ramdisk and ensuring that a remote logging host is configured instead. Document the decision and rationale in preparation for future audits.","Routing logs to a persistent datastore uses host disk space but is the only way to keep logs across reboots. If the only available non-vSAN persistent storage is SD or USB media, repeated log writes may shorten its lifespan; leaving logs in the ramdisk and enabling remote syslog forwarding is preferable in that case. Without either persistent local storage or remote forwarding, logs are lost on every reboot and unavailable for post-incident investigation.",P0,"LocalLogOutputIsPersistent, ScratchConfig.CurrentScratchLocation, Syslog.global.logDir","Depends on boot device, [] /scratch/log",Persistent Storage Location,NO,Modify,UI: ESX Advanced System Settings,"$ESXcli = Get-EsxCli -VMHost $ESX -V2
$ESXcli.system.syslog.config.get.Invoke() | Select-Object LocalLogOutput,LocalLogOutputIsPersistent

If your LocalLogOutput is set to a directory in /scratch, and LocalLogOutputIsPersistent is true, that means your boot device is of a type and size that makes /scratch persistent. Verify that your log storage is also on /scratch, and that /scratch points to a VMFS datastore:

Get-VMHost -Name $ESX | Get-AdvancedSetting ScratchConfig.CurrentScratchLocation
Get-VMHost -Name $ESX | Get-AdvancedSetting Syslog.global.logDir","Get-VMHost -Name $ESX | Get-AdvancedSetting Syslog.global.logDir | Set-AdvancedSetting -Value ""<persistent location>""
"
esx-9.login-message,SEA-18,VCFE-9X-000006,2.2.6,AC-08,ESX,9.1.0,Base,Configure the ESX host login banner for the DCUI and Host Client.,"The ""Annotations.WelcomeMessage"" advanced setting holds the text shown on the ESX Direct Console User Interface (DCUI) and Host Client login screens. The banner is a pre-authentication legal notice that communicates terms of use and any monitoring policy in effect; it does not enforce or block anything technically. Many organizations have specific legal text that must appear on management interfaces.","Setting the banner replaces the default DCUI welcome screen, which normally displays the host's IP address and the F2/F12 key hints. Operators relying on those hints will need a documented alternative such as a runbook. The banner has no impact on workloads or remote management.",P1,Annotations.WelcomeMessage,Undefined,"Consult your organization's legal advisors for text that is applicable to your environment.

An example is: ""Authorized users only. Actual or attempted unauthorized use of this system is prohibited and may result in criminal, civil, security, or administrative proceedings and/or penalties. Use of this information system indicates consent to monitoring and recording, without notice or permission. Users have no expectation of privacy in any use of this system. Any information stored on, or transiting this system, or obtained by monitoring and/or recording, may be disclosed to law enforcement and/or used in accordance with Federal law, State statute, and organization policy. If you are not an authorized user of this system, exit the system at this time.""",NO,Modify,UI: ESX Advanced System Settings,Get-VMHost -Name $ESX | Get-AdvancedSetting Annotations.WelcomeMessage,"Get-VMHost -Name $ESX | Get-AdvancedSetting Annotations.WelcomeMessage | Set-AdvancedSetting -Value ""Authorized users only. Actual or attempted unauthorized use of this system is prohibited and may result in criminal, civil, security, or administrative proceedings and/or penalties. Use of this information system indicates consent to monitoring and recording, without notice or permission. Users have no expectation of privacy in any use of this system. Any information stored on, or transiting this system, or obtained by monitoring and/or recording, may be disclosed to law enforcement and/or used in accordance with Federal law, State statute, and organization policy. If you are not an authorized user of this system, exit the system at this time."""
esx-9.memeagerzero,SEA-05,VCFE-9X-000225,3.6.1,SC-04,ESX,9.1.0,Base,The ESX host must enable volatile key destruction.,"By default, ESX zeroes out pages allocated for virtual machines (VMs), userspace applications, and kernel threads at the time of allocation. This means no non-zero pages are exposed to VMs or userspace applications, preventing the exposure of cryptographic keys from VMs or userworlds to other clients.

However, if memory is not reused, these keys can remain present in host memory for an extended period. To address this, MemEagerZero can be configured to enforce the zeroing out of userworld and guest memory pages when a userworld process or guest exits. For kernel threads, memory spaces holding keys are zeroed out as soon as the secret is no longer required.","Enabling volatile key destruction adds shutdown time for virtual machines and userworld processes, proportional to the memory they had allocated. Leaving the setting disabled means that pages freed by a VM or process retain their contents until the host reuses them, which can leave cryptographic keys readable in host memory for an extended period after the workload that generated them has exited.",P0,Mem.MemEagerZero,0,1,NO,Modify,UI: ESX Advanced System Settings,Get-VMHost -Name $ESX | Get-AdvancedSetting Mem.MemEagerZero,Get-VMHost -Name $ESX | Get-AdvancedSetting Mem.MemEagerZero | Set-AdvancedSetting -Value 1
esx-9.memory-tiering-encryption,CRY-05,N/A,3.5.1,"SC-28, SC-28(01)",ESX,9.1.0,Memory Tiering,The ESX host should encrypt data written to tiered memory devices.,"Memory tiering lets ESX extend host memory by using NVMe flash as a slower tier behind DRAM; VM memory pages are transparently moved between tiers based on access patterns. Pages tiered to NVMe are written to persistent storage on the flash device, where they can survive a host reboot or remain readable if the NVMe device is removed. Setting ""Mem.EncryptTierNvme"" to 1 encrypts those tiered pages at rest. The encryption uses an ephemeral key that is never stored, and the feature is compatible with all other VCF operations including vMotion. Flash memory is difficult to sanitize reliably at end of life, so either encrypt the tiered memory data or plan to securely sanitize or destroy the tiering device when it is decommissioned.","Encrypting tiered memory has a CPU and potential storage-latency cost on hosts using memory tiering; the actual impact depends on the underlying hardware and the workload's tiering pressure. Leaving tiered memory unencrypted means VM data written to the NVMe flash device is readable in cleartext if the device is removed, repurposed, or lost without being thoroughly sanitized.",P0,Mem.EncryptTierNvme,0,1,NO,Modify,UI: ESX Advanced System Settings,Get-VMHost -Name $ESX | Get-AdvancedSetting Mem.EncryptTierNvme,Get-VMHost -Name $ESX | Get-AdvancedSetting Mem.EncryptTierNvme | Set-AdvancedSetting -Value 1
esx-9.network-bpdu,"NET-04, NET-02.1",VCFE-9X-000218,2.2.6,"AC-04, SC-05",ESX,9.1.0,Base,Enable the Bridge Protocol Data Unit (BPDU) filter on the ESX host.,"BPDUs (Bridge Protocol Data Units) are used to transmit Spanning Tree Protocol (STP) information and detect network loops. BPDU Guard and Portfast are commonly enabled on the physical switch directly connected to the ESX host to reduce spanning tree convergence delay.

However, if a BPDU packet is sent from a virtual machine on the ESX host to the configured physical switch, it can result in a cascading lockout of all uplink interfaces from the ESX host. To prevent this type of lockout, BPDU Filter can be enabled on the ESX host to drop any BPDU packets being sent to the physical switch.

Standard and Distributed Virtual Switches do not support STP and do not generate BPDUs themselves; the filter is specifically for BPDU packets originating from guest VM traffic.","Some network-oriented workloads can legitimately generate BPDU packets. The administrator should verify that there are no legitimate BPDU packets generated by virtual machines on the ESX host prior to enabling BPDU Filter. If BPDU Filter is enabled in this situation, enabling Reject Forged Transmits on the virtual switch port group adds protection against Spanning Tree loops.",P2,Net.BlockGuestBPDU,1,1,YES,Audit,UI: ESX Advanced System Settings,Get-VMHost -Name $ESX | Get-AdvancedSetting Net.BlockGuestBPDU,Get-VMHost -Name $ESX | Get-AdvancedSetting Net.BlockGuestBPDU | Set-AdvancedSetting -Value 1
esx-9.network-dvfilter,"NET-04, CFG-03",VCFE-9X-000222,2.2.6,"AC-04, CM-07",ESX,9.1.0,Base,Use of the dvFilter network APIs must be restricted on the ESX host.,"The dvFilter network API lets a virtual appliance (such as VMware NSX or certain third-party security products) attach to a VM's vNIC and inspect or filter its traffic at the host. ESX binds dvFilter agents to the IP address configured in ""Net.DVFilterBindIpAddress""; with the default empty value, no dvFilter binding is active.

If you are not using a product that requires dvFilter, leave the binding address empty. Setting an address without an authorized product attached to it creates an entry point that an attacker who can reach that address may use to connect their own filter agent and access traffic destined for VMs on the host. If you are using a product that relies on dvFilter, verify that the binding address matches the product's expected configuration.",Leaving the dvFilter binding address empty has no operational impact on workloads or other ESX features. Setting a binding address when no authorized product is deployed leaves an unguarded entry point that an attacker reaching that address could use to attach a malicious filter agent and intercept VM traffic.,P2,Net.DVFilterBindIpAddress,"""""","""""",YES,Audit,UI: ESX Advanced System Settings,Get-VMHost -Name $ESX | Get-AdvancedSetting Net.DVFilterBindIpAddress,"Get-VMHost -Name $ESX | Get-AdvancedSetting Net.DVFilterBindIpAddress | Set-AdvancedSetting -Value """""
esx-9.network-rpf-promisc,NET-04,N/A,2.2.6,AC-04,ESX,9.1.0,Base,The ESX host must perform reverse path forwarding checks on promiscuous mode port groups.,"A port group in promiscuous mode delivers copies of all traffic on that port group to the virtual machines attached to it, rather than only the frames addressed to each machine. Promiscuous mode is used deliberately by traffic-monitoring and intrusion-detection appliances and by nested virtualization, but it widens what a connected workload can observe, so it is normally left disabled and enabled only where a specific function requires it. When the host uses NIC teaming (more than one physical uplink for the same network), a promiscuous port can receive several copies of each broadcast or multicast frame, one arriving over each uplink.

Net.ReversePathFwdCheckPromisc makes the host apply a reverse path forwarding check before delivering such frames to a promiscuous port: a frame is accepted only on the uplink that is the expected path back toward its source, and copies arriving over the other uplinks are dropped. Reverse path forwarding is the same anti-spoofing principle routers use, where traffic is accepted only on the interface by which the source would be reached. The result is that a promiscuous consumer sees one accurate copy of each frame instead of duplicates.

The setting ships enabled and applies only to port groups where promiscuous mode is actually in use, so it is a no-op in environments that reject promiscuous mode (see esx-9.network-standard-reject-promiscuous-mode). Confirm it remains enabled so that environments which do rely on promiscuous mode keep duplicate-frame suppression in place.","Disabling this check causes promiscuous-mode port groups on teamed hosts to receive duplicate broadcast and multicast frames, which adds processing load on monitoring or intrusion-detection appliances and can distort the traffic view they depend on. Where promiscuous mode is not used, the setting has no effect in either state.",P2,Net.ReversePathFwdCheckPromisc,1,1,YES,Audit,UI: ESX Advanced System Settings,Get-VMHost -Name $ESX | Get-AdvancedSetting Net.ReversePathFwdCheckPromisc,Get-VMHost -Name $ESX | Get-AdvancedSetting Net.ReversePathFwdCheckPromisc | Set-AdvancedSetting -Value 1
