Control ID,SCF ID,Description,Aggregate Coverage,VCF Coverage,VCF Response,VMware vDefend Coverage,VMware vDefend Response,VCF Protection and Recovery Coverage,VCF Protection and Recovery Response,VMware Data Services Manager Coverage,VMware Data Services Manager Response,VMware Avi Load Balancer Coverage,VMware Avi Load Balancer Response
MANAGE 4.3,"AAT-11.4, IRO-10","Incidents and errors are communicated to relevant AI actors, including affected communities. Processes for tracking, responding to, and recovering from incidents and errors are followed and documented.",Not Applicable,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
MAP 1.0,"AAT-03, PRM-06",Context is established and understood.,Not Applicable,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
MAP 1.1,"AAT-03, AAT-04, PRM-06, RSK-08, RSK-10","Intended purposes, potentially beneficial uses, contextspecific laws, norms and expectations, and prospective settings in which the AI system will be deployed are understood and documented. Considerations include: the specific set or types of users along with their expectations; potential positive and negative impacts of system uses to individuals, communities, organizations, society, and the planet; assumptions and related limitations about AI system purposes, uses, and risks across the development or product AI lifecycle; and related TEVV and system metrics.",Not Applicable,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
MAP 1.2,"AAT-08, AAT-13, HRS-03.2","Interdisciplinary AI actors, competencies, skills, and capacities for establishing context reflect demographic diversity and broad domain and user experience expertise, and their participation is documented. Opportunities for interdisciplinary collaboration are prioritized.",Not Applicable,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
MAP 1.3,"AAT-03.1, GOV-08, PRM-01.1",The organization’s mission and relevant goals for AI technology are understood and documented.,Not Applicable,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
MAP 1.4,"AAT-03, AAT-03.1, PRM-06",The business value or context of business use has been clearly defined or – in the case of assessing existing AI systems – re-evaluated.,Not Applicable,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
MAP 1.5,RSK-01.3,Organizational risk tolerances are determined and documented.,Not Applicable,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
MAP 1.6,"AAT-14, PRI-01, PRI-05.4, PRM-05","System requirements (e.g., “the system shall respect the privacy of its users”) are elicited from and understood by relevant AI actors. Design decisions take socio-technical implications into account to address AI risks.",Not Applicable,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
MAP 2.0,"AST-31, AST-31.1",Categorization of the AI system is performed.,Contributes,Contributes,"VCF provides several mechanisms for categorizing technology assets, applications, and services across its management stack, though a complete asset categorization program requires organizational policies to define taxonomies and govern their consistent application.

Within vSphere, administrators can apply tags as metadata labels to managed objects such as virtual machines, hosts, datastores, and networks. Tags are organized into categories, where each category defines the associable object types and cardinality (whether single or multiple tags can be applied). Multiple tags from different categories can be applied to a single object, enabling multi-dimensional classification. The vSphere Tagging API provides Category, Tag, and TagAssociation classes to create, manage, and associate tags programmatically, and tags created through the API are visible and manageable in the vSphere Client. Access to the tagging system is governed by dedicated vSphere RBAC privileges, including InventoryService.Tagging.CreateCategory, EditCategory, ObjectAttachable, and AttachTag, which allow organizations to restrict who can define tag categories, modify them, and assign tags to inventory objects. Tag-based policies drive workload placement, storage profile assignment, and compute policy enforcement, making tags a functional part of infrastructure governance rather than just labels. Compute policies rely on tags to identify inventory objects on which to enforce a policy, and tag-based storage profiles allow administrators to define storage requirements based on tag metadata associated with datastores. vSphere also provides folders for hierarchical organization of VMs and templates, and resource pools for grouping compute allocations.

VCF Operations extends categorization with a flexible object tagging system. Each tag type can hold multiple tag values, enabling multi-dimensional categorization schemes. Predefined object tags are available out of the box, and administrators can create custom object tags when the predefined set does not meet their needs. These tags make it straightforward to find, group, and filter objects across the managed environment. VCF Operations also automatically generates Object Type Classification and Subclassification properties for every managed object, with property values such as ADAPTER_INSTANCE, GROUP, BUSINESS_SERVICE, TIER, or GENERAL. This built-in classification provides a baseline categorization layer without manual effort. Commonly used object group types, including World, Environment, and Licensing, organize groups of objects into logical categories.

For application-level categorization, VCF Operations supports Business Applications, which are groups of related objects that model an application within the business and support mapping application-to-application relationships. The Object Summary card for a Business Application displays attributes including Source, Application Tag, Environment, and Business Criticality, giving administrators a structured view of each application's classification. The Policy Workspace further supports filtering by Object Type, enabling category-aware policy management.

VCF Automation adds another layer of categorization through its organizational model. Organizations consume resources from a shared pool, and those resources can be further allocated to projects, which are logical representations of application teams consisting of users, groups, and the resource pools they are entitled to. Within a VCF Automation organization, projects serve as grouping objects to isolate administrative concerns and establish clear resource boundaries for different teams. Tags in VCF Automation can be used as constraints to associate resources with specific projects or images, and organizations are encouraged to create tags that categorize networking options and accommodate applicable resource types. This tag-based constraint system supports categorization-driven resource placement and access decisions. Custom categories can also be defined and linked to catalog items, supporting a self-service model where resources are organized by type and purpose. Catalog items include blueprints, VM images, storage, networks, and other infrastructure resources that are scoped to projects and available for self-service deployment. The VCF Automation Resources tab supports filtering deployed resources by attributes such as project, cloud type, and origin, enabling project-scoped inventory queries across both deployed and discovered assets.

The Tenant Portal provides catalog consumers with a resource management interface that supports filtering by project and other attributes, searching by name or values, and executing day-2 actions specific to resource type and state. The resources visible in VCF Automation inventory views depend on the rights and project roles assigned to the user, so project-based categorization also functions as an access-control boundary.

Within the VMware Kubernetes Service (VKS) layer of VCF, Kubernetes-native labeling provides a structured mechanism for classifying workloads. The standard app.kubernetes.io label schema defines a taxonomy for workload classification: app.kubernetes.io/name identifies the application name, app.kubernetes.io/instance distinguishes individual instances, app.kubernetes.io/version records the current version, app.kubernetes.io/component describes the role of the component within an application, app.kubernetes.io/part-of indicates the higher-level system a component belongs to, and app.kubernetes.io/managed-by records what tool manages the resource. Applying these labels consistently across Deployments, Services, and other API objects creates a queryable classification system that supports inventory, reporting, and access control decisions. Label selectors filter queried resource lists by their label values, enabling targeted retrieval of categorized workload sets. vSphere namespaces provide a first-level grouping of workloads and services at the cluster level; each namespace can represent a team, application, environment, or business unit, and resource quotas and limit ranges can be applied per namespace to reflect the relative importance or risk classification of the workloads within it.

Custom Resource Definitions (CRDs) expose a names.categories field that publishes grouped resource classifications in API discovery documents. When CRDs are defined with appropriate categories, administrators can retrieve all resources in a category using a single kubectl command, making it easier to enumerate workloads by type. The acceptedNames.categories field reflects the accepted category groupings after name conflict resolution, and these classifications appear in API discovery documents accessible to tooling and auditors.

For hardware device resources, Kubernetes DeviceClasses define categories of devices that workloads can request through ResourceClaims. Device drivers publish resource properties via ResourceSlices, and DeviceClass resources collect related devices under a named category, allowing workloads to request a class of resource rather than a specific device instance.

Container image assets are organized through Harbor Registry projects, which group container images by team, application, or environment, creating a categorization layer for the container supply chain that feeds VKS workloads.

NSX provides application-level classification through its Inventory capabilities, which include App IDs for identifying and categorizing network traffic by application type. App IDs support classification of traffic types including File Transfer, Web Services, Messaging, Streaming Media, VPN and Tunneling, and Networking.

These categorization capabilities are native to VCF and operate across its management stack. However, maintaining a consistent categorization taxonomy, aligning it with organizational asset management processes, establishing procedures for assigning categories to new and existing assets, periodically reviewing categorization accuracy, and covering assets outside the VCF environment require additional governance and potentially external CMDB or asset management tools.

VMware Private AI Services (PAIS) contributes to asset categorization by providing a structured taxonomy of AI workload types through its integration with VCF Automation. The Private AI Services Quickstart creates named catalog items in VCF Automation that represent distinct categories of AI applications, including AI Workstation, DSM Database, Triton Inferencing Server, and AI Kubernetes Cluster. These named catalog items act as predefined AI asset categories that organizations can use when building and maintaining a technology asset inventory. Each catalog item is backed by a blueprint that can be viewed in VCF Automation under Build & Deploy > Content Hub > Blueprint Design > Blueprints, providing a structured artifact definition for each AI workload type.

Catalog items are organized by the intended user role. VCF Automation presents self-service catalog items segmented for DevOps engineers, data scientists, and MLOps engineers, providing a functional classification that aligns PAIS services with the teams that consume them. Data scientists use deep learning catalog items to deploy deep learning VMs, while DevOps engineers use catalog items to provision AI-ready VKS clusters. Access and deployment scope is controlled through VCF Automation organization namespaces in which Private AI Services is activated.

PAIS exposes distinct service component categories that organizations can use to classify AI services by function. The Data Indexing and Retrieval component connects to and indexes data from multiple sources for use in knowledge bases that support contextual search in RAG applications. Model Endpoints separate completion models from embedding models as distinct deployable categories, with embedding models further classified by application goal such as semantic similarity, classification, or retrieval. Knowledge bases classify indexed content by media type, maintaining document counts per type including PDF and PPTX. The PAIS Controller is surfaced as its own integration target in VCF Operations under Operate > Inventory > Integrations > vSphere Supervisor.

For ML models stored through PAIS, the Model Gallery records model metadata in Open Container Initiative (OCI) format that describes model contents and dependencies, enabling identification of the platforms that can run a given model. The Model Gallery applies Harbor project access controls to restrict access to sensitive data used to train and tune models, allowing model assets to be partitioned by sensitivity in addition to type.",Contributes,"VMware vDefend provides asset categorization capabilities through the Security Services Platform, which organizes workloads and infrastructure into a structured hierarchy for security policy enforcement.

The Security Services Platform (SSP) classifies inventory assets into a five-level hierarchy: region, zone, environment, application, and application tier. The Segmentation Hierarchy and Infrastructure Services view displays this hierarchy across the entire inventory, listing the total number of assets at each scope. SSP identifies and publishes application assets, classifying them as either critical or regular applications, which allows security policies to differentiate based on business importance.

Two configuration settings govern how SSP derives asset categorization from tagged metadata. The Asset Delimiter setting defines how the hierarchy is derived from delimited tags during application discovery; the default value is an underscore, with options to select a period or hyphen. The Asset Prefix setting adds a configurable prefix to asset names during segmentation planning, monitoring, or policy recommendation, with a default of an empty string for application discovery. These settings allow organizations to align asset hierarchy derivation with existing naming conventions.

The Platform Inventory view organizes monitored assets into Regions and Zones and collects VM tags with their respective scopes for asset tracking and classification. Inventory filtering by name and status allows administrators to locate specific assets and identify those that are timed out or out of sync. The Publish Inventory Assets tab shows infrastructure asset details drawn from imported CSV files, discovered services, or published infrastructure assets, including asset names, types, total IP address counts, and VM counts. Segmentation analysis displays mapped VMs, segments, DVPG (Distributed Virtual Port Group), and IP addresses, with the ability to view asset names and associated asset types for each.

Security Intelligence, integrated within the Security Services Platform, organizes assets into collections that include groups, infrastructure assets, environments, applications, and application tiers. Using consistent naming conventions when preparing inventory data for segmentation planning supports accurate categorization within these asset collections.

These mechanisms are scoped to network security asset organization. Full technology asset, application, and service categorization for the broader organization requires governance processes, naming conventions, and asset management tooling beyond what vDefend provides.",Contributes,"VCF Protection and Recovery (PNR) contributes to asset categorization through several DR-specific mechanisms that organize virtual machines, storage resources, and recovery configurations according to their disaster recovery attributes.

Protection groups are the primary categorization mechanism. Each protection group classifies virtual machines by their replication method: array-based replication, Virtual Volumes, vSAN Data Protection, or vSphere Replication. Protection groups track which VMs they protect, their protection status, and the applicable replication configuration. This creates a DR-specific taxonomy that distinguishes protected assets from unprotected ones and groups them by coverage type. Array-based replication protection groups can be further scoped using storage tag categories, selecting datastores via Browse Tags, which allows storage assets to be categorized by replication group membership. Protection Group Folders add a hierarchical layer with parent-child relationships, supporting nested organization of protected resources for management and reporting.

Inventory mappings provide a complementary categorization by site role. Mappings define how protected-site objects (resource pools, folders, networks, and storage) correspond to their recovery-site counterparts. PNR supports both automatic mapping, which matches items by name across sites, and manual mapping, where multiple local items can map to a single remote item. Site-wide defaults apply across all protection groups, and individual VM mappings can override those defaults. The inventory mapping service (ims-service) runs with automatic startup and maintains these cross-site relationships continuously.

Recovery plans organize protected workloads by recovery priority and sequence, reflecting their relative importance in a DR event. The Configuration Import/Export Tool captures the full categorization structure in an exportable format, including site names, inventory mappings, placeholder datastores, advanced settings, array manager details, and protection group and recovery plan definitions. This export supports documentation of the DR classification scheme and enables replication of that structure to other environments.

VCF Operations provides dashboard visibility into the categorized asset estate. The vSAN snapshots and replication dashboard shows the number of VMware vCenter (vCenter) instances with protection enabled, VMs with local protection, VMs with remote replication, and protection group counts. The Inventory view in VCF Operations displays health status, metrics, alerts, and network topology for all PNR objects. The VCF Automation orchestrator plug-in for PNR organizes its workflow surface into predefined categories: Configuration, Inventory Mappings, Protection Groups, and Storage, making the same classification taxonomy available in automation workflows.

Organizations should incorporate PNR's protection group membership, replication status, recovery priority, and inventory mapping data into their broader asset management taxonomy to ensure that disaster recovery attributes are part of the overall asset classification scheme.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Contributes,"VMware Avi Load Balancer (Avi) maintains a structured catalog of the application delivery objects it manages, including virtual services, pools, service engine groups, and SSL certificates. Each virtual service in the Avi Controller references application profiles, network profiles, analytics profiles, pools, SSL profiles, and VRF contexts that describe the function and operational characteristics of the service. The Avi Controller Analytics view presents performance metrics collected from virtual services, service engines, and pools in a unified view, giving administrators a consolidated inventory of managed application delivery resources and their real-time state.

Avi's Extended Granular Role-Based Access Control (RBAC) feature provides a marker system for assigning ownership and classification labels to these objects. Resources can be configured with markers that associate one or more owners or functional categories via key-value pairs. The Avi Controller's LabelGroup object tracks the set of labels allowed or suggested for use within a given tenant, with labels enforced or deprecated at the tenant level to support consistent taxonomy enforcement across the environment. Tenants can be associated with label groups using the label_group_refs parameter, which restricts which labels may be applied within that tenant's scope. Label group enforcement can be enabled at the tenant level to restrict access to resources tagged with specific label groups. Role filters in Extended Granular RBAC support glob pattern matching against object labels, so access control and resource categorization work together: only resources with matching label values are visible or accessible to a given role.

In Kubernetes environments managed through the Avi Multi-Cluster Kubernetes Operator (AMKO), GlobalDeploymentPolicy matchRules enable selection and categorization of objects using application labels configured on Ingress or Route objects, or through namespace labels on namespace objects. This label-based selection extends Avi's classification model into multi-cluster Kubernetes deployments, allowing policies to apply across all namespaces or be filtered by both application and namespace labels. For deployments on cloud providers such as GCP, Azure, and AWS, custom tags can be applied to Avi Load Balancer resources including Service Engine instances and related objects, enabling grouping and management within cloud-native tagging frameworks. Avi service discovery via Consul supports per-service metadata configuration including enabled status, traffic ratio weighting, and custom tags for service classification.

Avi's Application Insights feature extends this picture by learning and analyzing application traffic patterns for each virtual service. Application Insights data is collected by Avi Service Engines and sent to the Avi Controller for analysis and policy configuration. Virtual Service Analytics allows administrators to identify the most used URLs, HTTP methods, and content types handled by each virtual service, which can inform classification decisions based on observed application behavior.

Because Avi manages only the application delivery layer, its categorization mechanisms cover the resources within its scope. An organizational technology asset inventory that spans compute, storage, networking, and workloads across VCF requires platform-level tooling and asset management processes beyond what Avi provides independently."
MAP 2.1,"AAT-14.1, PRM-06, TDA-01.1","The specific tasks and methods used to implement the tasks that the AI system will support are defined (e.g., classifiers, generative models, recommenders).",Contributes,Contributes,"VMware Private AI Services (PAIS) defines the AI task types the platform supports through a set of catalog items, model and knowledge-base constructs, and namespace activation steps that translate organizational AI scoping decisions into platform configuration. The PAIS catalog in VCF Automation, populated through the Private AI Services Quickstart, exposes a defined set of AI workload patterns to users: AI Workstation, DSM Database, Triton Inferencing Server, and AI Kubernetes Cluster. An organization administrator or MLOps engineer must activate PAIS in a namespace before any of these AI workloads can be requested, and catalog item permissions control which task types are visible to which users. AI workloads can run on GPU devices in vGPU or passthrough mode or in CPU-only configurations, allowing the task definitions to match the underlying hardware policy.

For generative AI tasks, PAIS provides Model Endpoints for completion and embedding models, Agent Builder for assembling agents on top of those endpoints, and Knowledge Bases that link to external data sources such as Microsoft SharePoint sites and Amazon S3 compatible stores so that retrieval-augmented generation patterns are scoped to approved corpora. Agent Builder also maintains a list of approved tools when connecting to MCP servers, giving organizations a mechanism to constrain the specialized capabilities an AI agent can invoke. Deployment connectivity mode is itself a defined attribute: PAIS can be installed in connected or disconnected air-gapped environments, with a Harbor registry, or another OCI-compliant registry, holding the model gallery in both modes.

Because PPTDF for this control is Process only, the organization remains responsible for identifying the AI use cases the environment will support, approving task categories, and documenting the operational scope. PAIS supplies the platform mechanisms that enforce those decisions but does not perform the scoping itself.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
MAP 2.2,AAT-14.2,Information about the AI system’s knowledge limits and how system output may be utilized and overseen by humans is documented. Documentation provides sufficient information to assist relevant AI actors when making decisions and taking subsequent actions.,Not Applicable,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
MAP 2.3,"AAT-10.2, IAO-02.2","Scientific integrity and TEVV considerations are identified and documented, including those related to experimental design, data collection and selection (e.g., availability, representativeness, suitability), system trustworthiness, and construct validation.",Contributes,Contributes,"VMware Private AI Services (PAIS) provides specific, documentable tools for AI TEVV activities. Deep learning VMs are the primary validation environment, provisioned from PAIS images with pre-installed software stacks validated for running AI applications on NVIDIA GPUs. DL VMs support prototyping, fine-tuning, validation, and inference workloads in a single environment.

The Triton Inference Server is the documented tool for model inference validation. Models are tested for inference functionality using Triton and evaluated for performance and safety against business use cases, including examination of inference requests for malicious behavior and functional testing. This provides a standardized, repeatable testing tool for model evaluation.

For performance measurement, each DL VM includes a pre-installed NVIDIA DCGM Exporter that monitors GPU metrics and workload behavior. GPU metrics are collected by Prometheus at configurable scrape intervals (global scrape at 15 seconds, DCGM exporter scrape at 5 seconds) and visualized in Grafana dashboards. VCF Operations provides additional GPU metrics monitoring at the cluster, host system, and host properties levels. The vSphere Client provides GPU performance charts at both host and cluster levels.

The vcf pais CLI provides model management tooling, including the vcf pais models list command for retrieving and displaying all models available in a model gallery. Harbor Registry provides the artifact management tooling for storing, versioning, and distributing model artifacts with integrity verification through hash codes and unique content digests.

PAIS does not manage test datasets or test set documentation. The selection, curation, versioning, and documentation of test sets used during TEVV activities is an organizational responsibility.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
MAP 3.0,"AAT-03, AAT-03.1, AAT-04","AI capabilities, targeted usage, goals, and expected benefits and costs compared with appropriate benchmarks are understood.",Not Applicable,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
MAP 3.1,"AAT-04, AAT-04.1",Potential benefits of intended AI system functionality and performance are examined and documented.,Not Applicable,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
MAP 3.2,"AAT-04, AAT-04.2, RSK-01.3","Potential costs, including non-monetary costs, which result from expected or realized AI errors or system functionality and trustworthiness – as connected to organizational risk tolerance – are examined and documented.",Not Applicable,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
MAP 3.3,"AAT-04.3, CPL-01.2","Targeted application scope is specified and documented based on the system’s capability, established context, and AI system categorization.",Not Applicable,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
MAP 3.4,"AAT-13.1, HRS-03.2","Processes for operator and practitioner proficiency with AI system performance and trustworthiness – and relevant technical standards and certifications – are defined, assessed, and documented.",Not Applicable,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
MAP 3.5,"AAT-01, GOV-01.1, GOV-01.2, GOV-02, OPS-01, OPS-01.1","Processes for human oversight are defined, assessed, and documented in accordance with organizational policies from the GOVERN function.",Not Applicable,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
MAP 4.0,AAT-04.4,Risks and benefits are mapped for all components of the AI system including third-party software and data.,Not Applicable,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
MAP 4.1,AAT-02.1,"Approaches for mapping AI technology and legal risks of its components – including the use of third-party data or software – are in place, followed, and documented, as are risks of infringement of a third party’s intellectual property or other rights.",Not Applicable,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
MAP 4.2,AAT-02.2,"Internal risk controls for components of the AI system, including third-party AI technologies, are identified and documented.",Not Applicable,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
MAP 5.0,AAT-07.1,"Impacts to individuals, groups, communities, organizations, and society are characterized.",Not Applicable,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
MAP 5.1,"AAT-07.2, RSK-02.1, RSK-08","Likelihood and magnitude of each identified impact (both potentially beneficial and harmful) based on expected use, past uses of AI systems in similar contexts, public incident reports, feedback from those external to the team that developed or deployed the AI system, or other data are identified and documented.",Not Applicable,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
MAP 5.2,"AAT-01, AAT-11, GOV-01.1, GOV-05","Practices and personnel for supporting regular engagement with relevant AI actors and integrating feedback about positive, negative, and unanticipated impacts are in place and documented.",Not Applicable,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
