Control ID,SCF ID,Description,Control Coverage,Response
7.4(d),"GOV-01.2, SAT-01, SAT-02, THR-03","The organization shall determine the need for internal and external communications relevant to the
information security management system including:
d) how to communicate.",Contributes,"VMware vDefend Threat Intelligence Service provides continuously updated feeds, including IDS signatures and URL/threat indicators, which are consumed by IDS/IPS and Advanced Threat Prevention components to detect and respond to known and emerging threats at the network layer. Security Intelligence displays IDS/IPS event data in a visualization canvas with granular event details, filterable by signature ID. Network Detection and Response (NDR) uses machine learning and advanced analytics to automatically correlate related events into threat campaigns for analyst review, facilitating the operational communication of threat intelligence to security teams.

While vDefend operationally consumes and applies threat intelligence, the broader threat intelligence program management and its dissemination to the organization require complementary processes and tooling. The platform does not define the overarching internal and external communication methods, channels, or procedures for the entire information security management system. The organization is responsible for establishing and documenting its comprehensive communication strategy, including how to communicate all aspects relevant to the ISMS, beyond the operational consumption of threat intelligence."
7.5.1,GOV-02,"​General

The organization’s information security management system shall include:
a) documented information required by this document; and
b) documented information determined by the organization as being necessary for the effectiveness
of the information security management system.
NOTE The extent of documented information for an information security management system can differ
from one organization to another due to:
1) the size of organization and its type of activities, processes, products and services;
2) the complexity of processes and their interactions; and
3) the competence of persons.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
7.5.1(a),GOV-02,"The organization’s information security management system shall include:
a) documented information required by this document; ",Not Applicable,"End user activity or process, design decision, or activity out of scope."
7.5.1(b),GOV-02,"The organization’s information security management system shall include:

documented information determined by the organization as being necessary for the effectiveness
of the information security management system.
NOTE The extent of documented information for an information security management system can differ
from one organization to another due to:
1) the size of organization and its type of activities, processes, products and services;
2) the complexity of processes and their interactions; and
3) the competence of persons.
",Not Applicable,"End user activity or process, design decision, or activity out of scope."
7.5.2,"GOV-02, GOV-03","​Creating and updating

When creating and updating documented information the organization shall ensure appropriate:
a) identification and description (e.g. a title, date, author, or reference number);
b) format (e.g. language, software version, graphics) and media (e.g. paper, electronic); and
c) review and approval for suitability and adequacy.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
7.5.2(a),"GOV-02, GOV-03","When creating and updating documented information the organization shall ensure appropriate:
a) identification and description (e.g. a title, date, author, or reference number);
",Not Applicable,"End user activity or process, design decision, or activity out of scope."
7.5.2(b),"GOV-02, GOV-03","When creating and updating documented information the organization shall ensure appropriate:
b) format (e.g. language, software version, graphics) and media (e.g. paper, electronic); 
",Not Applicable,"End user activity or process, design decision, or activity out of scope."
7.5.2(c),"GOV-02, GOV-03","When creating and updating documented information the organization shall ensure appropriate:
c) review and approval for suitability and adequacy.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
7.5.3,GOV-02,"​Control of documented information

Documented information required by the information security management system and by this
document shall be controlled to ensure:
a) it is available and suitable for use, where and when it is needed; and
b) it is adequately protected (e.g. from loss of confidentiality, improper use, or loss of integrity).
For the control of documented information, the organization shall address the following activities, as
applicable:
c) distribution, access, retrieval and use;
d) storage and preservation, including the preservation of legibility;
e) control of changes (e.g. version control); and
f) retention and disposition.
Documented information of external origin, determined by the organization to be necessary for
the planning and operation of the information security management system, shall be identified as
appropriate, and controlled.
NOTE Access can imply a decision regarding the permission to view the documented information only, or
the permission and authority to view and change the documented information, etc.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
7.5.3(a),GOV-02,"Documented information required by the information security management system and by this
document shall be controlled to ensure:
a) it is available and suitable for use, where and when it is needed; 
",Not Applicable,"End user activity or process, design decision, or activity out of scope."
7.5.3(b),GOV-02,"Documented information required by the information security management system and by this
document shall be controlled to ensure:
b) it is adequately protected (e.g. from loss of confidentiality, improper use, or loss of integrity).
For the control of documented information, the organization shall address the following activities, as
applicable:
",Not Applicable,"End user activity or process, design decision, or activity out of scope."
7.5.3(c),GOV-02,"Documented information required by the information security management system and by this
document shall be controlled to ensure:
c) distribution, access, retrieval and use;
",Not Applicable,"End user activity or process, design decision, or activity out of scope."
7.5.3(d),GOV-02,"Documented information required by the information security management system and by this
document shall be controlled to ensure:

d) storage and preservation, including the preservation of legibility;
",Not Applicable,"End user activity or process, design decision, or activity out of scope."
7.5.3(e),GOV-02,"Documented information required by the information security management system and by this
document shall be controlled to ensure:
e) control of changes (e.g. version control); 
",Not Applicable,"End user activity or process, design decision, or activity out of scope."
7.5.3(f),GOV-02,"Documented information required by the information security management system and by this
document shall be controlled to ensure:

f) retention and disposition.
Documented information of external origin, determined by the organization to be necessary for
the planning and operation of the information security management system, shall be identified as
appropriate, and controlled.

",Not Applicable,"End user activity or process, design decision, or activity out of scope."
8.1,"GOV-01, CPL-02, CPL-03, OPS-01, OPS-01.1, OPS-03","​Operational planning and control

The organization shall plan, implement and control the processes needed to meet requirements, and to
implement the actions determined in Clause 6, by:
— establishing criteria for the processes;
— implementing control of the processes in accordance with the criteria.
Documented information shall be available to the extent necessary to have confidence that the
processes have been carried out as planned.
The organization shall control planned changes and review the consequences of unintended changes,
taking action to mitigate any adverse effects, as necessary.
The organization shall ensure that externally provided processes, products or services that are relevant
to the information security management system are controlled.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
8.2,"RSK-01, RSK-04","​Information security risk assessment

The organization shall perform information security risk assessments at planned intervals or when
significant changes are proposed or occur, taking account of the criteria established in 6.1.2 a).
The organization shall retain documented information of the results of the information security risk
assessments.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
8.3,"RSK-06, RSK-06.1","​Information security risk treatment

The organization shall implement the information security risk treatment plan.
The organization shall retain documented information of the results of the information security risk
treatment.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
9.1,"GOV-01.2, GOV-05, CPL-01, CPL-01.1, CPL-01.2, CPL-03","​Monitoring, measurement, analysis and evaluation

The organization shall determine:
a) what needs to be monitored and measured, including information security processes and controls;
b) the methods for monitoring, measurement, analysis and evaluation, as applicable, to ensure
valid results. The methods selected should produce comparable and reproducible results to be
considered valid;
c) when the monitoring and measuring shall be performed;
d) who shall monitor and measure;
e) when the results from monitoring and measurement shall be analysed and evaluated;
f) who shall analyse and evaluate these results.
Documented information shall be available as evidence of the results.
The organization shall evaluate the information security performance and the effectiveness of the
information security management system.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
9.1(a),"GOV-01.2, GOV-05, CPL-01.1, CPL-03","The organization shall determine:
a) what needs to be monitored and measured, including information security processes and controls;
",Not Applicable,"End user activity or process, design decision, or activity out of scope."
9.1(b),"GOV-01.2, GOV-05, CPL-01.1, CPL-03","The organization shall determine:
b) the methods for monitoring, measurement, analysis and evaluation, as applicable, to ensure
valid results. The methods selected should produce comparable and reproducible results to be
considered valid;
",Not Applicable,"End user activity or process, design decision, or activity out of scope."
9.1(c),"GOV-01.2, GOV-05, CPL-01.1, CPL-03","The organization shall determine:
c) when the monitoring and measuring shall be performed;
",Not Applicable,"End user activity or process, design decision, or activity out of scope."
9.1(d),"GOV-01.2, GOV-05, CPL-01.1, CPL-03","The organization shall determine:
d) who shall monitor and measure;
",Not Applicable,"End user activity or process, design decision, or activity out of scope."
9.1(e),"GOV-01.2, GOV-05, CPL-01.1, CPL-03","The organization shall determine:
e) when the results from monitoring and measurement shall be analysed and evaluated;
",Not Applicable,"End user activity or process, design decision, or activity out of scope."
9.1(f),"GOV-01.2, GOV-05, CPL-01.1, CPL-03","The organization shall determine:
f) who shall analyse and evaluate these results.
Documented information shall be available as evidence of the results.
The organization shall evaluate the information security performance and the effectiveness of the
information security management system.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
9.2.1,"CPL-01, CPL-02.1","General
The organization shall conduct internal audits at planned intervals to provide information on whether
the information security management system:
a) conforms to
1) the organization’s own requirements for its information security management system;
2) the requirements of this document;
b) is effectively implemented and maintained.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
9.2.1(a)(1),CPL-02.1,"The organization shall conduct internal audits at planned intervals to provide information on whether
the information security management system:
a) conforms to
1) the organization’s own requirements for its information security management system;
",Not Applicable,"End user activity or process, design decision, or activity out of scope."
9.2.1(a)(2),CPL-02.1,"The organization shall conduct internal audits at planned intervals to provide information on whether
the information security management system:
a) conforms to
2) the requirements of this document;
",Not Applicable,"End user activity or process, design decision, or activity out of scope."
9.2.1(b),CPL-02.1,"The organization shall conduct internal audits at planned intervals to provide information on whether
the information security management system:
b) is effectively implemented and maintained.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
9.2.2,"GOV-15.5, CPL-01, CPL-02.1","Internal audit programme

The organization shall plan, establish, implement and maintain an audit programme(s), including the
frequency, methods, responsibilities, planning requirements and reporting.
When establishing the internal audit programme(s), the organization shall consider the importance of
the processes concerned and the results of previous audits.
The organization shall:
a) define the audit criteria and scope for each audit;
b) select auditors and conduct audits that ensure objectivity and the impartiality of the audit process;
c) ensure that the results of the audits are reported to relevant management;
Documented information shall be available as evidence of the implementation of the audit programme(s)
and the audit results.",Contributes,"VMware Cloud Foundation provides the monitoring infrastructure that supports ongoing oversight of technology assets. VCF Operations continuously monitors the infrastructure to identify compliance drift, surfacing non-compliant objects and associated violations through dashboards and alerts. Administrators can define monitoring policies that govern how resources are analyzed, and VCF Operations allows policy element settings to be customized per object through overrides, tailoring monitoring to the risk profile of individual assets.

Platform operators can configure alerts, perform log analysis and troubleshooting, and run infrastructure diagnostics and health checks across the VCF environment. VCF Operations for Logs aggregates log data from vCenter and ESX hosts, providing searchable dashboards and analytics that give asset owners visibility into component behavior.

VCF Automation adds resource usage monitoring and permission controls through its Organizations model, letting IT teams track consumption and enforce governance boundaries. On the user security side, VCF Operations supports continuous monitoring of user access patterns to detect security risks early and verify appropriate access levels. Role-based access in vCenter, including a dedicated Operator role, allows organizations to delegate monitoring responsibilities.

VMware vDefend's Security Intelligence provides continuous network-level monitoring through flow visualization, anomaly detection, and NDR capabilities, supporting ongoing assessment of control effectiveness across in-scope workloads and services. IDS/IPS and ATP continuously monitor network traffic for threats, with Intelligent Assist providing event management capabilities to track investigation status and support structured response workflows. The Admin Dashboard and Intelligent Assist integrate with IDS/IPS, Detections, and Campaigns pages to surface security events and support analyst workflows for ongoing monitoring.

While these capabilities provide the technical tools for continuous monitoring and data collection, which are crucial inputs for an audit program, the establishment, planning, and maintenance of the overall internal audit program remain organizational governance responsibilities. This includes defining audit criteria and scope, selecting objective and impartial auditors, assigning responsibilities, determining audit frequency, and ensuring audit results are reported to relevant management.

The organizational policies that require data and process owners to perform monitoring, along with the cadence and accountability structures around that monitoring, are responsibilities that sit outside the platform's scope. The platforms do not address broader program-level monitoring activities such as policy reviews, vendor assessments, or audit scheduling."
9.2.2(a),CPL-02.1,"The organization shall plan, establish, implement and maintain an audit programme(s), including the
frequency, methods, responsibilities, planning requirements and reporting.
When establishing the internal audit programme(s), the organization shall consider the importance of
the processes concerned and the results of previous audits.
The organization shall:
a) define the audit criteria and scope for each audit;
",Not Applicable,"End user activity or process, design decision, or activity out of scope."
9.2.2(b),CPL-02.1,"The organization shall plan, establish, implement and maintain an audit programme(s), including the
frequency, methods, responsibilities, planning requirements and reporting.
When establishing the internal audit programme(s), the organization shall consider the importance of
the processes concerned and the results of previous audits.
The organization shall:
b) select auditors and conduct audits that ensure objectivity and the impartiality of the audit process;
",Not Applicable,"End user activity or process, design decision, or activity out of scope."
9.2.2(c),CPL-02.1,"The organization shall plan, establish, implement and maintain an audit programme(s), including the
frequency, methods, responsibilities, planning requirements and reporting.
When establishing the internal audit programme(s), the organization shall consider the importance of
the processes concerned and the results of previous audits.
The organization shall:
c) ensure that the results of the audits are reported to relevant management;
Documented information shall be available as evidence of the implementation of the audit programme(s)
and the audit results.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
9.3.1,"GOV-01.1, GOV-01.2","General

Top management shall review the organization's information security management system at planned
intervals to ensure its continuing suitability, adequacy and effectiveness.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
9.3.2(a),"GOV-01.1, GOV-01.2","Management review inputs

The management review shall include consideration of:
a) the status of actions from previous management reviews;
",Not Applicable,"End user activity or process, design decision, or activity out of scope."
9.3.2(b),"GOV-01.1, GOV-01.2","The management review shall include consideration of:
b) changes in external and internal issues that are relevant to the information security management
system;
",Not Applicable,"End user activity or process, design decision, or activity out of scope."
9.3.2(c),"GOV-01.1, GOV-01.2","The management review shall include consideration of:
c) changes in needs and expectations of interested parties that are relevant to the information
security management system;
",Not Applicable,"End user activity or process, design decision, or activity out of scope."
9.3.2(d),"GOV-01.1, GOV-01.2","The management review shall include consideration of:
d) feedback on the information security performance, including trends in:
",Not Applicable,"End user activity or process, design decision, or activity out of scope."
9.3.2(d)(1),"GOV-01.1, GOV-01.2","The management review shall include consideration of:
d) feedback on the information security performance, including trends in:
1) nonconformities and corrective actions;
",Not Applicable,"End user activity or process, design decision, or activity out of scope."
9.3.2(d)(2),"GOV-01.1, GOV-01.2","The management review shall include consideration of:
d) feedback on the information security performance, including trends in:
2) monitoring and measurement results;
",Not Applicable,"End user activity or process, design decision, or activity out of scope."
9.3.2(d)(3),"GOV-01.1, GOV-01.2","The management review shall include consideration of:
d) feedback on the information security performance, including trends in:
3) audit results;
",Not Applicable,"End user activity or process, design decision, or activity out of scope."
9.3.2(d)(4),"GOV-01.1, GOV-01.2","The management review shall include consideration of:
d) feedback on the information security performance, including trends in:
4) fulfilment of information security objectives;
",Not Applicable,"End user activity or process, design decision, or activity out of scope."
9.3.2(e),"GOV-01.1, GOV-01.2","The management review shall include consideration of:
e) feedback from interested parties;
",Not Applicable,"End user activity or process, design decision, or activity out of scope."
9.3.2(f),"GOV-01.1, GOV-01.2","The management review shall include consideration of:
f) results of risk assessment and status of risk treatment plan;
",Not Applicable,"End user activity or process, design decision, or activity out of scope."
9.3.2(g),"GOV-01.1, GOV-01.2","The management review shall include consideration of:
g) opportunities for continual improvement.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
9.3.3,"GOV-01.1, GOV-01.2","Management review results
The results of the management review shall include decisions related to continual improvement
opportunities and any needs for changes to the information security management system.
Documented information shall be available as evidence of the results of management reviews.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
10.1,"GOV-01, GOV-01.1, CPL-02","​Continual improvement

The organization shall continually improve the suitability, adequacy and effectiveness of the information
security management system.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
10.2,CPL-01.1,"​Nonconformity and corrective action

When a nonconformity occurs, the organization shall:
a) react to the nonconformity, and as applicable:
1) take action to control and correct it;
2) deal with the consequences;
b) evaluate the need for action to eliminate the causes of nonconformity, in order that it does not recur
or occur elsewhere, by:
1) reviewing the nonconformity;
2) determining the causes of the nonconformity; and
3) determining if similar nonconformities exist, or could potentially occur;
c) implement any action needed;
d) review the effectiveness of any corrective action taken; and
e) make changes to the information security management system, if necessary.
Corrective actions shall be appropriate to the effects of the nonconformities encountered.
Documented information shall be available as evidence of:
f) the nature of the nonconformities and any subsequent actions taken,
g) the results of any corrective action.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
10.2(a),CPL-01.1,"​When a nonconformity occurs, the organization shall:
a) react to the nonconformity, and as applicable:
1) take action to control and correct it;
2) deal with the consequences;
b) evaluate the need for action to eliminate the causes of nonconformity, in order that it does not recur
or occur elsewhere, by:
1) reviewing the nonconformity;
2) determining the causes of the nonconformity; and
3) determining if similar nonconformities exist, or could potentially occur;
c) implement any action needed;
d) review the effectiveness of any corrective action taken; and
e) make changes to the information security management system, if necessary.
Corrective actions shall be appropriate to the effects of the nonconformities encountered.
Documented information shall be available as evidence of:
f) the nature of the nonconformities and any subsequent actions taken,
g) the results of any corrective action.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
10.2(a)(1),CPL-01.1,"​When a nonconformity occurs, the organization shall:
a) react to the nonconformity, and as applicable:
1) take action to control and correct it;
",Not Applicable,"End user activity or process, design decision, or activity out of scope."
10.2(a)(2),CPL-01.1,"​When a nonconformity occurs, the organization shall:
a) react to the nonconformity, and as applicable:
2) deal with the consequences;
",Not Applicable,"End user activity or process, design decision, or activity out of scope."
10.2(b),CPL-01.1,"​When a nonconformity occurs, the organization shall:
b) evaluate the need for action to eliminate the causes of nonconformity, in order that it does not recur
or occur elsewhere, by:
1) reviewing the nonconformity;
2) determining the causes of the nonconformity; and
3) determining if similar nonconformities exist, or could potentially occur;
c) implement any action needed;
d) review the effectiveness of any corrective action taken; and
e) make changes to the information security management system, if necessary.
Corrective actions shall be appropriate to the effects of the nonconformities encountered.
Documented information shall be available as evidence of:
f) the nature of the nonconformities and any subsequent actions taken,
g) the results of any corrective action.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
10.2(b)(1),CPL-01.1,"​When a nonconformity occurs, the organization shall:
b) evaluate the need for action to eliminate the causes of nonconformity, in order that it does not recur
or occur elsewhere, by:
1) reviewing the nonconformity;
",Not Applicable,"End user activity or process, design decision, or activity out of scope."
10.2(b)(2),CPL-01.1,"​When a nonconformity occurs, the organization shall:
b) evaluate the need for action to eliminate the causes of nonconformity, in order that it does not recur
or occur elsewhere, by:
2) determining the causes of the nonconformity; and",Not Applicable,"End user activity or process, design decision, or activity out of scope."
10.2(b)(3),CPL-01.1,"​When a nonconformity occurs, the organization shall:
b) evaluate the need for action to eliminate the causes of nonconformity, in order that it does not recur
or occur elsewhere, by:
3) determining if similar nonconformities exist, or could potentially occur;
",Not Applicable,"End user activity or process, design decision, or activity out of scope."
10.2(c),CPL-01.1,"​When a nonconformity occurs, the organization shall:
c) implement any action needed;
",Not Applicable,"End user activity or process, design decision, or activity out of scope."
10.2(d),CPL-01.1,"​When a nonconformity occurs, the organization shall:
d) review the effectiveness of any corrective action taken; and
",Not Applicable,"End user activity or process, design decision, or activity out of scope."
10.2(e),CPL-01.1,"​When a nonconformity occurs, the organization shall:
e) make changes to the information security management system, if necessary.
Corrective actions shall be appropriate to the effects of the nonconformities encountered.
Documented information shall be available as evidence of:
",Not Applicable,"End user activity or process, design decision, or activity out of scope."
10.2(f),CPL-01.1,"​When a nonconformity occurs, the organization shall:
f) the nature of the nonconformities and any subsequent actions taken,
",Not Applicable,"End user activity or process, design decision, or activity out of scope."
10.2(g),CPL-01.1,"​When a nonconformity occurs, the organization shall:
g) the results of any corrective action.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
